frame,r_lower_nm,r_upper_nm,g_r
0,0.0,0.023839952833066714,0.0
0,0.023839952833066714,0.04767990566613343,0.0
0,0.04767990566613343,0.07151985849920015,0.0
0,0.07151985849920015,0.09535981133226686,0.0
0,0.09535981133226686,0.11919976416533357,0.0
0,0.11919976416533357,0.1430397169984003,0.0
0,0.1430397169984003,0.166879669831467,0.0
0,0.166879669831467,0.1907196226645337,0.0
0,0.1907196226645337,0.21455957549760044,0.0
0,0.21455957549760044,0.23839952833066713,0.0
0,0.23839952833066713,0.26223948116373386,0.0
0,0.26223948116373386,0.2860794339968006,0.0
0,0.2860794339968006,0.3099193868298673,0.0
0,0.3099193868298673,0.333759339662934,0.0
0,0.333759339662934,0.3575992924960007,0.0
0,0.3575992924960007,0.3814392453290674,0.0
0,0.3814392453290674,0.40527919816213415,0.0
0,0.40527919816213415,0.42911915099520087,0.0
0,0.42911915099520087,0.45295910382826754,0.12285679810994839
0,0.45295910382826754,0.47679905666133426,0.6634913145955307
0,0.47679905666133426,0.500639009494401,1.8010553289932605
0,0.500639009494401,0.5244789623274677,4.093602685401046
0,0.5244789623274677,0.5483189151605344,3.1564248867931797
0,0.5483189151605344,0.5721588679936012,2.8935482215080484
0,0.5721588679936012,0.5959988208266679,2.101731232519434
0,0.5959988208266679,0.6198387736597346,0.5173713240755169
0,0.6198387736597346,0.6436787264928012,0.29941606943264637
0,0.6436787264928012,0.667518679325868,0.11121545320309985
0,0.667518679325868,0.6913586321589347,0.20709713854561657
0,0.6913586321589347,0.7151985849920014,0.531563863748787
0,0.7151985849920014,0.7390385378250681,0.5876965645166312
0,0.7390385378250681,0.7628784906581348,0.8476582577018257
1,0.0,0.023759137196468636,0.0
1,0.023759137196468636,0.04751827439293727,0.0
1,0.04751827439293727,0.07127741158940591,0.0
1,0.07127741158940591,0.09503654878587454,0.0
1,0.09503654878587454,0.11879568598234318,0.0
1,0.11879568598234318,0.14255482317881182,0.0
1,0.14255482317881182,0.16631396037528046,0.0
1,0.16631396037528046,0.1900730975717491,0.0
1,0.1900730975717491,0.21383223476821772,0.0
1,0.21383223476821772,0.23759137196468635,0.0
1,0.23759137196468635,0.261350509161155,0.0
1,0.261350509161155,0.28510964635762365,0.0
1,0.28510964635762365,0.30886878355409225,0.0
1,0.30886878355409225,0.3326279207505609,0.0
1,0.3326279207505609,0.3563870579470295,0.0
1,0.3563870579470295,0.3801461951434982,0.0
1,0.3801461951434982,0.40390533233996684,0.0
1,0.40390533233996684,0.42766446953643544,0.0
1,0.42766446953643544,0.4514236067329041,0.12285679810994798
1,0.4514236067329041,0.4751827439293727,0.5529094288296099
1,0.4751827439293727,0.49894188112584137,1.3007621820506872
1,0.49894188112584137,0.52270101832231,4.2755405825299935
1,0.52270101832231,0.5464601555187786,4.070126827706997
1,0.5464601555187786,0.5702192927152473,2.9696942273371976
1,0.5702192927152473,0.5939784299117159,1.6113272782649026
1,0.5939784299117159,0.6177375671081845,0.4526999085660783
1,0.6177375671081845,0.6414967043046532,0.2994160694326443
1,0.6414967043046532,0.6652558415011218,0.16682317980465014
1,0.6652558415011218,0.6890149786975904,0.05177428463640413
1,0.6890149786975904,0.712774115894059,0.6282118389758414
1,0.712774115894059,0.7365332530905278,0.7233188486358509
1,0.7365332530905278,0.7602923902869964,0.6781266061614624
2,0.0,0.023825285972470134,0.0
2,0.023825285972470134,0.04765057194494027,0.0
2,0.04765057194494027,0.0714758579174104,0.0
2,0.0714758579174104,0.09530114388988054,0.0
2,0.09530114388988054,0.11912642986235067,0.0
2,0.11912642986235067,0.1429517158348208,0.0
2,0.1429517158348208,0.16677700180729094,0.0
2,0.16677700180729094,0.19060228777976107,0.0
2,0.19060228777976107,0.2144275737522312,0.0
2,0.2144275737522312,0.23825285972470134,0.0
2,0.23825285972470134,0.26207814569717147,0.0
2,0.26207814569717147,0.2859034316696416,0.0
2,0.2859034316696416,0.30972871764211174,0.0
2,0.30972871764211174,0.3335540036145819,0.0
2,0.3335540036145819,0.357379289587052,0.0
2,0.357379289587052,0.38120457555952214,0.0
2,0.38120457555952214,0.4050298615319923,0.0
2,0.4050298615319923,0.4288551475044624,0.0
2,0.4288551475044624,0.45268043347693254,0.0
2,0.45268043347693254,0.4765057194494027,0.552909428829609
2,0.4765057194494027,0.5003310054218728,1.3007621820506896
2,0.5003310054218728,0.5241562913943429,4.457478479658916
2,0.5241562913943429,0.5479815773668131,3.654807763655259
2,0.5479815773668131,0.5718068633392832,3.426570262312164
2,0.5718068633392832,0.5956321493117533,1.4712118627636046
2,0.5956321493117533,0.6194574352842235,0.6467141550943968
2,0.6194574352842235,0.6432827212566936,0.2395328555461162
2,0.6432827212566936,0.6671080072291637,0.05560772660154998
2,0.6671080072291637,0.6909332932016339,0.10354856927280814
2,0.6909332932016339,0.714758579174104,0.531563863748788
2,0.714758579174104,0.7385838651465741,0.5424891364768907
2,0.7385838651465741,0.7624091511190443,0.7628924319316425
3,0.0,0.023896147327203472,0.0
3,0.023896147327203472,0.047792294654406944,0.0
3,0.047792294654406944,0.07168844198161042,0.0
3,0.07168844198161042,0.09558458930881389,0.0
3,0.09558458930881389,0.11948073663601735,0.0
3,0.11948073663601735,0.14337688396322085,0.0
3,0.14337688396322085,0.1672730312904243,0.0
3,0.1672730312904243,0.19116917861762778,0.0
3,0.19116917861762778,0.21506532594483124,0.0
3,0.21506532594483124,0.2389614732720347,0.0
3,0.2389614732720347,0.2628576205992382,0.0
3,0.2628576205992382,0.2867537679264417,0.0
3,0.2867537679264417,0.31064991525364516,0.0
3,0.31064991525364516,0.3345460625808486,0.0
3,0.3345460625808486,0.3584422099080521,0.0
3,0.3584422099080521,0.38233835723525555,0.0
3,0.38233835723525555,0.406234504562459,0.0
3,0.406234504562459,0.4301306518896625,0.0
3,0.4301306518896625,0.45402679921686595,0.0
3,0.45402679921686595,0.4779229465440694,0.6634913145955306
3,0.4779229465440694,0.5018190938712729,1.700996699604748
3,0.5018190938712729,0.5257152411984763,3.547788994014244
3,0.5257152411984763,0.5496113885256798,3.2394886996035277
3,0.5496113885256798,0.5735075358528834,3.883446297287102
3,0.5735075358528834,0.5974036831800869,1.7514426937661953
3,0.5974036831800869,0.6212998305072903,0.7113855706038364
3,0.6212998305072903,0.6451959778344938,0.05988321388652915
3,0.6451959778344938,0.6690921251616972,0.11121545320309985
3,0.6690921251616972,0.6929882724889007,0.2070971385456165
3,0.6929882724889007,0.7168844198161042,0.5315638637487878
3,0.7168844198161042,0.7407805671433076,0.406866852357668
3,0.7407805671433076,0.7646767144705111,1.0595728221272813
4,0.0,0.023798198149852953,0.0
4,0.023798198149852953,0.047596396299705905,0.0
4,0.047596396299705905,0.07139459444955885,0.0
4,0.07139459444955885,0.09519279259941181,0.0
4,0.09519279259941181,0.11899099074926477,0.0
4,0.11899099074926477,0.1427891888991177,0.0
4,0.1427891888991177,0.16658738704897066,0.0
4,0.16658738704897066,0.19038558519882362,0.0
4,0.19038558519882362,0.21418378334867658,0.0
4,0.21418378334867658,0.23798198149852953,0.0
4,0.23798198149852953,0.26178017964838246,0.0
4,0.26178017964838246,0.2855783777982354,0.0
4,0.2855783777982354,0.3093765759480884,0.0
4,0.3093765759480884,0.33317477409794133,0.0
4,0.33317477409794133,0.3569729722477943,0.0
4,0.3569729722477943,0.38077117039764724,0.0
4,0.38077117039764724,0.4045693685475002,0.0
4,0.4045693685475002,0.42836756669735315,0.0
4,0.42836756669735315,0.4521657648472061,0.0
4,0.4521657648472061,0.47596396299705906,0.8846550861273736
4,0.47596396299705906,0.499762161146912,2.1012312171588037
4,0.499762161146912,0.5235603592967649,3.3658510968853155
4,0.5235603592967649,0.5473585574466179,3.571743950844914
4,0.5473585574466179,0.5711567555964708,2.3605261807039346
4,0.5711567555964708,0.5949549537463238,2.031673524768787
4,0.5949549537463238,0.6187531518961767,1.0994140636604746
4,0.6187531518961767,0.6425513500460297,0.1796496416595873
