Character,Opponent,Round,Win,Loss,Stock Diff,Percentage,Score,Matchup,Accumulated_Sum
Lucina,Hero,1,1,0,2,82,2.59,2,4.49
Lucina,Sora,2,0,1,-1,0,0.0,-3,4.49
Rosalina & Luma,Incineroar,1,1,0,1,19,1.905,-1,1.905
Rosalina & Luma,Zelda,2,0,1,-1,22,0.11,0,2.015
Rosalina & Luma,Kirby,1,1,0,2,114,2.43,-1,4.445
Rosalina & Luma,Ridley,2,1,0,1,69,1.655,1,6.1000000000000005
Rosalina & Luma,Incineroar,3,0,1,-1,81,0.405,-1,6.505000000000001
Richter,Palutena,1,1,0,1,37,1.815,-1,1.815
Richter,Hero,2,0,1,-1,76,0.38,-1,2.195
Richter,Daisy,1,1,0,2,108,2.46,0,4.654999999999999
Richter,Steve,2,1,0,1,0,2.0,-2,6.654999999999999
Richter,Diddy Kong,3,1,0,1,133,1.335,-2,7.99
Richter,Kazuya,4,0,1,-1,81,0.405,0,8.395
Marth,Ridley,1,1,0,1,0,2.0,-3,2.0
Marth,Mega Man,2,0,1,-1,14,0.07,0,2.07
Marth,Richter,1,1,0,2,164,2.18,0,4.25
Marth,Palutena,2,1,0,2,78,2.61,-2,6.859999999999999
Marth,Meta Knight,3,0,1,-1,124,0.62,1,7.4799999999999995
Mii Gunner,Wolf,1,1,0,1,21,1.895,-2,1.895
Mii Gunner,Banjo & Kazooie,2,0,1,-1,96,0.48,0,2.375
Mii Gunner,Rosalina & Luma,1,1,0,2,0,3.0,0,5.375
Mii Gunner,Kazuya,2,0,1,-2,62,-0.69,-2,4.6850000000000005
Corrin,Marth,1,1,0,2,111,2.445,0,2.445
Corrin,Ness,2,0,1,-1,70,0.35,1,2.795
Corrin,Marth,1,1,0,2,67,2.665,0,5.46
Corrin,Sephiroth,2,1,0,1,37,1.815,0,7.275
Corrin,Ridley,3,1,0,2,34,2.83,-1,10.105
Pokemon Trainer,Palutena,1,1,0,2,36,2.82,1,2.82
Pokemon Trainer,Cloud,2,0,1,-1,90,0.45,-1,3.27
Pokemon Trainer,Daisy,1,1,0,2,136,2.32,0,5.59
Pokemon Trainer,Dark Pit,2,1,0,1,175,1.125,-1,6.715
Pokemon Trainer,Zero Suit Samus,3,1,0,3,126,3.37,0,10.085
Peach,Mega Man,1,1,0,1,13,1.935,-1,1.935
Peach,Palutena,2,1,0,1,0,2.0,0,3.935
Peach,ROB,3,0,1,-1,6,0.03,-1,3.965
Peach,Wii Fit Trainer,1,1,0,1,57,1.715,1,5.68
Peach,Shulk,2,1,0,1,35,1.825,1,7.505
Peach,Duck Hunt,3,1,0,1,0,2.0,-2,9.504999999999999
Falco,Sheik,1,1,0,1,109,1.455,2,1.455
Falco,Mario,2,1,0,1,143,1.285,1,2.74
Falco,King K Rool,3,1,0,1,31,1.845,2,4.585
Falco,Isabelle,1,1,0,3,185,3.075,1,7.66
Falco,Rosalina & Luma,2,1,0,2,106,2.47,0,10.13
Falco,Roy,3,1,0,2,47,2.765,-2,12.895
Wii Fit Trainer,Lucas,1,1,0,1,107,1.465,0,1.465
Wii Fit Trainer,Wario,2,1,0,1,107,1.465,-1,2.93
Wii Fit Trainer,Donkey Kong,3,1,0,1,98,1.51,1,4.44
Wii Fit Trainer,Corrin,1,1,0,1,46,1.77,-1,6.21
Wii Fit Trainer,Ken,2,1,0,2,128,2.36,0,8.57
Wii Fit Trainer,Byleth,3,1,0,2,109,2.455,0,11.025
Wii Fit Trainer,Roy,5,1,0,1,15,1.925,1,12.950000000000001
Ryu,Mario,1,1,0,1,151,1.245,-1,1.245
Ryu,Little Mac,2,1,0,2,86,2.57,-1,3.815
Ryu,Marth,3,0,1,-1,106,0.53,0,4.345
