Character,Opponent,Round,Win,Loss,Stock Diff,Percentage,Score,Matchup
Young Link,Wolf,2,1,0,2,68,2.66,-1
Young Link,Bayonetta,3,1,0,3,189,3.055,-1
Isabelle,Bowser,1,1,0,2,73,2.635,0
Isabelle,Ken,2,1,0,2,80,2.6,-2
Isabelle,Mewtwo,3,1,0,1,0,2.0,-1
Isabelle,Bowser Jr,4,1,0,2,39,2.805,0
Isabelle,Mr Game & Watch,1,1,0,2,170,2.15,-2
Isabelle,Falco,2,1,0,2,148,2.26,-1
Isabelle,Pyra & Mythra,3,1,0,1,32,1.84,-3
Dr Mario,Kirby,1,1,0,1,93,1.535,0
Dr Mario,Ridley,2,1,0,2,71,2.645,0
Dr Mario,Rosalina & Luma,3,1,0,2,27,2.865,-2
Dr Mario,Inkling,4,1,0,3,180,3.1,0
Dr Mario,Piranha Plant,1,1,0,1,152,1.24,0
Dr Mario,Zero Suit Samus,2,1,0,3,174,3.13,0
Dr Mario,Yoshi,3,1,0,2,16,2.92,0
Duck Hunt,Robin,1,1,0,2,101,2.495,-1
Duck Hunt,Mewtwo,2,1,0,2,68,2.66,-1
Duck Hunt,Palutena,3,1,0,2,94,2.53,-2
Duck Hunt,Wii Fit Trainer,1,1,0,1,0,2.0,0
Duck Hunt,Pichu,2,1,0,1,49,1.755,-1
Duck Hunt,Daisy,3,1,0,2,30,2.85,-2
Duck Hunt,Lucas,4,0,1,-1,55,0.275,-1
Bowser,Kirby,1,1,0,2,73,2.635,-1
Bowser,Simon,2,1,0,3,149,3.255,-1
Bowser,Pichu,3,1,0,1,0,2.0,-2
Bowser,Sora,1,1,0,2,114,2.43,0
Bowser,Sheik,2,1,0,3,178,3.11,0
Bowser,Luigi,3,1,0,2,80,2.6,-1
Bowser,Lucas,5,1,0,3,110,3.45,0
Terry,Ryu,1,1,0,2,129,2.355,-2
Terry,Mr Game & Watch,2,1,0,2,105,2.475,0
Terry,Sheik,3,1,0,2,84,2.58,-1
Terry,Bowser Jr,4,1,0,2,130,2.35,-2
Terry,Kazuya,5,0,1,-1,27,0.135,-1
Terry,Inkling,1,1,0,2,168,2.16,1
Terry,Lucas,2,0,1,-1,82,0.41,1
Terry,Bowser,1,0,1,-1,156,0.78,0
Piranha Plant,Dark Samus,1,1,0,2,128,2.36,2
Piranha Plant,Pichu,2,1,0,3,155,3.225,-1
Piranha Plant,Simon,3,1,0,2,0,3.0,0
Piranha Plant,Ken,1,1,0,3,136,3.32,-1
Piranha Plant,Ike,2,1,0,2,109,2.455,0
Piranha Plant,Captain Falcon,3,1,0,1,98,1.51,0
Zelda,Inkling,1,1,0,1,0,2.0,-2
Zelda,Ken,2,1,0,2,68,2.66,-2
Zelda,Wario,3,1,0,2,0,3.0,-1
Zelda,Lucina,5,1,0,2,144,2.28,1
Zelda,Lucas,1,1,0,2,0,3.0,0
Zelda,Young Link,2,1,0,2,106,2.47,-1
Zelda,Lucina,3,1,0,2,107,2.465,1
Donkey Kong,Richter,1,1,0,2,70,2.65,0
Donkey Kong,Ken,2,1,0,2,137,2.315,-1
Donkey Kong,Ryu,3,1,0,3,122,3.39,1
Donkey Kong,Sora,5,1,0,2,130,2.35,-1
Donkey Kong,Mr Game & Watch,1,1,0,2,5,2.975,-2
Donkey Kong,Greninja,2,1,0,2,153,2.235,0
Donkey Kong,Dr Mario,3,0,1,-1,26,0.13,1
Ridley,Ryu,1,1,0,2,38,2.81,0
Ridley,Ken,2,1,0,2,114,2.43,-3
Ridley,Ganondorf,3,1,0,2,111,2.445,1
Ridley,Dark Pit,4,1,0,1,36,1.82,0
Ridley,Daisy,5,1,0,3,137,3.315,0
Ridley,Joker,1,1,0,2,80,2.6,1
Ridley,Wolf,2,1,0,2,132,2.34,0
Ridley,Meta Knight,3,1,0,3,127,3.365,-3
Ridley,Dr Mario,5,0,1,-2,176,-0.12,0
Sephiroth,Greninja,1,1,0,2,36,2.82,-1
Sephiroth,ROB,2,1,0,3,97,3.515,-2
Sephiroth,Samus,3,1,0,1,0,2.0,0
Sephiroth,Ridley,4,1,0,1,29,1.855,2
Sephiroth,Isabelle,1,1,0,3,106,3.47,2
Sephiroth,Dark Samus,2,1,0,2,40,2.8,0
Sephiroth,Sheik,3,1,0,2,27,2.865,1
Sephiroth,Dr Mario,4,0,1,-1,75,0.375,3
Banjo & Kazooie,Captain Falcon,1,1,0,3,107,3.465,0
Banjo & Kazooie,Peach,2,1,0,2,35,2.825,1
Banjo & Kazooie,Sonic,3,1,0,2,99,2.505,-1
Banjo & Kazooie,Young Link,4,1,0,2,106,2.47,-1
Banjo & Kazooie,Steve,1,1,0,1,117,1.415,0
Banjo & Kazooie,Bayonetta,2,1,0,2,78,2.61,-2
Banjo & Kazooie,Kirby,3,1,0,2,108,2.46,-1
Banjo & Kazooie,Ryu,4,1,0,2,0,3.0,0
Lucas,Yoshi,1,1,0,2,146,2.27,-2
Lucas,Simon,2,1,0,3,87,3.565,-2
Lucas,Terry,3,1,0,2,57,2.715,-1
Lucas,Pit,4,1,0,2,95,2.525,2
Lucas,Duck Hunt,1,1,0,2,40,2.8,1
Lucas,King K Rool,2,1,0,2,34,2.83,1
Lucas,Pichu,3,1,0,1,0,2.0,-1
Lucas,Dark Pit,4,1,0,2,53,2.735,0
