Character,Opponent,Round,Win,Loss,Stock Diff,Percentage,Score,Matchup,Accumulated_Sum
Chrom,Ryu,1,1,0,2,112,2.44,1,2.44
Chrom,Zelda,2,1,0,2,75,2.625,0,5.0649999999999995
Chrom,Diddy Kong,3,1,0,3,183,3.085,-2,8.15
Chrom,Pokemon Trainer,4,1,0,3,90,3.55,-2,11.7
Chrom,Dr Mario,5,1,0,2,34,2.83,1,14.53
Dr Mario,Inkling,1,1,0,1,141,1.295,0,1.295
Dr Mario,King K Rool,2,1,0,2,38,2.81,0,4.105
Dr Mario,Greninja,3,1,0,3,134,3.33,-2,7.4350000000000005
Dr Mario,Zero Suit Samus,4,1,0,3,71,3.645,0,11.08
Dr Mario,Little Mac,5,1,0,3,31,3.845,3,14.925
Link,Dr Mario,1,1,0,3,30,3.85,-1,3.85
Link,Sora,2,1,0,2,23,2.885,-2,6.734999999999999
Link,King K Rool,3,1,0,3,133,3.335,-1,10.07
Link,Joker,4,1,0,4,195,4.025,-1,14.095
Link,Snake,5,1,0,3,42,3.79,-2,17.885
