Character,Opponent,Round,Win,Loss,Stock Diff,Percentage,Score,Matchup,Accumulated_Sum
ROB,Pichu,3,1,0,2,110,2.45,1,15.465
ROB,Toon Link,4,1,0,2,80,2.6,1,18.065
ROB,PacMan,1,1,0,2,138,2.31,1,20.375
ROB,Corrin,2,1,0,2,160,2.2,1,22.575
ROB,Dark Samus,3,1,0,2,150,2.25,-1,24.825
ROB,Diddy Kong,1,1,0,2,93,2.535,0,27.36
ROB,Dr Mario,2,1,0,1,161,1.195,2,28.555
ROB,Marth,3,1,0,2,71,2.645,2,31.200000000000003
Ken,Steve,1,0,1,-1,50,0.25,-2,0.25
Ken,Chrom,1,0,1,-2,56,-0.72,2,-0.47
Joker,Lucario,1,0,1,-1,63,0.315,0,0.315
Joker,King Dedede,1,0,1,-1,96,0.48,2,0.7949999999999999
Kazuya,Villager,1,0,1,-1,73,0.365,2,0.365
Kazuya,Kazuya,1,0,1,-1,0,0.0,0,0.365
Pichu,Link,1,0,1,-1,81,0.405,0,0.405
Pichu,Terry,1,1,0,1,82,1.59,0,1.995
Pichu,Shulk,2,1,0,1,24,1.88,-1,3.875
Pichu,Captain Falcon,3,0,1,-1,32,0.16,1,4.035
Pichu,Steve,1,0,1,-1,82,0.41,-2,4.445
Dark Samus,Villager,1,0,1,-1,84,0.42,-1,0.42
Dark Samus,Ken,1,1,0,2,91,2.545,2,2.965
Dark Samus,Bowser Jr,2,1,0,1,20,1.9,2,4.865
Dark Samus,Ganondorf,3,1,0,2,0,3.0,1,7.865
Dark Samus,Sephiroth,4,1,0,2,93,2.535,0,10.4
Dark Samus,Kazuya,1,1,0,3,180,3.1,0,13.5
Dark Samus,Wolf,2,1,0,1,10,1.95,0,15.45
Dark Samus,Lucas,3,1,0,2,112,2.44,1,17.89
Dark Samus,Dr Mario,1,0,1,-1,59,0.295,2,18.185
Lucario,Samus,1,0,1,-1,100,0.5,-1,0.5
Lucario,Min Min,1,1,0,2,140,2.3,-1,2.8
Lucario,Luigi,2,1,0,3,167,3.165,-1,5.965
Lucario,Ryu,3,1,0,2,112,2.44,-2,8.405
Lucario,Inkling,4,1,0,2,40,2.8,-1,11.205
Lucario,Ganondorf,1,1,0,2,40,2.8,-1,14.004999999999999
Lucario,Dark Samus,2,1,0,2,136,2.32,1,16.325
Lucario,Greninja,3,1,0,1,45,1.775,-2,18.099999999999998
Lucario,Peach,1,0,1,-1,28,0.14,-1,18.24
Mega Man,Wii Fit Trainer,1,0,1,-1,108,0.54,0,0.54
Mega Man,Mewtwo,1,0,1,-1,36,0.18,3,0.72
Olimar,Bowser,1,1,0,1,97,1.515,1,1.515
Olimar,Ridley,2,0,1,-2,63,-0.685,2,0.8299999999999998
Olimar,Roy,1,1,0,2,42,2.79,-1,3.62
Olimar,Villager,2,1,0,2,69,2.655,2,6.275
Olimar,Inkling,3,0,1,-1,130,0.65,1,6.925
Olimar,Joker,1,1,0,2,68,2.66,1,9.585
Olimar,Ice Climbers,2,0,1,-2,70,-0.65,1,8.935
Bowser Jr,Banjo & Kazooie,1,1,0,1,105,1.475,0,1.475
Bowser Jr,Villager,2,0,1,-1,0,0.0,2,1.475
Bowser Jr,Kirby,1,1,0,2,39,2.805,-1,4.28
Bowser Jr,Lucas,2,1,0,2,56,2.72,-2,7.0
Bowser Jr,Captain Falcon,3,1,0,2,77,2.615,-1,9.615
Bowser Jr,Peach,1,1,0,2,117,2.415,0,12.030000000000001
Bowser Jr,Pyra & Mythra,2,1,0,3,146,3.27,-1,15.3
Bowser Jr,King Dedede,3,1,0,1,141,1.295,0,16.595
Bowser Jr,Lucina,1,1,0,1,0,2.0,2,18.595
Bowser Jr,Terry,2,1,0,2,169,2.155,2,20.75
Bowser Jr,Greninja,3,1,0,3,139,3.305,0,24.055
Bowser Jr,Yoshi,4,1,0,2,105,2.475,-2,26.53
Bowser Jr,Marth,1,1,0,1,0,2.0,0,28.53
Bowser Jr,Olimar,2,1,0,1,120,1.4,-2,29.93
Bowser Jr,Chrom,3,1,0,3,135,3.325,1,33.255
PacMan,Pichu,1,1,0,1,84,1.58,1,1.58
PacMan,ROB,2,0,1,-1,16,0.08,-1,1.6600000000000001
