Character,Opponent,Round,Win,Loss,Stock Diff,Percentage,Score,Matchup,Accumulated_Sum
Steve,Byleth,1,0,1,-3,126,-1.28,1,-1.28
Corrin,Mewtwo,1,0,1,-1,23,0.131,2,0.131
Wario,Ice Climbers,1,0,1,-1,78,0.446,-2,0.446
Robin,Byleth,1,0,1,-1,5,0.029,-3,0.029
Young Link,Dr Mario,1,0,1,-1,27,0.154,0,0.154
Wolf,ROB,1,0,1,-1,108,0.617,-1,0.617
Dark Pit,Pikachu,1,1,0,1,44,1.749,0,1.749
Dark Pit,Incineroar,2,0,1,-2,90,-0.486,0,1.2630000000000001
Piranha Plant,Chrom,1,1,0,2,8,2.954,1,2.954
Piranha Plant,King K Rool,2,0,1,-2,145,-0.171,0,2.7830000000000004
Jigglypuff,Sora,1,1,0,1,83,1.526,-1,1.526
Jigglypuff,Rosalina & Luma,2,1,0,1,107,1.389,2,2.915
Jigglypuff,Bowser,3,1,0,1,0,2.0,2,4.915
PacMan,Little Mac,1,1,0,2,69,2.606,1,2.606
PacMan,Piranha Plant,2,1,0,1,79,1.549,1,4.154999999999999
PacMan,Toon Link,3,1,0,1,22,1.874,0,6.029
Mii Swordfighter,Mega Man,1,1,0,1,91,1.48,-2,1.48
Mii Swordfighter,Ness,2,1,0,1,0,2.0,-1,3.48
Mii Swordfighter,Bowser Jr,3,1,0,1,59,1.663,-1,5.143
Mewtwo,Samus,1,1,0,2,114,2.349,-1,2.349
Mewtwo,Falco,2,1,0,2,46,2.737,-2,5.086
Mewtwo,Bowser Jr,3,1,0,1,100,1.429,2,6.515000000000001
Little Mac,Shulk,1,1,0,2,155,2.114,-2,2.114
Little Mac,Pichu,2,1,0,1,8,1.954,1,4.068
Little Mac,Corrin,3,1,0,2,126,2.28,-1,6.348
Sonic,Samus,1,1,0,1,0,2.0,-1,2.0
Sonic,Lucario,2,1,0,1,33,1.811,0,3.811
Sonic,Hero,3,1,0,1,101,1.423,2,5.234
Sora,Link,1,1,0,2,13,2.926,2,2.926
Sora,Yoshi,2,1,0,1,13,1.926,0,4.852
Sora,Duck Hunt,3,1,0,1,34,1.806,0,6.658
Dark Samus,Kazuya,1,1,0,3,180,3.0,0,3.0
Dark Samus,Wolf,2,1,0,1,10,1.943,0,4.943
Dark Samus,Lucas,3,1,0,2,112,2.36,1,7.303
Ness,Ganondorf,1,1,0,1,0,2.0,0,2.0
Ness,Chrom,2,1,0,1,129,1.263,-1,3.263
