cos_theta_lower,cos_theta_upper,phi_lower_rad,phi_upper_rad,count,probability,relative_to_isotropic
-1.0,-0.8,-3.141592653589793,-2.748893571891069,0,0.0,0.0
-1.0,-0.8,-2.748893571891069,-2.356194490192345,0,0.0,0.0
-1.0,-0.8,-2.356194490192345,-1.9634954084936207,0,0.0,0.0
-1.0,-0.8,-1.9634954084936207,-1.5707963267948966,0,0.0,0.0
-1.0,-0.8,-1.5707963267948966,-1.1780972450961724,0,0.0,0.0
-1.0,-0.8,-1.1780972450961724,-0.7853981633974483,0,0.0,0.0
-1.0,-0.8,-0.7853981633974483,-0.39269908169872414,0,0.0,0.0
-1.0,-0.8,-0.39269908169872414,0.0,0,0.0,0.0
-1.0,-0.8,0.0,0.39269908169872414,0,0.0,0.0
-1.0,-0.8,0.39269908169872414,0.7853981633974483,0,0.0,0.0
-1.0,-0.8,0.7853981633974483,1.178097245096172,0,0.0,0.0
-1.0,-0.8,1.178097245096172,1.5707963267948966,0,0.0,0.0
-1.0,-0.8,1.5707963267948966,1.9634954084936211,0,0.0,0.0
-1.0,-0.8,1.9634954084936211,2.356194490192345,0,0.0,0.0
-1.0,-0.8,2.356194490192345,2.7488935718910685,0,0.0,0.0
-1.0,-0.8,2.7488935718910685,3.141592653589793,0,0.0,0.0
-0.8,-0.6,-3.141592653589793,-2.748893571891069,0,0.0,0.0
-0.8,-0.6,-2.748893571891069,-2.356194490192345,0,0.0,0.0
-0.8,-0.6,-2.356194490192345,-1.9634954084936207,0,0.0,0.0
-0.8,-0.6,-1.9634954084936207,-1.5707963267948966,0,0.0,0.0
-0.8,-0.6,-1.5707963267948966,-1.1780972450961724,0,0.0,0.0
-0.8,-0.6,-1.1780972450961724,-0.7853981633974483,0,0.0,0.0
-0.8,-0.6,-0.7853981633974483,-0.39269908169872414,1,0.00078125,0.125
-0.8,-0.6,-0.39269908169872414,0.0,5,0.00390625,0.625
-0.8,-0.6,0.0,0.39269908169872414,4,0.003125,0.5
-0.8,-0.6,0.39269908169872414,0.7853981633974483,1,0.00078125,0.125
-0.8,-0.6,0.7853981633974483,1.178097245096172,0,0.0,0.0
-0.8,-0.6,1.178097245096172,1.5707963267948966,0,0.0,0.0
-0.8,-0.6,1.5707963267948966,1.9634954084936211,0,0.0,0.0
-0.8,-0.6,1.9634954084936211,2.356194490192345,0,0.0,0.0
-0.8,-0.6,2.356194490192345,2.7488935718910685,0,0.0,0.0
-0.8,-0.6,2.7488935718910685,3.141592653589793,0,0.0,0.0
-0.6,-0.3999999999999999,-3.141592653589793,-2.748893571891069,0,0.0,0.0
-0.6,-0.3999999999999999,-2.748893571891069,-2.356194490192345,0,0.0,0.0
-0.6,-0.3999999999999999,-2.356194490192345,-1.9634954084936207,0,0.0,0.0
-0.6,-0.3999999999999999,-1.9634954084936207,-1.5707963267948966,0,0.0,0.0
-0.6,-0.3999999999999999,-1.5707963267948966,-1.1780972450961724,0,0.0,0.0
-0.6,-0.3999999999999999,-1.1780972450961724,-0.7853981633974483,1,0.00078125,0.125
-0.6,-0.3999999999999999,-0.7853981633974483,-0.39269908169872414,7,0.00546875,0.875
-0.6,-0.3999999999999999,-0.39269908169872414,0.0,32,0.025,4.0
-0.6,-0.3999999999999999,0.0,0.39269908169872414,25,0.01953125,3.125
-0.6,-0.3999999999999999,0.39269908169872414,0.7853981633974483,7,0.00546875,0.875
-0.6,-0.3999999999999999,0.7853981633974483,1.178097245096172,0,0.0,0.0
-0.6,-0.3999999999999999,1.178097245096172,1.5707963267948966,0,0.0,0.0
-0.6,-0.3999999999999999,1.5707963267948966,1.9634954084936211,0,0.0,0.0
-0.6,-0.3999999999999999,1.9634954084936211,2.356194490192345,0,0.0,0.0
-0.6,-0.3999999999999999,2.356194490192345,2.7488935718910685,0,0.0,0.0
-0.6,-0.3999999999999999,2.7488935718910685,3.141592653589793,0,0.0,0.0
-0.3999999999999999,-0.19999999999999996,-3.141592653589793,-2.748893571891069,0,0.0,0.0
