Character,Fights,Avg_Stock_Diff,Avg_Damage,Wins,Losses,Total_Score,Win_Rate
Pyra & Mythra,3,2.6666666666666665,84.0,3,0,15.115,1.0
Wario,3,1.6666666666666667,68.66666666666667,3,0,10.740000000000002,1.0
King K Rool,3,3.0,160.33333333333334,3,0,16.963,1.0
Diddy Kong,3,2.3333333333333335,79.66666666666667,3,0,14.154,1.0
Mii Swordfighter,3,1.6666666666666667,57.333333333333336,3,0,12.83,1.0
Joker,3,2.0,57.0,3,0,12.795000000000002,1.0
Zero Suit Samus,3,1.6666666666666667,44.0,3,0,12.589,1.0
Wii Fit Trainer,4,1.25,48.0,3,1,13.222999999999999,0.75
Sheik,3,1.6666666666666667,83.0,3,0,10.588999999999999,1.0
Bayonetta,3,2.0,54.666666666666664,3,0,13.21,1.0
Captain Falcon,3,0.6666666666666666,63.666666666666664,2,1,8.135,0.6666666666666666
Byleth,4,1.5,47.0,4,0,12.816,1.0
Pichu,4,2.0,105.25,4,0,11.934000000000001,1.0
Peach,3,1.6666666666666667,62.666666666666664,3,0,10.566,1.0
Rosalina & Luma,4,1.75,85.0,4,0,11.931,1.0
ROB,3,1.6666666666666667,86.33333333333333,3,0,9.926,1.0
Palutena,3,1.6666666666666667,58.0,3,0,11.533999999999999,1.0
Lucario,3,1.6666666666666667,104.66666666666667,3,0,10.857,1.0
Snake,3,1.3333333333333333,45.333333333333336,3,0,9.932,1.0
Ness,3,1.3333333333333333,91.33333333333333,2,1,9.787,0.6666666666666666
Fox,3,1.0,73.66666666666667,2,1,8.416,0.6666666666666666
Ken,2,0.5,75.0,1,1,3.248,0.5
Mega Man,1,-1.0,106.0,0,1,0.846,0.0
Jigglypuff,1,-1.0,131.0,0,1,0.996,0.0
