frame,r_lower_nm,r_upper_nm,g_r
0,0.0,0.025847662997904322,0.0
0,0.025847662997904322,0.051695325995808644,0.0
0,0.051695325995808644,0.07754298899371297,0.0
0,0.07754298899371297,0.10339065199161729,0.0
0,0.10339065199161729,0.1292383149895216,0.0
0,0.1292383149895216,0.15508597798742593,0.0
0,0.15508597798742593,0.18093364098533027,0.0
0,0.18093364098533027,0.20678130398323458,0.0
0,0.20678130398323458,0.23262896698113888,0.0
0,0.23262896698113888,0.2584766299790432,0.0
0,0.2584766299790432,0.28432429297694756,0.0
0,0.28432429297694756,0.31017195597485187,0.0
0,0.31017195597485187,0.3360196189727562,0.0
0,0.3360196189727562,0.36186728197066054,0.0
0,0.36186728197066054,0.38771494496856485,0.0
0,0.38771494496856485,0.41356260796646915,0.0
0,0.41356260796646915,0.43941027096437346,0.0
0,0.43941027096437346,0.46525793396227777,0.0
0,0.46525793396227777,0.49110559696018213,0.12285679810994796
0,0.49110559696018213,0.5169532599580864,0.5529094288296105
0,0.5169532599580864,0.5428009229559908,1.7009966996047399
0,0.5428009229559908,0.5686485859538951,3.63875794257871
0,0.5686485859538951,0.5944962489517994,3.820935389275958
0,0.5944962489517994,0.6203439119497037,2.8174022156788907
0,0.6203439119497037,0.646191574947608,2.0316735247687867
0,0.646191574947608,0.6720392379455123,0.8407284016227169
0,0.6720392379455123,0.6978869009434167,0.17964964165958716
0,0.6978869009434167,0.7237345639413211,0.05560772660154976
0,0.7237345639413211,0.7495822269392254,0.20709713854561632
0,0.7495822269392254,0.7754298899371297,0.3382679132946833
0,0.7754298899371297,0.801277552935034,0.4972817084371502
0,0.801277552935034,0.8271252159329383,1.0171899092421912
1,0.0,0.02571991857950874,0.0
1,0.02571991857950874,0.05143983715901748,0.0
1,0.05143983715901748,0.07715975573852622,0.0
1,0.07715975573852622,0.10287967431803496,0.0
1,0.10287967431803496,0.1285995928975437,0.0
1,0.1285995928975437,0.15431951147705245,0.0
1,0.15431951147705245,0.1800394300565612,0.0
1,0.1800394300565612,0.20575934863606993,0.0
1,0.20575934863606993,0.23147926721557865,0.0
1,0.23147926721557865,0.2571991857950874,0.0
1,0.2571991857950874,0.28291910437459616,0.0
1,0.28291910437459616,0.3086390229541049,0.0
