Character,Opponent,Round,Win,Loss,Stock Diff,Percentage,Score,Base Score,Stage Multiplier,Matchup,Late Match Divisor,Total Multiplier,Multiplier Adjusted Score,Accumulated_Sum,Multiplier Adjusted Accumulated Sum
Captain Falcon,Lucina,1,1,0,2,63,3.511,2.64,1.33,1.0,1.0,1.33,2.64,11.584,9.099
Captain Falcon,PacMan,2,1,0,1,11,3.222,1.937,1.663,1.0,1.0,1.663,1.937,14.806,11.036
Captain Falcon,Wario,3,0,1,-1,117,1.402,0.669,1.997,1.05,1.0,2.096,0.669,16.208,11.705
Ken,Greninja,1,1,0,3,111,4.476,3.366,1.33,1.0,1.0,1.33,3.366,11.992,9.571
Ken,Inkling,2,0,1,-2,39,-1.228,-0.777,1.663,0.95,1.0,1.58,-0.777,10.764,8.794
King K Rool,Bayonetta,1,1,0,3,146,4.421,3.166,1.33,1.05,1.0,1.397,3.166,11.837,10.309
King K Rool,Steve,2,1,0,3,163,5.614,3.069,1.663,1.1,1.0,1.83,3.069,17.451,13.377
King K Rool,Sonic,3,1,0,3,172,6.928,3.017,1.997,1.15,1.0,2.296,3.017,24.379,16.394
Wario,Ridley,1,1,0,2,79,3.22,2.549,1.33,0.95,1.0,1.264,2.549,10.52,8.748
Wario,Samus,2,1,0,2,85,4.182,2.514,1.663,1.0,1.0,1.663,2.514,14.702,11.262
Wario,Inkling,3,1,0,1,42,3.338,1.76,1.997,0.95,1.0,1.897,1.76,18.041,13.022
Mega Man,Samus,1,0,1,-1,106,0.846,0.606,1.33,1.05,1.0,1.397,0.606,8.07,6.563
Pyra & Mythra,Incineroar,1,1,0,3,125,4.588,3.286,1.33,1.05,1.0,1.397,3.286,11.562,9.697
Pyra & Mythra,Sephiroth,2,1,0,3,63,6.055,3.64,1.663,1.0,1.0,1.663,3.64,17.617,13.337
Pyra & Mythra,King K Rool,3,1,0,2,64,4.471,2.634,1.997,0.85,1.0,1.697,2.634,22.088,15.971
Mii Swordfighter,Lucas,1,1,0,1,0,2.926,2.0,1.33,1.1,1.0,1.463,2.0,9.35,7.945
Mii Swordfighter,Ryu,2,1,0,2,78,4.249,2.554,1.663,1.0,1.0,1.663,2.554,13.599,10.499
Mii Swordfighter,Wolf,3,1,0,2,94,5.655,2.463,1.997,1.15,1.0,2.296,2.463,19.254,12.962
Joker,Isabelle,1,1,0,2,80,3.044,2.543,1.33,0.9,1.0,1.197,2.543,9.458,8.933
Joker,Peach,2,1,0,2,43,4.581,2.754,1.663,1.0,1.0,1.663,2.754,14.039,11.687
Joker,Wii Fit Trainer,3,1,0,2,48,5.17,2.726,1.997,0.95,1.0,1.897,2.726,19.209,14.413
Sheik,Dr Mario,1,1,0,1,84,1.819,1.52,1.33,0.9,1.0,1.197,1.52,7.927,7.241
Sheik,Corrin,2,1,0,2,110,3.944,2.371,1.663,1.0,1.0,1.663,2.371,11.872,9.612
Sheik,Ike,3,1,0,2,55,4.826,2.686,1.997,0.9,1.0,1.797,2.686,16.698,12.298
Jigglypuff,Bowser Jr,1,0,1,-1,131,0.996,0.749,1.33,1.0,1.0,1.33,0.749,6.815,6.443
Diddy Kong,Bowser,1,1,0,3,114,4.231,3.349,1.33,0.95,1.0,1.264,3.349,9.487,8.323
Diddy Kong,Rosalina & Luma,2,1,0,2,57,4.448,2.674,1.663,1.0,1.0,1.663,2.674,13.935,10.997
Diddy Kong,Wario,3,1,0,2,68,5.475,2.611,1.997,1.05,1.0,2.096,2.611,19.41,13.608
Zero Suit Samus,Robin,1,1,0,2,123,2.597,2.297,1.33,0.85,1.0,1.131,2.297,7.656,7.049
Zero Suit Samus,Cloud,2,1,0,1,9,3.403,1.949,1.663,1.05,1.0,1.747,1.949,11.059,8.998
Zero Suit Samus,Diddy Kong,3,1,0,2,0,6.589,3.0,1.997,1.1,1.0,2.196,3.0,17.648,11.998
ROB,Dr Mario,1,1,0,2,94,2.948,2.463,1.33,0.9,1.0,1.197,2.463,7.84,7.176
ROB,Robin,2,1,0,1,36,2.686,1.794,1.663,0.9,1.0,1.497,1.794,10.526,8.97
ROB,Ice Climbers,3,1,0,2,129,4.292,2.263,1.997,0.95,1.0,1.897,2.263,14.818,11.233
Peach,Peach,1,1,0,2,122,3.063,2.303,1.33,1.0,1.0,1.33,2.303,7.57,6.494
Peach,Chrom,2,1,0,2,56,4.012,2.68,1.663,0.9,1.0,1.497,2.68,11.582,9.174
Peach,Lucas,3,1,0,1,10,3.491,1.943,1.997,0.9,1.0,1.797,1.943,15.073,11.117
Wii Fit Trainer,Lucina,1,1,0,2,136,2.661,2.223,1.33,0.9,1.0,1.197,2.223,6.969,6.528
Wii Fit Trainer,Sheik,2,1,0,2,33,4.91,2.811,1.663,1.05,1.0,1.747,2.811,11.879,9.339
Wii Fit Trainer,Roy,3,1,0,2,6,5.625,2.966,1.997,0.95,1.0,1.897,2.966,17.504,12.305
Wii Fit Trainer,Wolf,4,0,1,-1,17,0.027,0.097,1.0,1.1,4.0,0.275,0.097,17.531,12.402
Pichu,Link,1,1,0,2,110,3.154,2.371,1.33,1.0,1.0,1.33,2.371,6.388,5.131
Pichu,Ken,2,1,0,2,78,3.611,2.554,1.663,0.85,1.0,1.414,2.554,9.999,7.686
Pichu,Falco,3,1,0,2,121,4.609,2.309,1.997,1.0,1.0,1.997,2.309,14.609,9.994
Pichu,Isabelle,4,1,0,2,112,0.56,2.36,1.0,0.95,4.0,0.237,2.36,15.169,12.354
Ness,Sonic,1,1,0,2,79,3.39,2.549,1.33,1.0,1.0,1.33,2.549,6.623,5.528
