Character,Opponent,Round,Win,Loss,Stock Diff,Percentage,Score,Base Score,Stage Multiplier,Matchup,Late Match Divisor,Total Multiplier,Multiplier Adjusted Score,Accumulated_Sum,Multiplier Adjusted Accumulated Sum
Lucas,Toon Link,1,1,0,2,51,8.779,2.796,3.14,1.0,1.0,3.14,2.796,29.695,17.587
Lucas,Villager,2,1,0,1,0,8.694,2.0,4.14,1.05,1.0,4.347,2.0,38.389,19.587
Lucas,Ganondorf,3,1,0,2,66,14.063,2.736,5.14,1.0,1.0,5.14,2.736,52.452,22.323
Banjo & Kazooie,Mr Game & Watch,1,1,0,2,80,8.836,2.68,3.14,1.05,1.0,3.297,2.68,29.266,16.782
Banjo & Kazooie,Roy,2,1,0,2,0,11.799,3.0,4.14,0.95,1.0,3.933,3.0,41.065,19.782
Banjo & Kazooie,Pit,3,1,0,2,58,14.939,2.768,5.14,1.05,1.0,5.397,2.768,56.004,22.55
Ridley,Wolf,1,1,0,2,113,8.001,2.548,3.14,1.0,1.0,3.14,2.548,28.429,16.014
Ridley,Wii Fit Trainer,2,1,0,3,88,14.348,3.648,4.14,0.95,1.0,3.933,3.648,42.776,19.662
Ridley,Roy,3,1,0,1,0,10.794,2.0,5.14,1.05,1.0,5.397,2.0,53.57,21.662
Ice Climbers,Luigi,1,1,0,2,100,7.756,2.6,3.14,0.95,1.0,2.983,2.6,27.944,17.028
Ice Climbers,Villager,2,1,0,1,77,7.355,1.692,4.14,1.05,1.0,4.347,1.692,35.299,18.72
Ice Climbers,Bowser,3,1,0,3,139,15.932,3.444,5.14,0.9,1.0,4.626,3.444,51.231,22.164
Bowser Jr,Cloud,1,1,0,2,110,9.244,2.56,3.14,1.15,1.0,3.611,2.56,29.42,16.722
Bowser Jr,Chrom,2,1,0,2,0,11.799,3.0,4.14,0.95,1.0,3.933,3.0,41.219,19.722
Bowser Jr,ROB,3,1,0,2,58,15.65,2.768,5.14,1.1,1.0,5.654,2.768,56.869,22.49
Chrom,Ryu,1,0,1,-1,41,0.489,0.164,3.14,0.95,1.0,2.983,0.164,20.55,13.395
Zelda,Mewtwo,1,1,0,2,34,8.543,2.864,3.14,0.95,1.0,2.983,2.864,28.43,16.351
Zelda,Palutena,2,1,0,1,47,7.877,1.812,4.14,1.05,1.0,4.347,1.812,36.307,18.163
Zelda,Rosalina & Luma,3,1,0,3,138,17.723,3.448,5.14,1.0,1.0,5.14,3.448,54.03,21.611
Zelda,Daisy,4,1,0,1,155,0.328,1.38,1.0,0.95,4.0,0.237,1.38,54.358,22.991
Young Link,Pokemon Trainer,1,1,0,2,75,8.478,2.7,3.14,1.0,1.0,3.14,2.7,28.302,16.937
Young Link,Diddy Kong,2,1,0,3,108,14.772,3.568,4.14,1.0,1.0,4.14,3.568,43.074,20.505
Young Link,Wario,3,1,0,2,48,14.433,2.808,5.14,1.0,1.0,5.14,2.808,57.507,23.313
Young Link,Ridley,4,1,0,2,46,0.598,2.816,1.0,0.85,4.0,0.212,2.816,58.105,26.129
Sephiroth,Bowser Jr,1,1,0,3,125,10.99,3.5,3.14,1.0,1.0,3.14,3.5,30.702,18.524
Sephiroth,Wolf,2,1,0,1,31,8.155,1.876,4.14,1.05,1.0,4.347,1.876,38.857,20.4
Sephiroth,Wario,3,1,0,2,0,16.191,3.0,5.14,1.05,1.0,5.397,3.0,55.048,23.4
Bowser,Pikachu,1,1,0,1,123,4.972,1.508,3.14,1.05,1.0,3.297,1.508,24.613,15.312
Bowser,Richter,2,1,0,2,169,9.14,2.324,4.14,0.95,1.0,3.933,2.324,33.753,17.636
Bowser,Ike,3,1,0,1,115,7.916,1.54,5.14,1.0,1.0,5.14,1.54,41.669,19.176
Bowser,Wario,4,1,0,2,83,0.734,2.668,1.0,1.1,4.0,0.275,2.668,42.402,21.844
Kirby,Ken,1,1,0,2,11,9.282,2.956,3.14,1.0,1.0,3.14,2.956,28.489,17.156
Kirby,Wolf,2,1,0,1,120,5.978,1.52,4.14,0.95,1.0,3.933,1.52,34.467,18.676
Kirby,Meta Knight,3,1,0,2,44,15.967,2.824,5.14,1.1,1.0,5.654,2.824,50.434,21.5
Kirby,Jigglypuff,4,1,0,3,153,0.805,3.388,1.0,0.95,4.0,0.237,3.388,51.239,24.888
Mii Gunner,Villager,1,1,0,2,6,9.812,2.976,3.14,1.05,1.0,3.297,2.976,28.571,15.331
Mii Gunner,Pichu,2,1,0,2,185,10.292,2.26,4.14,1.1,1.0,4.554,2.26,38.863,17.591
Mii Gunner,Sheik,3,1,0,3,199,16.469,3.204,5.14,1.0,1.0,5.14,3.204,55.331,20.795
Mii Gunner,Kazuya,4,1,0,3,39,1.057,3.844,1.0,1.1,4.0,0.275,3.844,56.389,24.639
Ike,Ryu,1,1,0,2,44,8.867,2.824,3.14,1.0,1.0,3.14,2.824,27.616,15.996
Ike,Peach,2,1,0,3,145,14.867,3.42,4.14,1.05,1.0,4.347,3.42,42.483,19.416
Ike,Lucas,3,1,0,2,29,14.083,2.884,5.14,0.95,1.0,4.883,2.884,56.566,22.3
Terry,Isabelle,1,1,0,2,55,7.856,2.78,3.14,0.9,1.0,2.826,2.78,26.498,17.182
Terry,Pit,2,1,0,2,128,9.27,2.488,4.14,0.9,1.0,3.726,2.488,35.769,19.67
Terry,Zelda,3,1,0,2,54,14.31,2.784,5.14,1.0,1.0,5.14,2.784,50.078,22.454
Min Min,Hero,1,1,0,1,29,5.62,1.884,3.14,0.95,1.0,2.983,1.884,24.151,15.398
Min Min,Ike,2,0,1,-2,124,-1.878,-0.504,4.14,0.9,1.0,3.726,-0.504,22.273,14.894
Dark Pit,Jigglypuff,1,1,0,2,12,9.269,2.952,3.14,1.0,1.0,3.14,2.952,27.778,16.275
Dark Pit,Mr Game & Watch,2,1,0,2,59,12.015,2.764,4.14,1.05,1.0,4.347,2.764,39.793,19.039
Dark Pit,Daisy,3,1,0,2,28,14.844,2.888,5.14,1.0,1.0,5.14,2.888,54.638,21.927
Dark Pit,King K Rool,4,1,0,1,0,0.5,2.0,1.0,1.0,4.0,0.25,2.0,55.138,23.927
Greninja,Mewtwo,1,1,0,3,36,12.108,3.856,3.14,1.0,1.0,3.14,3.856,30.538,16.918
Greninja,Banjo & Kazooie,2,0,1,-1,56,0.974,0.224,4.14,1.05,1.0,4.347,0.224,31.512,17.142
Sora,Kazuya,1,0,1,-1,89,1.118,0.356,3.14,1.0,1.0,3.14,0.356,19.546,13.651
Donkey Kong,Snake,1,1,0,2,90,8.29,2.64,3.14,1.0,1.0,3.14,2.64,26.715,15.643
Donkey Kong,Min Min,2,1,0,2,90,11.476,2.64,4.14,1.05,1.0,4.347,2.64,38.191,18.283
Donkey Kong,Kirby,3,1,0,2,0,15.42,3.0,5.14,1.0,1.0,5.14,3.0,53.611,21.283
Dark Samus,Robin,1,1,0,3,32,10.942,3.872,3.14,0.9,1.0,2.826,3.872,29.357,16.758
Dark Samus,Cloud,2,1,0,2,131,9.738,2.476,4.14,0.95,1.0,3.933,2.476,39.095,19.234
Dark Samus,Ness,3,1,0,1,0,9.766,2.0,5.14,0.95,1.0,4.883,2.0,48.861,21.234
Hero,PacMan,1,1,0,2,89,7.887,2.644,3.14,0.95,1.0,2.983,2.644,26.299,15.691
Hero,Donkey Kong,2,1,0,2,69,11.841,2.724,4.14,1.05,1.0,4.347,2.724,38.14,18.415
Hero,Yoshi,3,1,0,3,136,18.652,3.456,5.14,1.05,1.0,5.397,3.456,56.792,21.871
Piranha Plant,Ryu,1,1,0,2,37,7.612,2.852,3.14,0.85,1.0,2.669,2.852,25.984,15.888
Piranha Plant,Mewtwo,2,1,0,2,97,11.895,2.612,4.14,1.1,1.0,4.554,2.612,37.879,18.5
Piranha Plant,Palutena,3,1,0,3,136,19.54,3.456,5.14,1.1,1.0,5.654,3.456,57.419,21.956
Yoshi,Samus,1,1,0,2,110,8.44,2.56,3.14,1.05,1.0,3.297,2.56,26.736,15.383
Yoshi,Captain Falcon,2,1,0,2,23,11.437,2.908,4.14,0.95,1.0,3.933,2.908,38.173,18.291
Yoshi,Luigi,3,1,0,2,151,12.931,2.396,5.14,1.05,1.0,5.397,2.396,51.105,20.687
Corrin,Villager,1,1,0,1,0,5.338,2.0,3.14,0.85,1.0,2.669,2.0,23.634,14.422
Corrin,Toon Link,2,1,0,2,60,10.855,2.76,4.14,0.95,1.0,3.933,2.76,34.489,17.182
Corrin,Fox,3,1,0,2,85,14.356,2.66,5.14,1.05,1.0,5.397,2.66,48.845,19.842
Corrin,PacMan,4,1,0,2,42,0.708,2.832,1.0,1.0,4.0,0.25,2.832,49.553,22.674
Incineroar,Ridley,1,1,0,3,109,12.31,3.564,3.14,1.1,1.0,3.454,3.564,30.413,15.4
Incineroar,ROB,2,1,0,2,103,11.786,2.588,4.14,1.1,1.0,4.554,2.588,42.199,17.988
Incineroar,Ike,3,1,0,1,0,10.28,2.0,5.14,1.0,1.0,5.14,2.0,52.479,19.988
Ganondorf,Peach,1,1,0,3,150,11.744,3.4,3.14,1.1,1.0,3.454,3.4,29.833,16.524
Ganondorf,Samus,2,1,0,2,68,11.859,2.728,4.14,1.05,1.0,4.347,2.728,41.691,19.252
Ganondorf,Lucas,3,1,0,3,176,16.941,3.296,5.14,1.0,1.0,5.14,3.296,58.633,22.548
Wolf,Ridley,1,1,0,2,31,9.031,2.876,3.14,1.0,1.0,3.14,2.876,27.056,17.011
Wolf,Kirby,2,0,1,-1,155,2.695,0.62,4.14,1.05,1.0,4.347,0.62,29.751,17.631
Cloud,Meta Knight,1,1,0,2,42,8.448,2.832,3.14,0.95,1.0,2.983,2.832,26.314,15.28
Cloud,Snake,2,1,0,2,0,13.041,3.0,4.14,1.05,1.0,4.347,3.0,39.355,18.28
Cloud,Hero,3,0,1,-1,62,1.211,0.248,5.14,0.95,1.0,4.883,0.248,40.566,18.528
Mii Brawler,Ike,1,1,0,2,115,7.577,2.54,3.14,0.95,1.0,2.983,2.54,25.201,15.248
Mii Brawler,Palutena,2,1,0,1,0,8.694,2.0,4.14,1.05,1.0,4.347,2.0,33.895,17.248
Mii Brawler,Mega Man,3,1,0,2,93,13.508,2.628,5.14,1.0,1.0,5.14,2.628,47.403,19.876
Olimar,Toon Link,1,1,0,2,101,8.151,2.596,3.14,1.0,1.0,3.14,2.596,25.451,15.279
Olimar,Corrin,2,1,0,2,35,11.248,2.86,4.14,0.95,1.0,3.933,2.86,36.7,18.139
Olimar,Wario,3,1,0,2,112,13.117,2.552,5.14,1.0,1.0,5.14,2.552,49.817,20.691
Olimar,Kirby,4,1,0,2,152,0.538,2.392,1.0,0.9,4.0,0.225,2.392,50.355,23.083
Luigi,Link,1,0,1,-2,75,-2.088,-0.7,3.14,0.95,1.0,2.983,-0.7,15.211,11.35
Duck Hunt,Cloud,1,1,0,2,136,8.483,2.456,3.14,1.1,1.0,3.454,2.456,25.744,13.937
Duck Hunt,Olimar,2,1,0,2,140,11.112,2.44,4.14,1.1,1.0,4.554,2.44,36.856,16.377
Duck Hunt,Wario,3,1,0,2,58,14.228,2.768,5.14,1.0,1.0,5.14,2.768,51.083,19.145
Pit,Byleth,1,0,1,-1,29,0.346,0.116,3.14,0.95,1.0,2.983,0.116,17.585,12.031
King K Rool,Hero,1,1,0,1,75,5.338,1.7,3.14,1.0,1.0,3.14,1.7,22.423,12.83
King K Rool,Kirby,2,1,0,2,7,12.304,2.972,4.14,1.0,1.0,4.14,2.972,34.727,15.802
King K Rool,Ice Climbers,3,1,0,3,172,17.024,3.312,5.14,1.0,1.0,5.14,3.312,51.751,19.114
Robin,Wii Fit Trainer,1,1,0,2,0,9.42,3.0,3.14,1.0,1.0,3.14,3.0,26.299,15.686
Robin,Ice Climbers,2,1,0,1,12,8.485,1.952,4.14,1.05,1.0,4.347,1.952,34.784,17.638
Robin,Chrom,3,1,0,1,8,9.61,1.968,5.14,0.95,1.0,4.883,1.968,44.394,19.606
Robin,Banjo & Kazooie,4,1,0,1,76,0.445,1.696,1.0,1.05,4.0,0.263,1.696,44.839,21.302
Little Mac,Terry,1,0,1,-1,63,0.752,0.252,3.14,0.95,1.0,2.983,0.252,17.587,11.283
Simon,Yoshi,1,1,0,1,89,5.162,1.644,3.14,1.0,1.0,3.14,1.644,21.971,13.462
Simon,Mewtwo,2,1,0,1,0,7.866,2.0,4.14,0.95,1.0,3.933,2.0,29.837,15.462
Simon,Duck Hunt,3,1,0,2,121,12.932,2.516,5.14,1.0,1.0,5.14,2.516,42.769,17.978
Lucina,Wolf,1,1,0,2,162,7.385,2.352,3.14,1.0,1.0,3.14,2.352,24.108,13.424
Lucina,Fox,2,1,0,2,54,12.102,2.784,4.14,1.05,1.0,4.347,2.784,36.21,16.208
Lucina,Isabelle,3,1,0,2,90,13.57,2.64,5.14,1.0,1.0,5.14,2.64,49.78,18.848
Mr Game & Watch,Pokemon Trainer,1,1,0,1,0,5.652,2.0,3.14,0.9,1.0,2.826,2.0,22.247,13.726
Mr Game & Watch,Min Min,2,1,0,2,22,11.453,2.912,4.14,0.95,1.0,3.933,2.912,33.7,16.638
Mr Game & Watch,Pyra & Mythra,3,1,0,2,126,13.471,2.496,5.14,1.05,1.0,5.397,2.496,47.171,19.134
Pokemon Trainer,Ken,1,1,0,1,21,6.618,1.916,3.14,1.1,1.0,3.454,1.916,22.91,12.901
Pokemon Trainer,Isabelle,2,1,0,2,160,10.259,2.36,4.14,1.05,1.0,4.347,2.36,33.169,15.261
Pokemon Trainer,Yoshi,3,1,0,2,74,13.899,2.704,5.14,1.0,1.0,5.14,2.704,47.067,17.965
Pokemon Trainer,Hero,4,1,0,2,117,0.633,2.532,1.0,1.0,4.0,0.25,2.532,47.7,20.497
Pyra & Mythra,Donkey Kong,1,1,0,1,102,4.999,1.592,3.14,1.0,1.0,3.14,1.592,23.368,11.906
