Character,Opponent,Round,Win,Loss,Stock Diff,Percentage,Score,Base Score,Stage Multiplier,Matchup,Late Match Divisor,Total Multiplier,Multiplier Adjusted Score,Accumulated_Sum,Multiplier Adjusted Accumulated Sum
Pyra & Mythra,ROB,1,1,0,3,120,9.61,3.52,2.73,1.0,1.0,2.73,3.52,31.55,15.848
Pyra & Mythra,Incineroar,2,1,0,3,69,12.63,3.724,3.23,1.05,1.0,3.392,3.724,44.18,19.572
Pyra & Mythra,Olimar,3,1,0,2,26,10.802,2.896,3.73,1.0,1.0,3.73,2.896,54.982,22.468
Pyra & Mythra,Mewtwo,4,1,0,2,105,0.581,2.58,1.0,0.9,4.0,0.225,2.58,55.562,25.048
Toon Link,Isabelle,1,1,0,2,23,7.939,2.908,2.73,1.0,1.0,2.73,2.908,29.258,17.366
Toon Link,Marth,2,1,0,1,33,5.43,1.868,3.23,0.9,1.0,2.907,1.868,34.688,19.234
Toon Link,Chrom,3,1,0,1,72,6.066,1.712,3.73,0.95,1.0,3.543,1.712,40.755,20.946
Toon Link,Wolf,4,1,0,2,45,0.705,2.82,1.0,1.0,4.0,0.25,2.82,41.46,23.766
Diddy Kong,Greninja,1,1,0,2,117,6.221,2.532,2.73,0.9,1.0,2.457,2.532,27.522,13.948
Diddy Kong,Captain Falcon,2,1,0,2,98,7.581,2.608,3.23,0.9,1.0,2.907,2.608,35.104,16.556
Diddy Kong,Young Link,3,1,0,3,175,12.309,3.3,3.73,1.0,1.0,3.73,3.3,47.413,19.856
Meta Knight,Joker,1,1,0,1,81,4.804,1.676,2.73,1.05,1.0,2.867,1.676,25.688,14.294
Meta Knight,Bayonetta,2,1,0,2,179,7.377,2.284,3.23,1.0,1.0,3.23,2.284,33.066,16.578
Meta Knight,Min Min,3,1,0,2,164,8.306,2.344,3.73,0.95,1.0,3.543,2.344,41.372,18.922
Isabelle,Jigglypuff,1,1,0,2,54,7.22,2.784,2.73,0.95,1.0,2.593,2.784,28.083,16.572
Isabelle,Hero,2,1,0,1,90,5.827,1.64,3.23,1.1,1.0,3.553,1.64,33.91,18.212
Isabelle,Mega Man,3,1,0,2,105,10.105,2.58,3.73,1.05,1.0,3.917,2.58,44.015,20.792
Link,Ice Climbers,1,1,0,1,22,5.742,1.912,2.73,1.1,1.0,3.003,1.912,25.664,15.746
Link,Sonic,2,1,0,3,155,11.463,3.38,3.23,1.05,1.0,3.392,3.38,37.127,19.126
Link,Piranha Plant,3,1,0,3,170,11.764,3.32,3.73,0.95,1.0,3.543,3.32,48.891,22.446
Richter,Simon,1,0,1,-1,88,0.961,0.352,2.73,1.0,1.0,2.73,0.352,20.379,12.759
King Dedede,Lucario,1,1,0,3,122,9.588,3.512,2.73,1.0,1.0,2.73,3.512,28.032,16.847
King Dedede,Donkey Kong,2,1,0,2,111,8.256,2.556,3.23,1.0,1.0,3.23,2.556,36.288,19.403
King Dedede,Villager,3,0,1,-1,80,1.373,0.32,3.73,1.15,1.0,4.289,0.32,37.66,19.723
Mewtwo,Terry,1,0,1,-2,114,-1.559,-0.544,2.73,1.05,1.0,2.867,-0.544,16.82,13.167
Wario,Bayonetta,1,1,0,2,92,7.185,2.632,2.73,1.0,1.0,2.73,2.632,25.54,13.872
Wario,Zelda,2,1,0,1,8,6.039,1.968,3.23,0.95,1.0,3.068,1.968,31.579,15.84
Wario,Toon Link,3,1,0,1,73,6.052,1.708,3.73,0.95,1.0,3.543,1.708,37.631,17.548
Wario,Villager,4,1,0,1,21,0.431,1.916,1.0,0.9,4.0,0.225,1.916,38.063,19.464
Roy,Samus,1,1,0,2,137,6.694,2.452,2.73,1.0,1.0,2.73,2.452,24.652,17.785
Roy,Lucas,2,1,0,2,66,7.954,2.736,3.23,0.9,1.0,2.907,2.736,32.606,20.521
Roy,Sonic,3,1,0,2,45,10.519,2.82,3.73,1.0,1.0,3.73,2.82,43.124,23.341
Mii Swordfighter,Mario,1,1,0,2,132,7.086,2.472,2.73,1.05,1.0,2.867,2.472,25.028,14.053
Mii Swordfighter,Zero Suit Samus,2,1,0,2,23,9.393,2.908,3.23,1.0,1.0,3.23,2.908,34.421,16.961
Mii Swordfighter,Daisy,3,1,0,2,23,10.304,2.908,3.73,0.95,1.0,3.543,2.908,44.725,19.869
Mii Swordfighter,Mr Game & Watch,4,1,0,2,34,0.716,2.864,1.0,1.0,4.0,0.25,2.864,45.441,22.733
PacMan,Yoshi,1,1,0,1,88,4.499,1.648,2.73,1.0,1.0,2.73,1.648,20.994,14.007
PacMan,Roy,2,1,0,2,15,9.971,2.94,3.23,1.05,1.0,3.392,2.94,30.965,16.947
PacMan,Mewtwo,3,0,1,-1,13,0.175,0.052,3.73,0.9,1.0,3.357,0.052,31.14,16.999
Inkling,Palutena,1,1,0,1,13,5.584,1.948,2.73,1.05,1.0,2.867,1.948,22.074,14.916
Inkling,Pokemon Trainer,2,1,0,2,87,9.851,2.652,3.23,1.15,1.0,3.714,2.652,31.925,17.568
Inkling,Zero Suit Samus,3,1,0,1,0,7.833,2.0,3.73,1.05,1.0,3.917,2.0,39.758,19.568
Shulk,Ice Climbers,1,1,0,2,108,6.66,2.568,2.73,0.95,1.0,2.593,2.568,22.509,16.037
Shulk,Bowser,2,1,0,1,0,5.814,2.0,3.23,0.9,1.0,2.907,2.0,28.323,18.037
Shulk,Wolf,3,0,1,-1,0,0.0,0.0,3.73,1.0,1.0,3.73,0.0,28.323,18.037
Ryu,PacMan,1,1,0,2,133,6.738,2.468,2.73,1.0,1.0,2.73,2.468,19.402,11.107
Ryu,Dark Samus,2,1,0,3,202,10.31,3.192,3.23,1.0,1.0,3.23,3.192,29.712,14.299
Ryu,Hero,3,1,0,1,0,7.087,2.0,3.73,0.95,1.0,3.543,2.0,36.799,16.299
Ryu,Mega Man,3,1,0,1,6,7.37,1.976,3.73,1.0,1.0,3.73,1.976,44.169,18.275
Dr Mario,Dark Pit,1,1,0,3,133,9.468,3.468,2.73,1.0,1.0,2.73,3.468,22.366,16.366
Dr Mario,Olimar,2,1,0,2,113,9.053,2.548,3.23,1.1,1.0,3.553,2.548,31.419,18.914
Dr Mario,Ken,3,1,0,3,172,14.207,3.312,3.73,1.15,1.0,4.289,3.312,45.626,22.226
Pichu,Mega Man,1,1,0,1,4,5.687,1.984,2.73,1.05,1.0,2.867,1.984,18.104,14.401
Pichu,Hero,2,1,0,1,114,4.987,1.544,3.23,1.0,1.0,3.23,1.544,23.091,15.945
Pichu,Yoshi,3,1,0,2,118,10.372,2.528,3.73,1.1,1.0,4.103,2.528,33.464,18.473
Sonic,Byleth,1,1,0,2,67,6.713,2.732,2.73,0.9,1.0,2.457,2.732,18.521,14.54
Sonic,Sephiroth,2,1,0,2,83,9.049,2.668,3.23,1.05,1.0,3.392,2.668,27.569,17.208
Sonic,Palutena,3,1,0,1,69,6.431,1.724,3.73,1.0,1.0,3.73,1.724,34.0,18.932
Mario,Meta Knight,1,1,0,2,75,7.371,2.7,2.73,1.0,1.0,2.73,2.7,18.829,14.158
Mario,Lucario,2,1,0,1,0,6.137,2.0,3.23,0.95,1.0,3.068,2.0,24.966,16.158
Mario,Diddy Kong,3,1,0,2,10,11.041,2.96,3.73,1.0,1.0,3.73,2.96,36.007,19.118
ROB,Piranha Plant,1,1,0,2,0,7.371,3.0,2.73,0.9,1.0,2.457,3.0,18.541,14.17
ROB,Mario,2,1,0,1,17,6.24,1.932,3.23,1.0,1.0,3.23,1.932,24.781,16.102
ROB,Ness,3,1,0,3,152,12.02,3.392,3.73,0.95,1.0,3.543,3.392,36.801,19.494
Captain Falcon,Terry,1,1,0,2,0,8.19,3.0,2.73,1.0,1.0,2.73,3.0,19.18,13.99
Captain Falcon,Ken,2,1,0,2,34,10.176,2.864,3.23,1.1,1.0,3.553,2.864,29.356,16.854
Captain Falcon,Ryu,3,1,0,1,133,5.476,1.468,3.73,1.0,1.0,3.73,1.468,34.831,18.322
Byleth,Olimar,1,1,0,2,133,7.075,2.468,2.73,1.05,1.0,2.867,2.468,17.758,13.151
Byleth,Ken,2,1,0,2,73,8.309,2.708,3.23,0.95,1.0,3.068,2.708,26.067,15.859
Byleth,ROB,3,1,0,2,103,10.619,2.588,3.73,1.1,1.0,4.103,2.588,36.686,18.447
Byleth,Chrom,4,1,0,2,13,0.663,2.948,1.0,0.9,4.0,0.225,2.948,37.349,21.395
Peach,Pichu,1,1,0,1,123,3.911,1.508,2.73,0.95,1.0,2.593,1.508,14.48,12.077
Peach,Mega Man,2,0,1,-1,145,1.967,0.58,3.23,1.05,1.0,3.392,0.58,16.447,12.657
