Character,Opponent,Round,Win,Loss,Stock Diff,Percentage,Score,Base Score,Stage Multiplier,Matchup,Late Match Divisor,Total Multiplier,Multiplier Adjusted Score,Accumulated_Sum,Multiplier Adjusted Accumulated Sum
Isabelle,Meta Knight,1,1,0,2,10,11.84,2.96,4.0,1.0,1.0,4.0,2.96,16.656,7.776
Isabelle,Lucas,2,1,0,1,15,10.185,1.94,5.25,1.0,1.0,5.25,1.94,26.841,9.716
Isabelle,Sheik,3,1,0,2,108,17.527,2.568,6.5,1.05,1.0,6.825,2.568,44.368,12.284
Roy,Richter,1,1,0,2,27,11.568,2.892,4.0,1.0,1.0,4.0,2.892,16.175,7.499
Roy,Ganondorf,2,1,0,2,54,14.616,2.784,5.25,1.0,1.0,5.25,2.784,30.791,10.283
Roy,Ridley,3,0,1,-2,50,-4.94,-0.8,6.5,0.95,1.0,6.175,-0.8,25.851,9.483
Simon,Pit,1,1,0,2,27,10.411,2.892,4.0,0.9,1.0,3.6,2.892,14.808,7.289
Simon,Ike,2,1,0,1,110,8.19,1.56,5.25,1.0,1.0,5.25,1.56,22.998,8.849
Simon,Roy,3,1,0,1,90,10.66,1.64,6.5,1.0,1.0,6.5,1.64,33.658,10.489
Mii Swordfighter,Bayonetta,1,1,0,3,89,16.034,3.644,4.0,1.1,1.0,4.4,3.644,20.222,7.832
Mii Swordfighter,Fox,2,1,0,2,74,16.325,2.704,5.25,1.15,1.0,6.037,2.704,36.547,10.536
Mii Swordfighter,Isabelle,3,1,0,2,49,17.315,2.804,6.5,0.95,1.0,6.175,2.804,53.862,13.34
Mii Swordfighter,Kazuya,5,1,0,1,94,0.325,1.624,1.0,1.0,5.0,0.2,1.624,54.187,14.964
Bowser,Corrin,1,1,0,2,15,12.936,2.94,4.0,1.1,1.0,4.4,2.94,16.914,6.918
Bowser,Toon Link,2,1,0,3,105,18.795,3.58,5.25,1.0,1.0,5.25,3.58,35.709,10.498
Bowser,Roy,3,1,0,3,67,27.897,3.732,6.5,1.15,1.0,7.475,3.732,63.606,14.23
Ryu,Bowser Jr,1,1,0,1,84,6.323,1.664,4.0,0.95,1.0,3.8,1.664,10.092,5.433
Ryu,Cloud,2,1,0,1,156,7.224,1.376,5.25,1.0,1.0,5.25,1.376,17.316,6.809
Ryu,ROB,3,1,0,2,79,17.446,2.684,6.5,1.0,1.0,6.5,2.684,34.762,9.493
Cloud,Dark Samus,1,1,0,2,44,10.731,2.824,4.0,0.95,1.0,3.8,2.824,14.291,6.384
Cloud,Pit,2,1,0,3,155,16.858,3.38,5.25,0.95,1.0,4.987,3.38,31.149,9.764
Cloud,Peach,3,1,0,2,0,19.5,3.0,6.5,1.0,1.0,6.5,3.0,50.649,12.764
Greninja,Ridley,1,1,0,2,0,10.8,3.0,4.0,0.9,1.0,3.6,3.0,14.15,6.35
Greninja,Incineroar,2,0,1,-1,77,1.617,0.308,5.25,1.0,1.0,5.25,0.308,15.767,6.658
