Character,Opponent,Round,Win,Loss,Stock Diff,Percentage,Score,Base Score,Stage Multiplier,Matchup,Late Match Divisor,Total Multiplier,Multiplier Adjusted Score,Accumulated_Sum,Multiplier Adjusted Accumulated Sum
Mii Brawler,Steve,1,0,1,-1,6,0.12,0.034,3.335,1.05,1.0,3.502,0.034,5.144,5.058
Bowser Jr,Captain Falcon,1,1,0,3,144,11.126,3.177,3.335,1.05,1.0,3.502,3.177,15.854,7.905
Bowser Jr,Bayonetta,2,1,0,3,27,19.734,3.846,4.665,1.1,1.0,5.132,3.846,35.588,11.751
Bowser Jr,Isabelle,3,1,0,3,143,19.081,3.183,5.995,1.0,1.0,5.995,3.183,54.669,14.934
Bowser Jr,Sephiroth,5,1,0,3,100,0.686,3.429,1.0,1.0,5.0,0.2,3.429,55.355,18.362
Corrin,Sephiroth,1,0,1,-1,15,0.286,0.086,3.335,1.0,1.0,3.335,0.086,4.719,4.519
Mr Game & Watch,Pit,1,1,0,2,18,9.179,2.897,3.335,0.95,1.0,3.168,2.897,13.316,7.034
Mr Game & Watch,Bayonetta,2,1,0,3,93,16.99,3.469,4.665,1.05,1.0,4.898,3.469,30.306,10.503
Mr Game & Watch,Min Min,3,1,0,3,63,20.731,3.64,5.995,0.95,1.0,5.695,3.64,51.037,14.143
Ganondorf,Pokemon Trainer,1,1,0,2,39,10.188,2.777,3.335,1.1,1.0,3.669,2.777,14.03,6.619
Ganondorf,Pichu,2,1,0,2,116,10.903,2.337,4.665,1.0,1.0,4.665,2.337,24.933,8.956
Ganondorf,Palutena,3,1,0,1,53,10.683,1.697,5.995,1.05,1.0,6.295,1.697,35.616,10.653
Dark Pit,Wii Fit Trainer,1,1,0,3,112,11.206,3.36,3.335,1.0,1.0,3.335,3.36,14.752,6.906
Dark Pit,Little Mac,2,1,0,2,20,13.462,2.886,4.665,1.0,1.0,4.665,2.886,28.213,9.792
Dark Pit,Villager,3,1,0,3,103,20.452,3.411,5.995,1.0,1.0,5.995,3.411,48.665,13.203
Mii Swordfighter,Chrom,1,1,0,3,96,10.359,3.451,3.335,0.9,1.0,3.002,3.451,13.61,6.702
Mii Swordfighter,Inkling,2,1,0,2,106,11.728,2.394,4.665,1.05,1.0,4.898,2.394,25.338,9.097
Mii Swordfighter,Mega Man,3,1,0,3,123,21.743,3.297,5.995,1.1,1.0,6.595,3.297,47.081,12.394
Byleth,Bayonetta,1,1,0,4,106,13.189,4.394,3.335,0.9,1.0,3.002,4.394,16.144,7.349
Byleth,Hero,2,1,0,2,80,12.456,2.543,4.665,1.05,1.0,4.898,2.543,28.6,9.892
Byleth,King K Rool,3,1,0,2,0,17.086,3.0,5.995,0.95,1.0,5.695,3.0,45.686,12.892
Pokemon Trainer,Lucas,1,1,0,3,52,12.966,3.703,3.335,1.05,1.0,3.502,3.703,15.626,6.363
Pokemon Trainer,Palutena,2,1,0,3,82,15.65,3.531,4.665,0.95,1.0,4.432,3.531,31.277,9.894
Pokemon Trainer,Duck Hunt,3,1,0,2,8,17.711,2.954,5.995,1.0,1.0,5.995,2.954,48.988,12.849
Pokemon Trainer,Sephiroth,4,0,1,-1,25,0.03,0.143,1.0,0.85,4.0,0.212,0.143,49.018,12.991
Ike,Ganondorf,1,1,0,1,67,5.932,1.617,3.335,1.1,1.0,3.669,1.617,8.296,3.981
Ike,Banjo & Kazooie,2,1,0,3,69,15.139,3.606,4.665,0.9,1.0,4.199,3.606,23.435,7.587
Ike,Zelda,3,1,0,2,37,16.717,2.789,5.995,1.0,1.0,5.995,2.789,40.153,10.375
Meta Knight,Cloud,1,1,0,1,52,5.963,1.703,3.335,1.05,1.0,3.502,1.703,8.032,3.772
Meta Knight,Sheik,2,1,0,4,160,18.107,4.086,4.665,0.95,1.0,4.432,4.086,26.139,7.858
Meta Knight,Falco,3,1,0,2,131,13.497,2.251,5.995,1.0,1.0,5.995,2.251,39.636,10.109
Isabelle,PacMan,1,1,0,4,148,13.855,4.154,3.335,1.0,1.0,3.335,4.154,15.628,5.927
Isabelle,Corrin,2,1,0,3,130,16.714,3.257,4.665,1.1,1.0,5.132,3.257,32.342,9.184
Isabelle,Duck Hunt,3,1,0,3,22,24.388,3.874,5.995,1.05,1.0,6.295,3.874,56.729,13.059
Sora,Steve,1,1,0,2,0,10.505,3.0,3.335,1.05,1.0,3.502,3.0,11.983,4.478
Sora,Pikachu,2,1,0,2,62,11.725,2.646,4.665,0.95,1.0,4.432,2.646,23.708,7.124
Sora,Greninja,3,1,0,4,118,24.636,4.326,5.995,0.95,1.0,5.695,4.326,48.344,11.449
Pit,Shulk,1,1,0,3,53,12.946,3.697,3.335,1.05,1.0,3.502,3.697,14.128,4.879
Pit,Daisy,2,1,0,3,99,14.419,3.434,4.665,0.9,1.0,4.199,3.434,28.547,8.313
Pit,Dark Samus,3,1,0,2,26,16.24,2.851,5.995,0.95,1.0,5.695,2.851,44.787,11.165
Pit,Jigglypuff,4,1,0,3,55,0.968,3.686,1.0,1.05,4.0,0.263,3.686,45.754,14.851
Diddy Kong,Joker,1,1,0,3,137,10.729,3.217,3.335,1.0,1.0,3.335,3.217,11.616,4.104
Diddy Kong,Mr Game & Watch,2,1,0,3,114,14.84,3.349,4.665,0.95,1.0,4.432,3.349,26.456,7.453
Diddy Kong,Banjo & Kazooie,3,1,0,4,179,20.383,4.0,5.995,0.85,1.0,5.096,4.0,46.839,11.453
Diddy Kong,Roy,4,1,0,3,42,0.893,3.76,1.0,0.95,4.0,0.237,3.76,47.732,15.213
Wario,Isabelle,1,1,0,3,169,10.625,3.034,3.335,1.05,1.0,3.502,3.034,11.216,3.625
Wario,Wii Fit Trainer,2,1,0,2,52,11.978,2.703,4.665,0.95,1.0,4.432,2.703,23.195,6.328
Wario,Falco,3,1,0,3,87,22.05,3.503,5.995,1.05,1.0,6.295,3.503,45.244,9.831
Ryu,Joker,1,1,0,2,33,9.845,2.811,3.335,1.05,1.0,3.502,2.811,10.14,3.106
Ryu,Rosalina & Luma,2,1,0,2,54,11.928,2.691,4.665,0.95,1.0,4.432,2.691,22.068,5.798
Ryu,Ganondorf,3,1,0,2,62,16.654,2.646,5.995,1.05,1.0,6.295,2.646,38.722,8.444
Simon,Dr Mario,1,1,0,3,40,12.578,3.771,3.335,1.0,1.0,3.335,3.771,12.578,3.771
Simon,PacMan,2,1,0,3,99,16.822,3.434,4.665,1.05,1.0,4.898,3.434,29.4,7.206
Simon,Palutena,3,1,0,2,124,14.424,2.291,5.995,1.05,1.0,6.295,2.291,43.824,9.497
Simon,Greninja,4,1,0,3,51,0.974,3.709,1.0,1.05,4.0,0.263,3.709,44.797,13.206
