Character,Opponent,Round,Win,Loss,Stock Diff,Percentage,Score,Base Score,Stage Multiplier,Matchup,Late Match Divisor,Total Multiplier,Multiplier Adjusted Score,Accumulated_Sum,Multiplier Adjusted Accumulated Sum
Dr Mario,Dark Pit,1,1,0,2,163,2.0,2.0,1.0,1.0,1.0,1.0,2.0,13.207,11.525
Dr Mario,King K Rool,2,1,0,2,22,3.567,2.853,1.25,1.0,1.0,1.25,2.853,16.774,14.378
Dr Mario,Bowser,3,1,0,1,0,3.0,2.0,1.5,1.0,1.0,1.5,2.0,19.774,16.378
Mii Swordfighter,Greninja,1,1,0,1,82,1.526,1.453,1.0,1.05,1.0,1.05,1.453,12.39,10.913
Mii Swordfighter,Mega Man,2,1,0,2,74,3.447,2.507,1.25,1.1,1.0,1.375,2.507,15.837,13.42
Mii Swordfighter,Lucario,3,1,0,1,37,2.762,1.753,1.5,1.05,1.0,1.575,1.753,18.598,15.173
Ganondorf,Sephiroth,1,1,0,1,145,1.085,1.033,1.0,1.05,1.0,1.05,1.033,11.689,12.893
Ganondorf,PacMan,2,1,0,1,0,2.5,2.0,1.25,1.0,1.0,1.25,2.0,14.189,14.893
Ganondorf,Samus,3,1,0,1,70,2.415,1.533,1.5,1.05,1.0,1.575,1.533,16.604,16.427
Min Min,Ken,1,1,0,2,0,2.85,3.0,1.0,0.95,1.0,0.95,3.0,13.356,15.625
Min Min,Ness,2,1,0,2,10,3.3,2.933,1.25,0.9,1.0,1.125,2.933,16.656,18.558
Min Min,Bayonetta,3,1,0,3,108,5.166,3.28,1.5,1.05,1.0,1.575,3.28,21.822,21.838
Piranha Plant,Pokemon Trainer,1,1,0,2,156,2.1,2.0,1.0,1.05,1.0,1.05,2.0,12.231,13.03
Piranha Plant,Jigglypuff,2,1,0,2,0,4.125,3.0,1.25,1.1,1.0,1.375,3.0,16.356,16.03
Piranha Plant,Captain Falcon,3,1,0,2,103,3.47,2.313,1.5,1.0,1.0,1.5,2.313,19.826,18.343
Chrom,Mr Game & Watch,1,1,0,1,59,1.687,1.607,1.0,1.05,1.0,1.05,1.607,11.697,10.232
Chrom,Wii Fit Trainer,2,1,0,2,72,2.993,2.52,1.25,0.95,1.0,1.188,2.52,14.689,12.752
Chrom,Sephiroth,3,1,0,2,25,4.675,2.833,1.5,1.1,1.0,1.65,2.833,19.364,15.585
Incineroar,Falco,1,1,0,2,112,2.253,2.253,1.0,1.0,1.0,1.0,2.253,12.272,10.808
Incineroar,Wario,2,1,0,2,132,2.915,2.12,1.25,1.1,1.0,1.375,2.12,15.187,12.928
Incineroar,Palutena,3,1,0,2,67,3.83,2.553,1.5,1.0,1.0,1.5,2.553,19.017,15.482
Zelda,Pichu,1,1,0,2,0,2.85,3.0,1.0,0.95,1.0,0.95,3.0,12.697,12.495
Zelda,King Dedede,2,1,0,3,102,4.15,3.32,1.25,1.0,1.0,1.25,3.32,16.847,15.815
Zelda,Kazuya,3,1,0,3,47,5.53,3.687,1.5,1.0,1.0,1.5,3.687,22.377,19.502
Sephiroth,Pyra & Mythra,1,1,0,2,76,2.493,2.493,1.0,1.0,1.0,1.0,2.493,12.172,11.658
Sephiroth,Lucario,2,1,0,2,27,3.525,2.82,1.25,1.0,1.0,1.25,2.82,15.697,14.478
Sephiroth,Dark Pit,3,1,0,2,27,4.23,2.82,1.5,1.0,1.0,1.5,2.82,19.927,17.298
Ice Climbers,Sheik,1,1,0,2,12,2.628,2.92,1.0,0.9,1.0,0.9,2.92,12.269,11.01
Ice Climbers,Bowser,2,1,0,1,92,1.56,1.387,1.25,0.9,1.0,1.125,1.387,13.829,12.397
Ice Climbers,Roy,3,1,0,1,5,2.655,1.967,1.5,0.9,1.0,1.35,1.967,16.484,14.363
Toon Link,Pichu,1,1,0,2,48,2.68,2.68,1.0,1.0,1.0,1.0,2.68,12.241,13.315
Toon Link,Banjo & Kazooie,2,1,0,1,15,2.375,1.9,1.25,1.0,1.0,1.25,1.9,14.616,15.215
Toon Link,Steve,3,1,0,1,52,2.728,1.653,1.5,1.1,1.0,1.65,1.653,17.344,16.868
Lucas,Pit,1,1,0,2,3,2.682,2.98,1.0,0.9,1.0,0.9,2.98,12.236,13.47
Lucas,Ike,2,1,0,3,129,4.121,3.14,1.25,1.05,1.0,1.312,3.14,16.357,16.61
Lucas,PacMan,3,1,0,2,14,4.796,2.907,1.5,1.1,1.0,1.65,2.907,21.153,19.517
Mii Gunner,Shulk,1,1,0,3,149,3.007,3.007,1.0,1.0,1.0,1.0,3.007,12.364,12.657
Mii Gunner,Zelda,2,1,0,2,0,3.375,3.0,1.25,0.9,1.0,1.125,3.0,15.739,15.657
Mii Gunner,Duck Hunt,3,1,0,3,155,4.5,3.0,1.5,1.0,1.0,1.5,3.0,20.239,18.657
Roy,Zero Suit Samus,1,1,0,3,100,3.333,3.333,1.0,1.0,1.0,1.0,3.333,12.686,11.723
Roy,Luigi,2,1,0,2,59,3.421,2.607,1.25,1.05,1.0,1.312,2.607,16.108,14.33
Roy,Captain Falcon,3,1,0,3,121,4.55,3.193,1.5,0.95,1.0,1.425,3.193,20.658,17.523
