Character,Opponent,Round,Win,Loss,Stock Diff,Percentage,Score,Base Score,Stage Multiplier,Matchup,Late Match Divisor,Total Multiplier,Multiplier Adjusted Score,Accumulated_Sum,Multiplier Adjusted Accumulated Sum
Zelda,Pikachu,1,1,0,2,82,2.672,2.672,1.0,1.0,1.0,1.0,2.672,10.613,9.917
Zelda,King Dedede,2,1,0,2,120,3.78,2.52,1.5,1.0,1.0,1.5,2.52,14.393,12.437
Zelda,Lucario,3,1,0,2,32,5.457,2.872,2.0,0.95,1.0,1.9,2.872,19.85,15.309
Min Min,ROB,1,1,0,2,163,2.465,2.348,1.0,1.05,1.0,1.05,2.348,10.274,10.161
Min Min,Bowser,2,1,0,2,39,4.053,2.844,1.5,0.95,1.0,1.425,2.844,14.327,13.005
Min Min,Captain Falcon,3,1,0,1,41,3.672,1.836,2.0,1.0,1.0,2.0,1.836,17.999,14.841
Lucas,PacMan,1,1,0,2,36,3.142,2.856,1.0,1.1,1.0,1.1,2.856,10.791,10.105
Lucas,Richter,2,1,0,2,145,3.267,2.42,1.5,0.9,1.0,1.35,2.42,14.058,12.525
Lucas,Ken,3,1,0,2,63,5.496,2.748,2.0,1.0,1.0,2.0,2.748,19.554,15.273
Roy,Piranha Plant,1,1,0,2,26,2.896,2.896,1.0,1.0,1.0,1.0,2.896,10.532,10.089
Roy,Ganondorf,2,1,0,3,95,5.43,3.62,1.5,1.0,1.0,1.5,3.62,15.962,13.709
Roy,Hero,3,1,0,2,0,5.7,3.0,2.0,0.95,1.0,1.9,3.0,21.662,16.709
Roy,Lucas,4,1,0,1,0,0.45,2.0,1.0,0.9,4.0,0.225,2.0,22.112,18.709
Dark Samus,Snake,1,1,0,3,149,3.744,3.404,1.0,1.1,1.0,1.1,3.404,11.197,9.991
Dark Samus,Meta Knight,2,1,0,2,79,4.227,2.684,1.5,1.05,1.0,1.575,2.684,15.425,12.675
Dark Samus,Robin,3,1,0,1,0,3.6,2.0,2.0,0.9,1.0,1.8,2.0,19.025,14.675
Mii Gunner,Isabelle,1,1,0,1,0,2.2,2.0,1.0,1.1,1.0,1.1,2.0,9.627,9.034
Mii Gunner,Pichu,2,1,0,1,0,3.3,2.0,1.5,1.1,1.0,1.65,2.0,12.927,11.034
Mii Gunner,Lucas,3,1,0,2,117,4.811,2.532,2.0,0.95,1.0,1.9,2.532,17.738,13.566
Sephiroth,Terry,1,1,0,3,97,3.431,3.612,1.0,0.95,1.0,0.95,3.612,10.781,10.301
Sephiroth,Daisy,2,1,0,3,92,5.448,3.632,1.5,1.0,1.0,1.5,3.632,16.229,13.933
Sephiroth,Ike,3,1,0,3,125,6.3,3.5,2.0,0.9,1.0,1.8,3.5,22.529,17.433
Piranha Plant,Min Min,1,1,0,2,57,2.911,2.772,1.0,1.05,1.0,1.05,2.772,10.236,9.727
Piranha Plant,Duck Hunt,2,1,0,3,138,5.689,3.448,1.5,1.1,1.0,1.65,3.448,15.925,13.175
Piranha Plant,Kazuya,3,0,1,-1,0,0.0,0.0,2.0,1.15,1.0,2.3,0.0,15.925,13.175
Dr Mario,Ken,1,1,0,1,46,2.088,1.816,1.0,1.15,1.0,1.15,1.816,9.4,8.265
Dr Mario,Mega Man,2,1,0,2,49,4.416,2.804,1.5,1.05,1.0,1.575,2.804,13.817,11.069
Dr Mario,ROB,3,1,0,3,118,7.762,3.528,2.0,1.1,1.0,2.2,3.528,21.578,14.597
Chrom,Diddy Kong,1,1,0,3,135,3.806,3.46,1.0,1.1,1.0,1.1,3.46,11.017,9.699
Chrom,Fox,2,1,0,2,24,4.792,2.904,1.5,1.1,1.0,1.65,2.904,15.809,12.603
Chrom,Corrin,3,1,0,2,109,5.128,2.564,2.0,1.0,1.0,2.0,2.564,20.937,15.167
Corrin,Duck Hunt,1,1,0,2,126,2.246,2.496,1.0,0.9,1.0,0.9,2.496,9.419,9.66
Corrin,Hero,2,1,0,2,46,4.435,2.816,1.5,1.05,1.0,1.575,2.816,13.855,12.476
Corrin,Shulk,3,1,0,2,87,5.039,2.652,2.0,0.95,1.0,1.9,2.652,18.893,15.128
Incineroar,Lucario,1,1,0,1,101,1.596,1.596,1.0,1.0,1.0,1.0,1.596,8.721,7.808
Incineroar,Ike,2,1,0,2,13,4.422,2.948,1.5,1.0,1.0,1.5,2.948,13.143,10.756
Incineroar,Samus,3,1,0,1,80,3.528,1.68,2.0,1.05,1.0,2.1,1.68,16.671,12.436
Bowser Jr,Banjo & Kazooie,1,1,0,2,143,2.428,2.428,1.0,1.0,1.0,1.0,2.428,9.536,9.049
Bowser Jr,Ganondorf,2,1,0,2,0,4.5,3.0,1.5,1.0,1.0,1.5,3.0,14.036,12.049
Bowser Jr,PacMan,3,1,0,2,0,6.6,3.0,2.0,1.1,1.0,2.2,3.0,20.636,15.049
Banjo & Kazooie,Snake,1,1,0,2,92,2.632,2.632,1.0,1.0,1.0,1.0,2.632,9.712,9.238
Banjo & Kazooie,ROB,2,1,0,2,37,4.492,2.852,1.5,1.05,1.0,1.575,2.852,14.204,12.09
Banjo & Kazooie,Inkling,3,1,0,2,190,4.48,2.24,2.0,1.0,1.0,2.0,2.24,18.684,14.33
Bowser,Link,1,1,0,2,116,2.536,2.536,1.0,1.0,1.0,1.0,2.536,9.616,9.52
Bowser,Wario,2,1,0,3,92,5.993,3.632,1.5,1.1,1.0,1.65,3.632,15.609,13.152
Bowser,ROB,3,1,0,2,0,6.6,3.0,2.0,1.1,1.0,2.2,3.0,22.209,16.152
Bowser,Captain Falcon,4,1,0,2,36,0.714,2.856,1.0,1.0,4.0,0.25,2.856,22.923,19.008
Shulk,Simon,1,1,0,2,60,2.484,2.76,1.0,0.9,1.0,0.9,2.76,9.509,9.193
Shulk,Isabelle,2,1,0,3,156,5.064,3.376,1.5,1.0,1.0,1.5,3.376,14.573,12.569
Shulk,Captain Falcon,3,1,0,1,131,2.952,1.476,2.0,1.0,1.0,2.0,1.476,17.525,14.045
Mii Swordfighter,Jigglypuff,1,1,0,2,20,2.92,2.92,1.0,1.0,1.0,1.0,2.92,9.94,9.049
Mii Swordfighter,Villager,2,0,1,-1,35,0.178,0.14,1.5,0.85,1.0,1.275,0.14,10.118,9.189
Donkey Kong,Hero,1,1,0,2,65,2.603,2.74,1.0,0.95,1.0,0.95,2.74,9.596,9.769
Donkey Kong,Wolf,2,1,0,1,69,2.327,1.724,1.5,0.9,1.0,1.35,1.724,11.923,11.493
