Character,Opponent,Round,Win,Loss,Stock Diff,Percentage,Score,Base Score,Stage Multiplier,Matchup,Late Match Divisor,Total Multiplier,Multiplier Adjusted Score,Accumulated_Sum,Multiplier Adjusted Accumulated Sum
Ridley,Diddy Kong,1,1,0,2,0,16.125,3.0,5.0,1.075,1.0,5.375,3.0,25.304,12.179
Ridley,Steve,2,1,0,3,102,26.262,3.49,7.0,1.075,1.0,7.525,3.49,51.566,15.669
Ridley,Lucas,3,1,0,4,120,40.59,4.4,9.0,1.025,1.0,9.225,4.4,92.156,20.069
Robin,Daisy,1,1,0,4,163,20.402,4.185,5.0,0.975,1.0,4.875,4.185,29.265,13.048
Robin,Shulk,2,1,0,3,27,28.408,3.865,7.0,1.05,1.0,7.35,3.865,57.673,16.913
Robin,Roy,3,1,0,3,15,35.325,3.925,9.0,1.0,1.0,9.0,3.925,92.998,20.838
Kirby,Daisy,1,1,0,3,24,19.4,3.88,5.0,1.0,1.0,5.0,3.88,27.946,12.426
Kirby,King Dedede,2,1,0,2,32,19.383,2.84,7.0,0.975,1.0,6.825,2.84,47.329,15.266
Kirby,Rosalina & Luma,3,1,0,2,68,23.342,2.66,9.0,0.975,1.0,8.775,2.66,70.671,17.926
Hero,Peach,1,1,0,1,101,7.475,1.495,5.0,1.0,1.0,5.0,1.495,15.705,9.725
Hero,Mega Man,2,1,0,4,135,30.275,4.325,7.0,1.0,1.0,7.0,4.325,45.98,14.05
Hero,Falco,3,1,0,4,169,37.395,4.155,9.0,1.0,1.0,9.0,4.155,83.375,18.205
Dr Mario,Incineroar,1,1,0,1,31,9.456,1.845,5.0,1.025,1.0,5.125,1.845,17.369,9.758
Dr Mario,Pokemon Trainer,2,1,0,3,76,25.34,3.62,7.0,1.0,1.0,7.0,3.62,42.709,13.378
Dr Mario,King Dedede,3,1,0,3,72,34.398,3.64,9.0,1.05,1.0,9.45,3.64,77.107,17.018
King Dedede,Roy,1,1,0,3,123,16.502,3.385,5.0,0.975,1.0,4.875,3.385,24.099,10.982
King Dedede,Sephiroth,2,1,0,2,54,19.588,2.73,7.0,1.025,1.0,7.175,2.73,43.687,13.712
King Dedede,Richter,3,1,0,2,98,22.59,2.51,9.0,1.0,1.0,9.0,2.51,66.277,16.222
Link,Banjo & Kazooie,1,1,0,2,127,11.529,2.365,5.0,0.975,1.0,4.875,2.365,18.809,9.645
Link,Sonic,2,1,0,3,0,28.7,4.0,7.0,1.025,1.0,7.175,4.0,47.509,13.645
Link,Shulk,3,1,0,3,110,31.826,3.45,9.0,1.025,1.0,9.225,3.45,79.336,17.095
Incineroar,Wario,1,1,0,2,40,14.7,2.8,5.0,1.05,1.0,5.25,2.8,21.664,9.764
Incineroar,Inkling,2,1,0,3,239,22.05,3.0,7.0,1.05,1.0,7.35,3.0,43.714,12.764
Incineroar,Ganondorf,3,1,0,3,160,29.52,3.2,9.0,1.025,1.0,9.225,3.2,73.234,15.964
Zelda,Mario,1,1,0,4,163,20.925,4.185,5.0,1.0,1.0,5.0,4.185,27.572,10.832
Zelda,Diddy Kong,2,1,0,4,165,29.956,4.175,7.0,1.025,1.0,7.175,4.175,57.528,15.007
Zelda,Marth,3,1,0,3,61,33.255,3.695,9.0,1.0,1.0,9.0,3.695,90.783,18.702
Sephiroth,Samus,1,1,0,4,141,21.475,4.295,5.0,1.0,1.0,5.0,4.295,27.805,10.625
Sephiroth,Ridley,2,1,0,3,36,25.403,3.82,7.0,0.95,1.0,6.65,3.82,53.208,14.445
Sephiroth,Steve,3,1,0,3,18,35.19,3.91,9.0,1.0,1.0,9.0,3.91,88.398,18.355
Chrom,Shulk,1,1,0,3,125,16.875,3.375,5.0,1.0,1.0,5.0,3.375,22.889,9.389
Chrom,Yoshi,2,1,0,2,86,18.89,2.57,7.0,1.05,1.0,7.35,2.57,41.779,11.959
Chrom,Bowser,3,1,0,1,50,15.356,1.75,9.0,0.975,1.0,8.775,1.75,57.135,13.709
Olimar,Robin,1,1,0,3,17,18.107,3.915,5.0,0.925,1.0,4.625,3.915,23.804,9.612
Olimar,Snake,2,1,0,3,93,24.745,3.535,7.0,1.0,1.0,7.0,3.535,48.549,13.147
Olimar,Bayonetta,3,1,0,4,143,38.565,4.285,9.0,1.0,1.0,9.0,4.285,87.114,17.432
Pyra & Mythra,Samus,1,1,0,3,106,17.35,3.47,5.0,1.0,1.0,5.0,3.47,22.731,8.851
Pyra & Mythra,Ganondorf,2,1,0,3,97,24.605,3.515,7.0,1.0,1.0,7.0,3.515,47.336,12.366
Pyra & Mythra,Luigi,3,1,0,3,113,30.915,3.435,9.0,1.0,1.0,9.0,3.435,78.251,15.801
Min Min,PacMan,1,1,0,3,120,17.0,3.4,5.0,1.0,1.0,5.0,3.4,22.064,8.464
Min Min,Palutena,2,1,0,3,97,25.22,3.515,7.0,1.025,1.0,7.175,3.515,47.284,11.979
Min Min,Young Link,3,1,0,3,0,36.0,4.0,9.0,1.0,1.0,9.0,4.0,83.284,15.979
Min Min,Mr Game & Watch,4,1,0,3,124,0.866,3.38,1.0,1.025,4.0,0.256,3.38,84.15,19.359
Duck Hunt,Sora,1,1,0,1,95,7.625,1.525,5.0,1.0,1.0,5.0,1.525,12.373,6.273
Duck Hunt,PacMan,2,1,0,2,93,17.745,2.535,7.0,1.0,1.0,7.0,2.535,30.118,8.808
Duck Hunt,Isabelle,3,1,0,2,14,25.711,2.93,9.0,0.975,1.0,8.775,2.93,55.829,11.738
Bowser,Peach,1,1,0,2,0,15.0,3.0,5.0,1.0,1.0,5.0,3.0,19.431,7.431
Bowser,Ike,2,1,0,3,86,24.99,3.57,7.0,1.0,1.0,7.0,3.57,44.421,11.001
Bowser,Hero,3,1,0,3,24,34.92,3.88,9.0,1.0,1.0,9.0,3.88,79.341,14.881
