Character,Opponent,Round,Win,Loss,Stock Diff,Percentage,Score,Base Score,Stage Multiplier,Matchup,Late Match Divisor,Total Multiplier,Multiplier Adjusted Score,Accumulated_Sum,Multiplier Adjusted Accumulated Sum
Ganondorf,Wario,1,1,0,1,0,9.625,2.0,4.375,1.1,1.0,4.812,2.0,21.142,13.517
Ganondorf,Yoshi,2,1,0,1,108,9.261,1.568,5.625,1.05,1.0,5.906,1.568,30.403,15.085
Ganondorf,Kirby,3,1,0,2,46,18.392,2.816,6.875,0.95,1.0,6.531,2.816,48.795,17.901
Young Link,Hero,1,1,0,1,35,8.544,1.86,4.375,1.05,1.0,4.594,1.86,19.851,13.167
Young Link,Rosalina & Luma,2,1,0,2,78,15.12,2.688,5.625,1.0,1.0,5.625,2.688,34.971,15.855
Young Link,Wolf,3,1,0,2,102,18.711,2.592,6.875,1.05,1.0,7.219,2.592,53.682,18.447
Bowser Jr,Pyra & Mythra,1,1,0,2,170,10.657,2.32,4.375,1.05,1.0,4.594,2.32,21.545,13.208
Bowser Jr,Robin,2,1,0,1,0,12.375,2.0,5.625,1.1,1.0,6.188,2.0,33.92,15.208
Bowser Jr,Dr Mario,3,1,0,2,70,17.765,2.72,6.875,0.95,1.0,6.531,2.72,51.685,17.928
Hero,Marth,1,1,0,2,86,12.782,2.656,4.375,1.1,1.0,4.812,2.656,23.461,13.335
Hero,Mr Game & Watch,2,1,0,3,130,17.617,3.48,5.625,0.9,1.0,5.062,3.48,41.078,16.815
Hero,Pokemon Trainer,3,1,0,3,144,23.54,3.424,6.875,1.0,1.0,6.875,3.424,64.618,20.239
Ike,Kazuya,1,0,1,-1,0,0.0,0.0,4.375,1.1,1.0,4.812,0.0,10.47,10.47
Banjo & Kazooie,Luigi,1,1,0,2,104,12.436,2.584,4.375,1.1,1.0,4.812,2.584,22.486,12.635
Banjo & Kazooie,Roy,2,1,0,2,23,15.54,2.908,5.625,0.95,1.0,5.344,2.908,38.026,15.543
Banjo & Kazooie,Piranha Plant,3,1,0,2,69,17.791,2.724,6.875,0.95,1.0,6.531,2.724,55.817,18.267
