Character,Opponent,Round,Win,Loss,Stock Diff,Percentage,Score,Base Score,Stage Multiplier,Matchup,Late Match Divisor,Total Multiplier,Multiplier Adjusted Score,Accumulated_Sum,Multiplier Adjusted Accumulated Sum
Isabelle,Luigi,1,1,0,1,0,3.0,2.0,1.5,1.0,1.0,1.5,2.0,22.539,15.967
Isabelle,Peach,2,1,0,1,105,3.357,1.58,2.125,1.0,1.0,2.125,1.58,25.897,17.547
Isabelle,Lucario,3,1,0,2,100,7.15,2.6,2.75,1.0,1.0,2.75,2.6,33.047,20.147
Lucina,Ganondorf,1,1,0,1,0,3.3,2.0,1.5,1.1,1.0,1.65,2.0,21.61,15.771
Lucina,Ike,2,1,0,2,24,6.171,2.904,2.125,1.0,1.0,2.125,2.904,27.781,18.675
Lucina,Rosalina & Luma,3,1,0,2,143,7.345,2.428,2.75,1.1,1.0,3.025,2.428,35.126,21.103
Dr Mario,King K Rool,1,1,0,2,88,3.972,2.648,1.5,1.0,1.0,1.5,2.648,21.979,15.142
Dr Mario,Pikachu,2,1,0,2,98,4.988,2.608,2.125,0.9,1.0,1.913,2.608,26.967,17.75
Dr Mario,Min Min,3,1,0,1,81,4.839,1.676,2.75,1.05,1.0,2.888,1.676,31.806,19.426
Meta Knight,Greninja,1,1,0,2,35,4.719,2.86,1.5,1.1,1.0,1.65,2.86,22.478,15.723
Meta Knight,Ice Climbers,2,1,0,1,11,4.572,1.956,2.125,1.1,1.0,2.338,1.956,27.05,17.679
Meta Knight,Pokemon Trainer,3,1,0,2,71,7.469,2.716,2.75,1.0,1.0,2.75,2.716,34.519,20.395
Wii Fit Trainer,Dr Mario,1,0,1,-1,83,0.498,0.332,1.5,1.0,1.0,1.5,0.332,17.519,11.863
Zero Suit Samus,Cloud,1,0,1,-1,27,0.17,0.108,1.5,1.05,1.0,1.575,0.108,16.579,11.282
Joker,Rosalina & Luma,1,1,0,1,30,2.679,1.88,1.5,0.95,1.0,1.425,1.88,18.752,13.861
Joker,Ridley,2,1,0,2,16,6.551,2.936,2.125,1.05,1.0,2.231,2.936,25.303,16.797
Joker,Meta Knight,3,0,1,-2,120,-1.359,-0.52,2.75,0.95,1.0,2.612,-0.52,23.944,16.277
