Character,Opponent,Round,Win,Loss,Stock Diff,Percentage,Score,Base Score,Stage Multiplier,Matchup,Late Match Divisor,Total Multiplier,Multiplier Adjusted Score,Accumulated_Sum,Multiplier Adjusted Accumulated Sum
Link,Pyra & Mythra,1,0,1,-1,83,0.436,0.415,1.0,1.05,1.0,1.05,0.415,0.436,0.415
King Dedede,Olimar,1,1,0,2,116,2.662,2.42,1.0,1.1,1.0,1.1,2.42,2.662,2.42
King Dedede,Yoshi,2,1,0,1,0,2.2,2.0,1.1,1.0,1.0,1.1,2.0,4.862,4.42
King Dedede,Wolf,3,1,0,2,106,3.26,2.47,1.2,1.1,1.0,1.32,2.47,8.122,6.89
Dr Mario,Pokemon Trainer,1,1,0,3,102,3.49,3.49,1.0,1.0,1.0,1.0,3.49,3.49,3.49
Dr Mario,Cloud,2,1,0,2,57,3.136,2.715,1.1,1.05,1.0,1.155,2.715,6.626,6.205
Dr Mario,Sonic,3,1,0,3,136,4.582,3.32,1.2,1.15,1.0,1.38,3.32,11.207,9.525
Piranha Plant,Kazuya,1,1,0,2,0,3.45,3.0,1.0,1.15,1.0,1.15,3.0,3.45,3.0
Piranha Plant,Ness,2,1,0,2,0,3.63,3.0,1.1,1.1,1.0,1.21,3.0,7.08,6.0
Piranha Plant,Shulk,3,1,0,1,53,2.186,1.735,1.2,1.05,1.0,1.26,1.735,9.266,7.735
Piranha Plant,Pyra & Mythra,4,1,0,3,141,0.865,3.295,1.0,1.05,4.0,0.263,3.295,10.131,11.03
Chrom,Corrin,1,1,0,2,93,2.535,2.535,1.0,1.0,1.0,1.0,2.535,2.535,2.535
Chrom,Bayonetta,2,1,0,2,85,3.257,2.575,1.1,1.15,1.0,1.265,2.575,5.792,5.11
Chrom,Simon,3,1,0,3,97,4.218,3.515,1.2,1.0,1.0,1.2,3.515,10.01,8.625
Banjo & Kazooie,Wii Fit Trainer,1,1,0,1,0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0
Banjo & Kazooie,Inkling,2,1,0,3,180,3.41,3.1,1.1,1.0,1.0,1.1,3.1,5.41,5.1
Banjo & Kazooie,Hero,3,1,0,1,8,2.47,1.96,1.2,1.05,1.0,1.26,1.96,7.88,7.06
Zelda,Greninja,1,1,0,2,0,3.15,3.0,1.0,1.05,1.0,1.05,3.0,3.15,3.0
Zelda,Lucario,2,1,0,2,25,3.004,2.875,1.1,0.95,1.0,1.045,2.875,6.154,5.875
Zelda,Ganondorf,3,1,0,3,76,3.692,3.62,1.2,0.85,1.0,1.02,3.62,9.847,9.495
Young Link,Snake,1,1,0,2,23,3.029,2.885,1.0,1.05,1.0,1.05,2.885,3.029,2.885
Young Link,Bowser,2,1,0,2,91,2.8,2.545,1.1,1.0,1.0,1.1,2.545,5.829,5.43
Young Link,Joker,3,1,0,2,108,3.1,2.46,1.2,1.05,1.0,1.26,2.46,8.928,7.89
Ice Climbers,Snake,1,1,0,2,106,2.84,2.47,1.0,1.15,1.0,1.15,2.47,2.84,2.47
Ice Climbers,Olimar,2,1,0,2,65,3.09,2.675,1.1,1.05,1.0,1.155,2.675,5.93,5.145
Ice Climbers,Wii Fit Trainer,3,1,0,2,11,3.711,2.945,1.2,1.05,1.0,1.26,2.945,9.641,8.09
Yoshi,Mario,1,1,0,2,137,2.431,2.315,1.0,1.05,1.0,1.05,2.315,2.431,2.315
Yoshi,Byleth,2,1,0,1,22,1.975,1.89,1.1,0.95,1.0,1.045,1.89,4.406,4.205
Yoshi,Ness,3,1,0,3,169,3.786,3.155,1.2,1.0,1.0,1.2,3.155,8.192,7.36
Kirby,Palutena,1,1,0,2,11,2.945,2.945,1.0,1.0,1.0,1.0,2.945,2.945,2.945
Kirby,Bowser,2,1,0,2,40,2.926,2.8,1.1,0.95,1.0,1.045,2.8,5.871,5.745
Kirby,Mewtwo,3,1,0,1,26,2.356,1.87,1.2,1.05,1.0,1.26,1.87,8.227,7.615
Ike,Daisy,1,1,0,1,25,1.781,1.875,1.0,0.95,1.0,0.95,1.875,1.781,1.875
Ike,Lucario,2,1,0,2,110,2.56,2.45,1.1,0.95,1.0,1.045,2.45,4.341,4.325
Ike,Link,3,1,0,1,35,2.19,1.825,1.2,1.0,1.0,1.2,1.825,6.531,6.15
Hero,Chrom,1,1,0,2,93,2.535,2.535,1.0,1.0,1.0,1.0,2.535,2.535,2.535
Hero,Peach,2,1,0,2,107,2.712,2.465,1.1,1.0,1.0,1.1,2.465,5.247,5.0
Hero,Sonic,3,1,0,2,122,3.155,2.39,1.2,1.1,1.0,1.32,2.39,8.401,7.39
