Character,Opponent,Round,Win,Loss,Stock Diff,Percentage,Score,Base Score,Stage Multiplier,Matchup,Late Match Divisor,Total Multiplier,Multiplier Adjusted Score,Accumulated_Sum,Multiplier Adjusted Accumulated Sum
Cloud,Mewtwo,1,1,0,3,4,11.841,3.98,3.5,0.85,1.0,2.975,3.98,15.684,7.824
Cloud,King K Rool,2,1,0,2,62,12.777,2.69,5.0,0.95,1.0,4.75,2.69,28.462,10.514
Cloud,Wolf,3,1,0,2,58,18.496,2.71,6.5,1.05,1.0,6.825,2.71,46.958,13.224
Dark Samus,Jigglypuff,1,1,0,3,127,11.777,3.365,3.5,1.0,1.0,3.5,3.365,15.395,6.982
Dark Samus,Lucina,2,1,0,2,104,11.78,2.48,5.0,0.95,1.0,4.75,2.48,27.175,9.462
Dark Samus,Diddy Kong,3,1,0,3,154,20.995,3.23,6.5,1.0,1.0,6.5,3.23,48.169,12.692
Dark Samus,Isabelle,4,1,0,3,89,0.844,3.555,1.0,0.95,4.0,0.237,3.555,49.014,16.247
Lucina,Lucario,1,1,0,2,101,8.296,2.495,3.5,0.95,1.0,3.325,2.495,11.687,5.886
Lucina,Chrom,2,1,0,3,0,20.0,4.0,5.0,1.0,1.0,5.0,4.0,31.687,9.886
Lucina,Sheik,3,1,0,4,124,31.317,4.38,6.5,1.1,1.0,7.15,4.38,63.004,14.266
Yoshi,Lucario,1,1,0,3,70,11.497,3.65,3.5,0.9,1.0,3.15,3.65,14.662,6.815
Yoshi,Young Link,2,1,0,2,0,15.0,3.0,5.0,1.0,1.0,5.0,3.0,29.662,9.815
Yoshi,Palutena,3,1,0,3,82,23.335,3.59,6.5,1.0,1.0,6.5,3.59,52.998,13.405
Yoshi,Palutena,4,1,0,2,97,0.629,2.515,1.0,1.0,4.0,0.25,2.515,53.626,15.92
Piranha Plant,PacMan,1,1,0,4,200,14.7,4.0,3.5,1.05,1.0,3.675,4.0,17.639,6.939
