Character,Score,Rank
Banjo & Kazooie,15.505,1
Dr Mario,15.09,2
Ice Climbers,12.825,3
King Dedede,12.605,4
Bowser Jr,12.415,5
Piranha Plant,10.78,6
Mewtwo,10.295,7
Yoshi,10.25,8
Hero,9.56,9
Young Link,9.385,10
Min Min,8.855,11
Ridley,7.450000000000001,12
Falco,6.96,13
Cloud,6.32,14
Sephiroth,4.195,15
Little Mac,3.325,16
Sora,3.0,17
Bowser,0.5,18
