Character,Score,Rank
Zelda,9.848,1
Meta Knight,9.82,2
Roy,9.411,3
Link,9.379,4
Pyra & Mythra,9.349,5
Ice Climbers,8.981,6
Ike,8.901,7
Chrom,8.756,8
King Dedede,8.622,9
Dr Mario,8.594,10
Isabelle,8.554,11
Duck Hunt,8.466,12
Samus,8.362,13
Toon Link,8.322,14
Ridley,8.257,15
Incineroar,8.093,16
Luigi,8.006,17
Pikachu,8.005,18
Ganondorf,7.91,19
Kirby,7.817,20
Mii Gunner,7.776,21
Min Min,7.698,22
Mario,7.69,23
Lucas,7.668,24
Yoshi,7.653,25
Falco,7.377,26
Pit,7.363,27
Cloud,7.348,28
Mr Game & Watch,7.296,29
Captain Falcon,7.265,30
Dark Samus,7.185,31
King K Rool,7.163,32
Wii Fit Trainer,7.114,33
Rosalina & Luma,7.089,34
Sephiroth,7.062,35
Inkling,7.044,36
Pokemon Trainer,6.948,37
Lucario,6.939,38
Hero,6.899,39
Bowser Jr,6.85,40
Mewtwo,6.763,41
Mii Brawler,6.649,42
Donkey Kong,6.64,43
Fox,6.618,44
ROB,6.595,45
Little Mac,6.576,46
Sora,6.365,47
Peach,6.319,48
Ness,6.279,49
Byleth,6.122,50
Sheik,5.935,51
PacMan,5.821,52
Marth,5.812,53
Banjo & Kazooie,5.703,54
Mii Swordfighter,5.474,55
Bowser,5.266,56
Sonic,5.192,57
Palutena,5.091,58
Jigglypuff,4.652,59
Villager,4.429,60
Greninja,2.752,61
Piranha Plant,2.635,62
Richter,2.543,63
Ryu,1.988,64
Olimar,1.911,65
Dark Pit,1.263,66
Lucina,1.0,67
Terry,0.891,68
Diddy Kong,0.658,69
Wolf,0.648,70
Zero Suit Samus,0.633,71
Pichu,0.515,72
Wario,0.49,73
Shulk,0.489,74
Snake,0.324,75
Young Link,0.154,76
Corrin,0.118,77
Robin,0.033,78
Daisy,-0.82,79
Steve,-1.216,80
