Character,Score,Rank
Sora,12.445,1
Lucas,12.425,2
Byleth,11.815,3
Luigi,11.03,4
Mii Gunner,10.83,5
Wolf,10.765,6
Banjo & Kazooie,10.595,7
Ice Climbers,10.535,8
Mewtwo,10.505,9
Young Link,10.455,10
Wii Fit Trainer,10.225,11
ROB,9.845,12
Dr Mario,9.81,13
Bowser,9.355,14
Pokemon Trainer,9.075,15
Isabelle,8.735,16
Dark Pit,8.575,17
Hero,8.56,18
Sephiroth,8.5,19
Yoshi,8.245000000000001,20
Falco,8.2,21
Meta Knight,8.125,22
Pyra & Mythra,8.115,23
King Dedede,7.95,24
Mr Game & Watch,7.81,25
Bowser Jr,7.805,26
Piranha Plant,7.725,27
Little Mac,7.7,28
King K Rool,7.345000000000001,29
Roy,7.27,30
Samus,6.91,31
Sonic,5.955,32
Donkey Kong,0.47,33
Toon Link,0.0,34
