Character,Score,Rank
Lucas,21.44,1
Sonic,21.395,2
Ridley,21.125,3
Banjo & Kazooie,20.75,4
Ganondorf,19.725,5
Sephiroth,19.7,6
Bowser,19.48,7
Ike,18.98,8
Chrom,18.61,9
Young Link,18.515,10
Incineroar,18.015,11
Zelda,17.875,12
Min Min,17.865,13
Wolf,17.68,14
Dr Mario,17.435000000000002,15
Cloud,17.395,16
King K Rool,16.575,17
Ice Climbers,16.455,18
Isabelle,16.29,19
Donkey Kong,16.045,20
Piranha Plant,15.87,21
Captain Falcon,15.735,22
Link,15.695,23
Dark Pit,15.255,24
Pit,15.005,25
Pyra & Mythra,14.83,26
Hero,14.735,27
Wario,14.685,28
Duck Hunt,14.565,29
Sora,14.23,30
Mii Swordfighter,13.55,31
Luigi,13.415,32
Kirby,12.95,33
Wii Fit Trainer,12.95,34
Inkling,12.92,35
Falco,12.895,36
Ness,12.87,37
Robin,12.755,38
Terry,12.465,39
Greninja,12.425,40
Mewtwo,12.225,41
Byleth,11.92,42
Shulk,11.405,43
Mr Game & Watch,11.375,44
Lucario,11.205,45
Zero Suit Samus,10.9,46
Roy,10.73,47
Steve,10.7,48
King Dedede,10.57,49
Sheik,10.55,50
Dark Samus,10.4,51
Little Mac,10.135,52
Corrin,10.105,53
Pokemon Trainer,10.085,54
Snake,9.95,55
Bowser Jr,9.615,56
Peach,9.505,57
ROB,9.075,58
Palutena,8.780000000000001,59
Jigglypuff,8.65,60
PacMan,8.615,61
Daisy,8.5,62
Yoshi,8.405000000000001,63
Pikachu,8.395,64
Richter,8.395,65
Mario,8.2,66
Samus,8.135,67
Fox,8.09,68
Toon Link,7.535,69
Marth,7.479999999999999,70
Olimar,6.925,71
Rosalina & Luma,6.505000000000001,72
Villager,6.385,73
Mii Brawler,5.695,74
Mii Gunner,5.375,75
Ryu,4.83,76
Lucina,4.49,77
Pichu,4.035,78
Diddy Kong,3.71,79
Meta Knight,2.4650000000000003,80
Bayonetta,1.125,81
Joker,0.7949999999999999,82
Simon,0.7850000000000001,83
Mega Man,0.72,84
Kazuya,0.365,85
Ken,0.25,86
