Character,Opponent,Round,Win,Loss,Stock Diff,Percentage,Score,Matchup,Accumulated_Sum
Ridley,Lucario,1,1,0,1,0,2.0,2,2.0
Ridley,Sephiroth,2,1,0,1,55,1.725,-2,3.725
Ridley,Incineroar,3,1,0,3,97,3.515,2,7.24
Ridley,Bayonetta,4,1,0,4,179,4.105,-2,11.345
Cloud,Ness,1,1,0,1,0,2.0,1,2.0
Cloud,ROB,2,1,0,2,65,2.675,-1,4.675
Cloud,Zelda,3,1,0,3,98,3.51,2,8.184999999999999
Cloud,Meta Knight,4,1,0,3,99,3.505,1,11.69
Min Min,Chrom,1,1,0,3,70,3.65,2,3.65
Min Min,Pyra & Mythra,2,1,0,2,0,3.0,1,6.65
Min Min,Dr Mario,3,1,0,2,97,2.515,1,9.165
Min Min,Samus,4,1,0,3,65,3.675,2,12.84
Kirby,Simon,1,1,0,3,136,3.32,-1,3.32
Kirby,Jigglypuff,2,1,0,1,29,1.855,1,5.175
Kirby,Simon,3,1,0,3,68,3.66,-1,8.835
Kirby,Duck Hunt,4,1,0,2,11,2.945,0,11.78
Link,Sheik,1,1,0,3,2,3.99,-1,3.99
Link,Terry,2,1,0,2,47,2.765,-2,6.755000000000001
Link,Dark Pit,3,1,0,2,79,2.605,0,9.36
Link,Dr Mario,4,1,0,2,34,2.83,-1,12.190000000000001
Zelda,Pikachu,1,1,0,4,189,4.055,0,4.055
Zelda,Dr Mario,2,1,0,2,4,2.98,-1,7.035
Zelda,Daisy,3,1,0,2,6,2.97,1,10.004999999999999
Zelda,Kazuya,4,1,0,2,52,2.74,0,12.745000000000001
Chrom,Ike,1,1,0,2,97,2.515,2,2.515
Chrom,Palutena,2,1,0,3,64,3.68,-1,6.195
Chrom,ROB,3,1,0,3,15,3.925,-1,10.120000000000001
Chrom,Shulk,4,1,0,1,84,1.58,0,11.7
Ike,Duck Hunt,1,1,0,3,19,3.905,-1,3.905
Ike,Greninja,2,1,0,3,0,4.0,-1,7.904999999999999
Ike,Corrin,3,1,0,2,0,3.0,-2,10.905
Ike,Mr Game & Watch,4,1,0,3,121,3.395,-1,14.3
