Character,Opponent,Round,Win,Loss,Stock Diff,Percentage,Score,Matchup,Accumulated_Sum
Kirby,Palutena,1,0,1,-1,81,0.405,0,0.405
Mii Gunner,Robin,1,0,1,-1,109,0.545,2,0.545
Ike,Richter,1,0,1,-1,55,0.275,0,0.275
Link,Wolf,1,1,0,3,105,3.475,-1,3.475
Link,Ice Climbers,2,1,0,2,84,2.58,-2,6.055
Link,Simon,3,1,0,1,78,1.61,-3,7.665
Link,Wii Fit Trainer,4,1,0,3,54,3.73,2,11.395
Link,Shulk,5,1,0,3,0,4.0,-1,15.395
Chrom,Pikachu,1,1,0,2,50,2.75,0,2.75
Chrom,Pyra & Mythra,2,1,0,2,0,3.0,-1,5.75
Chrom,Dark Samus,3,1,0,2,58,2.71,2,8.46
Chrom,Cloud,4,1,0,2,26,2.87,-1,11.33
Chrom,Corrin,5,1,0,3,97,3.515,0,14.845
Zelda,Bowser,1,1,0,2,15,2.925,-1,2.925
Zelda,Corrin,2,1,0,3,45,3.775,-2,6.699999999999999
Zelda,Ridley,3,1,0,1,0,2.0,0,8.7
Zelda,Mr Game & Watch,4,1,0,4,156,4.22,-1,12.92
Zelda,Wario,5,1,0,3,130,3.35,-1,16.27
