Character,Score,Rank
Hero,14.515,1
Ice Climbers,13.96,2
Piranha Plant,13.29,3
Kirby,13.2,4
Mii Gunner,12.73,5
Ike,12.37,6
Yoshi,11.815,7
Young Link,11.05,8
Dr Mario,10.735,9
King Dedede,10.41,10
Mewtwo,6.44,11
Bowser Jr,0.315,12
