Round,Character,Score,Rank
5,Wii Fit Trainer,8.776,29
5,Chrom,8.756,30
5,Dr Mario,8.594,31
5,Isabelle,8.554,32
5,Young Link,8.527,33
5,Banjo & Kazooie,8.487,34
5,Duck Hunt,8.466,35
5,Ridley,8.257,36
5,Incineroar,8.093,37
5,Marth,8.034,38
5,PacMan,8.027,39
5,Ganondorf,7.91,40
5,Kirby,7.817,41
5,Min Min,7.698,42
5,Lucas,7.668,43
5,Dark Samus,7.488,44
5,Falco,7.377,45
5,Pit,7.363,46
5,Cloud,7.348,47
5,Captain Falcon,7.265,48
5,Mario,7.233,49
5,King K Rool,7.163,50
5,Lucario,7.107,51
5,Sephiroth,7.062,52
5,Inkling,7.044,53
5,Mii Brawler,7.03,54
5,Hero,6.899,55
5,Fox,6.721,56
5,Sheik,6.564,57
5,Peach,6.319,58
5,Mii Swordfighter,5.794,59
5,Ness,5.793,60
5,Palutena,5.325,61
5,Jigglypuff,4.771,62
5,Villager,4.429,63
5,Wolf,3.447,64
5,Greninja,2.752,65
5,Richter,2.543,66
5,Ryu,1.988,67
5,Olimar,1.911,68
5,Robin,1.572,69
5,Lucina,1.0,70
5,Terry,0.891,71
5,Diddy Kong,0.658,72
5,Zero Suit Samus,0.633,73
5,Pichu,0.515,74
5,Wario,0.49,75
5,Shulk,0.489,76
5,Snake,0.324,77
5,Corrin,0.118,78
5,Daisy,-0.82,79
5,Steve,-1.216,80
6,Zelda,19.08,1
6,Pyra & Mythra,18.587,2
6,Chrom,18.472,3
6,Dr Mario,17.753,4
6,Ridley,17.5,5
6,Kirby,17.216,6
6,Link,17.154,7
6,Toon Link,17.144,8
6,Meta Knight,16.899,9
6,King K Rool,16.678,10
6,Mii Gunner,16.525,11
6,Ike,15.992,12
6,Min Min,15.767,13
6,Cloud,15.721,14
6,Ice Climbers,15.72,15
6,Isabelle,15.615,16
6,Pokemon Trainer,15.565,17
6,Roy,15.508,18
6,Luigi,15.003,19
6,King Dedede,14.931,20
6,Bowser,14.892,21
6,Samus,14.825,22
6,Pikachu,14.707,23
6,Bowser Jr,14.347,24
6,Mewtwo,14.288,25
6,Yoshi,14.049,26
6,Falco,13.999,27
6,Rosalina & Luma,13.814,28
6,Hero,13.763,29
6,Sonic,13.451,30
6,Sephiroth,13.138,31
6,Byleth,13.119,32
6,ROB,12.927,33
6,Sora,12.86,34
6,Donkey Kong,12.719,35
6,Captain Falcon,12.658,36
6,Mr Game & Watch,12.334,37
6,Little Mac,12.323,38
6,Piranha Plant,11.701,39
6,Incineroar,11.358,40
6,Duck Hunt,10.32,41
6,Dark Pit,9.892,42
6,Lucas,9.671,43
6,Wii Fit Trainer,8.776,44
6,Young Link,8.527,45
6,Banjo & Kazooie,8.487,46
6,Ganondorf,8.181,47
6,Marth,8.034,48
6,PacMan,8.027,49
6,Pit,7.649,50
6,Dark Samus,7.488,51
6,Mario,7.233,52
6,Lucario,7.107,53
6,Mii Brawler,7.03,54
6,Inkling,6.952,55
6,Fox,6.721,56
6,Sheik,6.564,57
6,Peach,6.319,58
6,Mii Swordfighter,5.794,59
6,Ness,5.793,60
6,Palutena,5.325,61
6,Jigglypuff,4.771,62
6,Villager,4.429,63
6,Wolf,3.447,64
6,Greninja,2.752,65
6,Richter,2.543,66
6,Ryu,1.988,67
6,Olimar,1.911,68
6,Robin,1.572,69
6,Lucina,1.0,70
6,Terry,0.891,71
6,Diddy Kong,0.658,72
6,Zero Suit Samus,0.633,73
6,Pichu,0.515,74
6,Wario,0.49,75
6,Shulk,0.489,76
6,Snake,0.324,77
6,Corrin,0.118,78
6,Daisy,-0.82,79
6,Steve,-1.216,80
7,Mii Gunner,24.949,1
7,Roy,23.475,2
7,King Dedede,23.067,3
7,Meta Knight,22.496,4
7,Yoshi,22.212,5
7,Sora,22.191,6
7,Mewtwo,22.023,7
7,Pokemon Trainer,21.959,8
7,Sephiroth,21.732,9
7,Falco,21.635,10
7,Luigi,21.584,11
7,Samus,21.199,12
7,Bowser Jr,20.86,13
7,Hero,20.755,14
7,Piranha Plant,20.268,15
7,Pikachu,20.03,16
7,Rosalina & Luma,19.817,17
7,Donkey Kong,19.787,18
7,Little Mac,19.751,19
7,Zelda,19.08,20
7,ROB,18.702,21
7,Pyra & Mythra,18.587,22
7,Chrom,18.472,23
7,Dark Pit,17.903,24
7,Dr Mario,17.753,25
7,Ridley,17.5,26
7,Banjo & Kazooie,17.272,27
7,Kirby,17.216,28
7,Link,17.154,29
7,Toon Link,17.144,30
7,King K Rool,16.678,31
7,Lucas,16.362,32
7,Young Link,16.34,33
7,Byleth,16.1,34
7,Ike,15.992,35
7,Min Min,15.767,36
7,Cloud,15.721,37
7,Ice Climbers,15.72,38
7,Isabelle,15.615,39
7,Wii Fit Trainer,15.361,40
7,Mr Game & Watch,15.335,41
7,Bowser,14.892,42
7,Sonic,13.451,43
7,Ganondorf,12.938,44
7,Duck Hunt,12.726,45
7,Captain Falcon,12.496,46
7,Incineroar,11.598,47
7,Marth,8.034,48
7,PacMan,8.027,49
7,Pit,7.649,50
7,Dark Samus,7.488,51
7,Inkling,7.255,52
7,Mario,7.233,53
7,Lucario,7.107,54
7,Mii Brawler,7.03,55
7,Fox,6.721,56
7,Sheik,6.564,57
7,Peach,6.319,58
7,Mii Swordfighter,5.794,59
7,Ness,5.793,60
7,Palutena,5.325,61
7,Jigglypuff,4.771,62
7,Villager,4.429,63
7,Wolf,3.447,64
7,Greninja,2.752,65
7,Richter,2.543,66
7,Ryu,1.988,67
7,Olimar,1.911,68
7,Robin,1.572,69
7,Lucina,1.0,70
7,Terry,0.891,71
7,Diddy Kong,0.658,72
7,Zero Suit Samus,0.633,73
7,Pichu,0.515,74
7,Wario,0.49,75
7,Shulk,0.489,76
7,Snake,0.324,77
7,Corrin,0.118,78
7,Daisy,-0.82,79
7,Steve,-1.216,80
8,Chrom,28.767,1
8,Zelda,27.603,2
8,Pyra & Mythra,26.396,3
8,Ridley,26.336,4
8,Min Min,25.864,5
8,Toon Link,25.86,6
8,Link,25.839,7
8,Kirby,25.771,8
8,Ike,25.666,9
8,Mii Gunner,24.949,10
8,Cloud,24.324,11
8,Ice Climbers,23.782,12
8,King K Rool,23.549,13
8,Roy,23.475,14
8,King Dedede,23.067,15
8,Meta Knight,22.496,16
8,Yoshi,22.212,17
8,Sora,22.191,18
8,Mewtwo,22.023,19
8,Pokemon Trainer,21.959,20
8,Bowser,21.821,21
8,Sephiroth,21.732,22
8,Falco,21.635,23
8,Luigi,21.584,24
8,Samus,21.199,25
8,Bowser Jr,20.86,26
8,Hero,20.755,27
8,Piranha Plant,20.268,28
8,Pikachu,20.03,29
8,Isabelle,20.03,30
8,Rosalina & Luma,19.817,31
8,Donkey Kong,19.787,32
8,Little Mac,19.751,33
8,Sonic,19.74,34
8,ROB,18.702,35
8,Dr Mario,18.423,36
8,Dark Pit,17.903,37
8,Banjo & Kazooie,17.272,38
8,Lucas,16.362,39
8,Young Link,16.34,40
8,Byleth,16.1,41
