Character,Opponent,Round,Win,Loss,Stock Diff,Percentage,Score,Matchup,Accumulated_Sum
Chrom,Ganondorf,1,1,0,1,144,1.28,2,1.28
Chrom,ROB,2,1,0,4,198,4.01,-1,5.29
Chrom,PacMan,3,1,0,3,103,3.485,-1,8.775
Chrom,King Dedede,4,0,1,-2,68,-0.66,-1,8.115
Piranha Plant,Luigi,1,1,0,3,84,3.58,-1,3.58
Piranha Plant,Palutena,2,1,0,2,62,2.69,-2,6.27
Piranha Plant,Kirby,3,1,0,1,44,1.78,-1,8.05
Piranha Plant,Robin,4,1,0,2,42,2.79,-1,10.84
King Dedede,Roy,1,1,0,2,0,3.0,1,3.0
King Dedede,Min Min,2,1,0,2,115,2.425,-3,5.425
King Dedede,Samus,3,1,0,2,19,2.905,-2,8.33
King Dedede,Pichu,4,1,0,3,61,3.695,2,12.024999999999999
Dr Mario,Snake,1,1,0,3,128,3.36,-2,3.36
Dr Mario,Greninja,2,1,0,3,142,3.29,-2,6.65
Dr Mario,Inkling,3,1,0,1,41,1.795,0,8.445
Dr Mario,Mr Game & Watch,4,1,0,3,0,4.0,-1,12.445
Dr Mario,King Dedede,5,1,0,1,0,2.0,-2,14.445
