Character,Opponent,Round,Win,Loss,Stock Diff,Percentage,Score,Matchup,Accumulated_Sum
Donkey Kong,King K Rool,1,0,1,-1,94,0.47,1,0.47
Toon Link,Sora,1,0,1,-1,0,0.0,0,0.0
Samus,Mega Man,1,1,0,3,112,3.44,1,3.44
Samus,Sonic,2,1,0,3,106,3.47,1,6.91
Samus,Kazuya,3,0,1,-2,54,-0.73,0,6.18
Mr Game & Watch,Mega Man,1,1,0,2,94,2.53,0,2.53
Mr Game & Watch,Daisy,2,1,0,2,105,2.475,-1,5.005
Mr Game & Watch,Bowser,3,1,0,2,39,2.805,2,7.8100000000000005
Sonic,Ice Climbers,1,1,0,3,105,3.475,0,3.475
Sonic,Ganondorf,2,1,0,1,0,2.0,-1,5.475
Sonic,Bowser Jr,3,0,1,-1,96,0.48,1,5.955
Meta Knight,Bowser,1,1,0,2,48,2.76,2,2.76
Meta Knight,Peach,2,1,0,3,75,3.625,0,6.385
Meta Knight,Hero,3,1,0,1,52,1.74,1,8.125
Byleth,Rosalina & Luma,1,1,0,3,94,3.53,-1,3.53
Byleth,Simon,2,1,0,4,132,4.34,2,7.869999999999999
Byleth,Olimar,3,1,0,3,11,3.945,-1,11.815
ROB,Lucina,1,1,0,3,167,3.165,1,3.165
ROB,King Dedede,2,1,0,2,91,2.545,1,5.71
ROB,Greninja,3,1,0,3,25,3.875,1,9.585
ROB,Kazuya,4,0,1,-1,52,0.26,0,9.845
Pokemon Trainer,Mr Game & Watch,1,1,0,2,135,2.325,-2,2.325
Pokemon Trainer,Steve,2,1,0,3,50,3.75,0,6.075
Pokemon Trainer,Pichu,3,1,0,3,261,3.0,0,9.075
Wolf,Fox,1,1,0,3,186,3.07,0,3.07
Wolf,Greninja,2,1,0,3,11,3.945,0,7.015
Wolf,Lucas,3,1,0,3,50,3.75,0,10.765
Dark Pit,Dark Pit,1,1,0,1,53,1.735,0,1.735
Dark Pit,Kazuya,2,1,0,1,120,1.4,-1,3.135
