Character,Opponent,Round,Win,Loss,Stock Diff,Percentage,Score,Matchup,Accumulated_Sum
Robin,Zelda,1,1,0,1,0,2.0,0,2.0
Robin,Marth,2,0,1,-2,90,-0.486,1,1.514
Fox,Dark Samus,1,0,1,-1,18,0.103,0,0.103
Palutena,Hero,1,0,1,-1,39,0.223,-1,0.223
Jigglypuff,Banjo & Kazooie,1,0,1,-1,19,0.109,-2,0.109
Wolf,Shulk,1,1,0,2,144,2.177,0,2.177
Wolf,King Dedede,2,0,1,-1,121,0.691,2,2.868
Mii Brawler,Bowser Jr,1,0,1,-1,74,0.423,2,0.423
Peach,Toon Link,1,0,1,-1,0,0.0,-1,0.0
Marth,Mewtwo,1,1,0,1,9,1.949,-1,1.949
Marth,Steve,2,0,1,-1,28,0.16,-2,2.109
Sheik,Ice Climbers,1,0,1,-1,100,0.571,-2,0.571
Ness,Yoshi,1,0,1,-2,90,-0.486,0,-0.486
Mario,Sephiroth,1,0,1,-2,95,-0.457,0,-0.457
Mii Swordfighter,Sora,1,0,1,-1,56,0.32,0,0.32
Dark Samus,Dr Mario,1,0,1,-1,59,0.337,2,0.337
Lucario,Peach,1,0,1,-1,28,0.16,-1,0.16
PacMan,Wario,1,1,0,1,0,2.0,0,2.0
PacMan,Ness,2,0,1,-1,38,0.217,1,2.217
Wii Fit Trainer,Banjo & Kazooie,1,1,0,1,138,1.211,0,1.211
Wii Fit Trainer,Roy,2,0,1,-1,83,0.474,1,1.685
Banjo & Kazooie,Olimar,1,1,0,1,2,1.989,-2,1.989
Banjo & Kazooie,Ridley,2,0,1,-1,116,0.663,2,2.652
Mr Game & Watch,Pokemon Trainer,1,1,0,1,51,1.709,2,1.709
Mr Game & Watch,Corrin,2,1,0,1,23,1.869,0,3.5780000000000003
Mr Game & Watch,Falco,3,1,0,1,124,1.291,0,4.869
Mr Game & Watch,Wolf,4,1,0,1,123,1.297,-1,6.166
Byleth,Greninja,1,1,0,2,122,2.303,-2,2.303
Byleth,Zelda,2,1,0,1,57,1.674,2,3.977
Byleth,Inkling,3,1,0,2,117,2.331,-1,6.308
Byleth,Yoshi,4,1,0,1,11,1.937,-1,8.245
Rosalina & Luma,Sonic,1,1,0,2,80,2.543,0,2.543
Rosalina & Luma,Ike,2,1,0,2,34,2.806,0,5.349
Rosalina & Luma,Robin,3,1,0,1,131,1.251,-2,6.6
Dark Pit,Simon,1,1,0,3,86,3.509,0,3.509
Dark Pit,Sephiroth,2,1,0,2,79,2.549,0,6.058
Dark Pit,Chrom,3,1,0,2,75,2.571,0,8.629
Young Link,Isabelle,1,1,0,2,85,2.514,3,2.514
Young Link,Little Mac,2,1,0,3,150,3.143,1,5.657
Young Link,Dr Mario,3,1,0,2,20,2.886,0,8.543
Young Link,Marth,5,1,0,1,31,1.823,0,10.366
Yoshi,King Dedede,1,1,0,1,64,1.634,0,1.634
Yoshi,Villager,2,1,0,2,112,2.36,1,3.9939999999999998
Yoshi,Donkey Kong,3,1,0,2,60,2.657,0,6.651
Yoshi,Piranha Plant,4,0,1,-2,74,-0.577,1,6.074
Donkey Kong,Ice Climbers,1,1,0,2,97,2.446,-2,2.446
Donkey Kong,Wario,2,1,0,1,107,1.389,0,3.835
Donkey Kong,Simon,3,1,0,1,0,2.0,0,5.835
Pikachu,Snake,1,1,0,1,112,1.36,-1,1.36
Pikachu,Pyra & Mythra,2,1,0,2,11,2.937,-1,4.297
Pikachu,Bowser,3,1,0,1,0,2.0,1,6.297000000000001
Pikachu,Piranha Plant,5,1,0,1,83,1.526,1,7.823
Little Mac,Daisy,1,1,0,1,133,1.24,3,1.24
Little Mac,Palutena,2,1,0,1,15,1.914,-2,3.154
Little Mac,Pokemon Trainer,3,1,0,1,51,1.709,-1,4.8629999999999995
Little Mac,Duck Hunt,4,1,0,2,20,2.886,-2,7.7490000000000006
Roy,Pokemon Trainer,1,1,0,1,55,1.686,0,1.686
Roy,Mario,2,1,0,2,138,2.211,0,3.897
Roy,Bowser,3,1,0,2,72,2.589,3,6.486
ROB,PacMan,1,1,0,2,138,2.211,1,2.211
ROB,Corrin,2,1,0,2,160,2.086,1,4.297
ROB,Dark Samus,3,1,0,2,150,2.143,-1,6.4399999999999995
Samus,Jigglypuff,1,1,0,1,60,1.657,0,1.657
Samus,Richter,2,1,0,2,65,2.629,0,4.286
Samus,Sephiroth,3,1,0,2,144,2.177,0,6.463
Meta Knight,Mario,1,1,0,1,5,1.971,0,1.971
Meta Knight,Pikachu,2,1,0,2,80,2.543,-1,4.514
Meta Knight,Byleth,3,1,0,2,76,2.566,1,7.08
Mewtwo,Link,1,1,0,2,129,2.263,-1,2.263
