Character,Wins,Losses,Win_Rate,Fights
Bowser Jr,2,1,0.6666666666666666,3
Sephiroth,3,0,1.0,3
Ice Climbers,3,0,1.0,3
Zelda,3,0,1.0,3
Lucas,4,0,1.0,4
Bowser,3,0,1.0,3
Dark Pit,1,1,0.5,2
Ridley,2,1,0.6666666666666666,3
Young Link,3,0,1.0,3
Greninja,4,0,1.0,4
Kirby,3,0,1.0,3
King Dedede,3,0,1.0,3
Pit,3,0,1.0,3
Terry,3,0,1.0,3
Min Min,4,0,1.0,4
Cloud,4,0,1.0,4
Donkey Kong,4,0,1.0,4
Sora,3,0,1.0,3
Yoshi,3,0,1.0,3
Dark Samus,3,0,1.0,3
Olimar,3,0,1.0,3
Ganondorf,4,0,1.0,4
Little Mac,3,0,1.0,3
Robin,3,0,1.0,3
Mewtwo,0,1,0.0,1
Shulk,3,0,1.0,3
Ike,3,0,1.0,3
Mii Brawler,3,0,1.0,3
PacMan,3,0,1.0,3
Inkling,3,0,1.0,3
Piranha Plant,4,0,1.0,4
Corrin,4,0,1.0,4
Hero,3,0,1.0,3
Incineroar,3,0,1.0,3
Simon,4,0,1.0,4
Mii Gunner,4,0,1.0,4
King K Rool,4,0,1.0,4
Luigi,5,0,1.0,5
Pokemon Trainer,2,1,0.6666666666666666,3
Duck Hunt,3,0,1.0,3
Mr Game & Watch,3,0,1.0,3
Diddy Kong,2,1,0.6666666666666666,3
Pyra & Mythra,0,1,0.0,1
Isabelle,3,0,1.0,3
Lucina,1,1,0.5,2
Roy,3,0,1.0,3
Dr Mario,3,0,1.0,3
Meta Knight,3,1,0.75,4
Chrom,3,0,1.0,3
Wolf,3,0,1.0,3
Wii Fit Trainer,4,0,1.0,4
Toon Link,4,0,1.0,4
Link,0,1,0.0,1
Banjo & Kazooie,3,0,1.0,3
Richter,1,1,0.5,2
Sonic,2,1,0.6666666666666666,3
Mario,3,0,1.0,3
Samus,0,1,0.0,1
Wario,3,0,1.0,3
Villager,4,0,1.0,4
Ryu,3,1,0.75,4
Mii Swordfighter,3,0,1.0,3
Joker,4,0,1.0,4
Zero Suit Samus,3,0,1.0,3
Sheik,3,0,1.0,3
Bayonetta,1,1,0.5,2
Captain Falcon,3,0,1.0,3
Byleth,1,1,0.5,2
Pichu,3,0,1.0,3
Peach,3,0,1.0,3
Rosalina & Luma,0,1,0.0,1
ROB,1,1,0.5,2
Palutena,0,1,0.0,1
Lucario,3,0,1.0,3
Snake,3,0,1.0,3
Ness,4,0,1.0,4
Fox,3,0,1.0,3
Ken,2,1,0.6666666666666666,3
Mega Man,0,1,0.0,1
Jigglypuff,3,0,1.0,3
Daisy,3,0,1.0,3
Steve,1,1,0.5,2
Pikachu,3,0,1.0,3
Falco,2,1,0.6666666666666666,3
Marth,0,1,0.0,1
Kazuya,1,1,0.5,2
