Character,Fights,Avg_Stock_Diff,Avg_Damage,Wins,Losses,Total_Score,Win_Rate
Bowser,3,2.3333333333333335,106.33333333333333,3,0,9.242,1.0
Cloud,4,1.75,63.5,4,0,8.013,1.0
Chrom,3,2.3333333333333335,91.66666666666667,3,0,10.01,1.0
King Dedede,3,1.6666666666666667,74.0,3,0,8.122,1.0
Min Min,4,2.75,118.75,4,0,10.506,1.0
Ridley,3,0.6666666666666666,79.66666666666667,2,1,5.518,0.6666666666666666
Toon Link,4,2.0,68.25,4,0,9.561,1.0
Hero,3,2.0,107.33333333333333,3,0,8.402000000000001,1.0
Sephiroth,3,2.6666666666666665,122.33333333333333,3,0,9.68,1.0
Pyra & Mythra,1,-1.0,62.0,0,1,0.264,0.0
Link,1,-1.0,83.0,0,1,0.436,0.0
Robin,3,2.0,84.66666666666667,3,0,8.913,1.0
Incineroar,3,2.0,29.666666666666668,3,0,10.019,1.0
Kirby,3,1.6666666666666667,25.666666666666668,3,0,8.227,1.0
Banjo & Kazooie,3,1.6666666666666667,62.666666666666664,3,0,7.880000000000001,1.0
King K Rool,4,2.25,119.0,4,0,9.056000000000001,1.0
Duck Hunt,3,1.6666666666666667,72.66666666666667,3,0,8.097,1.0
Young Link,3,2.0,74.0,3,0,8.929,1.0
Dark Samus,3,2.0,31.666666666666668,3,0,9.341,1.0
Lucina,2,0.5,11.5,1,1,3.029,0.5
Dr Mario,3,2.6666666666666665,98.33333333333333,3,0,11.208,1.0
Donkey Kong,4,2.0,103.0,4,0,8.648,1.0
Bowser Jr,3,1.0,73.66666666666667,2,1,6.393,0.6666666666666666
Byleth,2,-0.5,49.0,1,1,1.211,0.5
Yoshi,3,2.0,109.33333333333333,3,0,8.192,1.0
Terry,3,2.3333333333333335,120.66666666666667,3,0,8.921,1.0
Ganondorf,4,2.25,57.0,4,0,10.604,1.0
Mii Brawler,3,2.0,49.666666666666664,3,0,8.773,1.0
Corrin,4,2.0,68.25,4,0,8.859,1.0
Dark Pit,2,0.5,72.5,1,1,3.189,0.5
Mii Swordfighter,3,2.6666666666666665,102.66666666666667,3,0,10.865,1.0
