condition,molecule,label,ensemble,temperature_K,pressure_kPa,molecules,frames,production_ps,angular_kl_nats,msd_final_nm2,measured_temperature_K,measured_temperature_K_block_se,potential_kJ_mol_molecule,potential_kJ_mol_molecule_block_se,density_g_cm3,density_g_cm3_block_se,fcc_order,fcc_order_block_se,polar_order,polar_order_block_se,nematic_order,nematic_order_block_se,multipolar_order,multipolar_order_block_se,a1_squared,a1_squared_block_se,a2_squared,a2_squared_block_se,a3_squared,a3_squared_block_se,a4_squared,a4_squared_block_se,a5_squared,a5_squared_block_se,a6_squared,a6_squared_block_se
dmso_p00_t00,dmso,DMSO-inspired,npt,180.0,10.0,32,60,3.0,0.19133052572079076,0.025143168967838823,178.06090388555492,2.7178930104564385,-36.89779157500866,1.1705631016355604,0.9313585671681655,0.04388968938812605,0.1495967627779941,0.004299746798764191,0.2506746883807592,0.02087829229085485,0.12882306869734608,0.006521778159199432,0.09650589866860142,0.0113040092821121,0.035235844037909615,0.011666234724654178,-0.009011182612563432,0.002555565791718264,0.0029549924589932198,0.004551709150045036,-0.00026400963785043913,0.0021564656751920735,-0.0037374310248207655,0.004501987169151154,-0.0010834762101186357,0.0023411771204084435
dmso_p00_t01,dmso,DMSO-inspired,npt,300.0,10.0,32,60,3.0,0.13362089990073478,0.03013706298757344,310.7735194476514,4.54573021195781,-37.99243655171092,0.13803451966927366,1.0317408122820417,0.007093834573342261,0.07381200084955356,0.013218951110861306,0.246677945549651,0.04659533761789777,0.16414845336256445,0.022384172280066977,0.10464590270326823,0.023008460910358818,0.03871756202686192,0.027968272750469796,0.008812005095675292,0.007553091905387124,-0.004062901974532502,0.0026989966151064527,-0.0004335087059000342,0.002534963798058256,-0.00021784300607259263,0.004150401083058906,0.004051254267909135,0.004385984987053356
dmso_p00_t02,dmso,DMSO-inspired,npt,600.0,10.0,32,60,3.0,0.08060048752401058,0.09313930852012266,582.0901276585548,13.396750247428896,-30.865148192957587,0.4409372989724539,0.9196425537310225,0.01441150857397527,0.08135905945059632,0.005705806272196456,0.24802639624064096,0.044830057027961806,0.15467970180671747,0.027410311166349788,0.1069208482966637,0.01872011862975482,0.045234803005958654,0.02229821134060602,0.005798239948434743,0.011520465694404628,-0.0010083644087394191,0.004430751196143168,-0.00620095083934998,0.0018507805438953452,-0.0008475664893474598,0.0013676999139055391,0.003181762702452682,0.0005631277238796979
dmso_p00_t03,dmso,DMSO-inspired,npt,1000.0,10.0,32,60,3.0,0.056408241197197936,0.3131761535798173,921.6610806437824,20.981112879158676,-17.959190569997826,1.4595016848274303,0.6050614957390292,0.058411804664413834,0.04619549268602275,0.002186445276268249,0.19273463397684712,0.02183827043973152,0.17418437496861297,0.016310537380644363,0.09189046770088606,0.009862766301324146,0.014353896714450358,0.010753055230158877,0.01148867509382177,0.005289676929812073,-0.0038026479496264458,0.0026714922914337956,-0.0023944676726342508,0.0008212545050938748,0.0013141815979083413,0.001097241247165534,0.0017184304497341427,0.0013000953583370027
dmso_p00_t04,dmso,DMSO-inspired,npt,1600.0,10.0,32,60,3.0,0.06295899609011556,1.1310526014208109,1617.8989412084318,89.61890965130176,-4.288395334917883,0.44987174006521896,0.18835628206326877,0.019352779459547484,0.028482480143346766,0.0031124347135919827,0.18179897856343724,0.010985205031174816,0.15243671384848198,0.011223500163092162,0.08832325887818955,0.004885691651927911,0.007542679400935681,0.004072124841161742,0.0028450888137127564,0.0037505346032116866,0.004588751446961259,0.0032470726936192876,0.0017456838841895224,0.0018807273309488746,1.0289513879989503e-05,0.0008032391982062205,0.00080218119552577,0.002058671038643303
dmso_p01_t00,dmso,DMSO-inspired,npt,180.0,101.325,32,60,3.0,0.2627601553239599,0.02187003310262561,217.59074129233696,13.314858747574831,-41.58185459824277,2.5709224125115737,1.0549875797938135,0.06838294873220749,0.6172808042011846,0.13221554608715952,0.3703908395255907,0.0956329678124717,0.19630920844295371,0.022213056501296728,0.1597966479605778,0.037086881594874416,0.14168957894798367,0.07668881855924366,0.016192489979636397,0.008583264317745887,-0.0053970607354297435,0.0033473597791807883,-0.002049498915713305,0.004270544256268612,0.0011236242282812317,0.000835448972580577,-0.0010326520892346327,0.0008931742284829966
dmso_p01_t01,dmso,DMSO-inspired,npt,300.0,101.325,32,60,3.0,1.066421184682852,0.0031587303257470567,303.7403322477415,4.67195588994138,-46.78016137297377,0.3108249240371979,1.2020982845778312,0.005112859209252112,0.8991811131152948,0.0038423316901443614,0.7447411337553177,0.03459085128369829,0.42540548165811154,0.06140335861005912,0.35700280330974343,0.029069464003055417,0.5473178405289755,0.05297597827236124,0.18030621501794267,0.05250872093238279,0.04232353331004563,0.020111141296363603,0.006080826917290881,0.004744103447841098,-0.0002021661556224049,0.004557511556400655,1.7631686801148374e-05,0.002632936278661482
dmso_p01_t02,dmso,DMSO-inspired,npt,600.0,101.325,32,60,3.0,0.2712379306572777,0.0067628892253306285,492.9317496912953,17.18344923055856,-41.51932807567095,0.6799547893462976,1.1549642520239998,0.016051653781239728,0.8111492380978367,0.023305894277251223,0.46948628841430856,0.017157664889303596,0.1854582374421191,0.016394571769879206,0.19786417750229557,0.007079697873632965,0.20243622350803556,0.015693593150368078,0.019227729192822732,0.007682134864211287,-0.002539215020299659,0.006135998749042113,1.4485796481354948e-05,0.0026310076225911504,-0.004598585541100991,0.0017212633116049935,-0.003353972773837083,0.0010104571748145185
dmso_p01_t03,dmso,DMSO-inspired,npt,1000.0,101.325,32,60,3.0,0.07175492737384004,0.1571220400598748,934.675465146497,25.060543444541874,-25.93910221285087,2.4983716814977814,0.863385655383451,0.08803505517336603,0.2130223757484572,0.11849050239260411,0.1845366048557935,0.023328436244763658,0.16383466597866533,0.006012114620989381,0.08745437191697959,0.010369689450461099,0.011515551535203752,0.013229359559131099,0.006217879405029078,0.003000875244066611,-0.0029594304997140044,0.00289283854564264,-0.0009091666090156707,0.0016368733066762118,0.002708554949897956,0.002068632961055072,-0.0010292646975216056,0.0014752094702291836
dmso_p01_t04,dmso,DMSO-inspired,npt,1600.0,101.325,32,60,3.0,0.04269361681161928,0.9659437188152138,1453.9922873246965,48.620894601827665,-10.197799967067908,1.33813047513582,0.3839186645452905,0.04786621956916938,0.03037132054121484,0.004362961889257099,0.18826830656524335,0.01794396428245248,0.13590822211807327,0.008626591658508653,0.08225268276199844,0.007591943977312705,0.009894790439076146,0.008690442321035557,-0.001573199660365276,0.004535444996598547,0.0028291955652974396,0.0031405416828300396,0.0028560042958839993,0.002824382451719059,-0.0016560588765284013,0.000937765562890187,0.00029514927073975817,0.0011886156144351877
dmso_p02_t00,dmso,DMSO-inspired,npt,180.0,1000.0,32,60,3.0,0.11997999908638843,0.026387601612742284,215.45507512408045,10.236247737789917,-36.4650490148033,1.11769771194892,0.9421019183452067,0.043410542043281986,0.16253333211873475,0.02397072459106692,0.15580500849340198,0.016361630869864675,0.1627356128791617,0.004701541788178298,0.077334242810539,0.010456980803171253,-0.0032274116354227317,0.005740232856948986,0.00468497324861854,0.002608819401660523,-0.003670595121009764,0.004304685696586266,0.0037462409066208392,0.002787274945640543,0.003112764853346832,0.0037466543501533675,0.0017955255331705998,0.003566342882883845
