frame,r_lower_nm,r_upper_nm,g_r
0,0.0,0.028205839348497932,0.0
0,0.028205839348497932,0.056411678696995864,0.0
0,0.056411678696995864,0.08461751804549379,0.0
0,0.08461751804549379,0.11282335739399173,0.0
0,0.11282335739399173,0.14102919674248965,0.0
0,0.14102919674248965,0.16923503609098758,0.0
0,0.16923503609098758,0.19744087543948552,0.0
0,0.19744087543948552,0.22564671478798345,0.0
0,0.22564671478798345,0.2538525541364814,0.0
0,0.2538525541364814,0.2820583934849793,0.0
0,0.2820583934849793,0.31026423283347726,0.0
0,0.31026423283347726,0.33847007218197517,0.0
0,0.33847007218197517,0.36667591153047313,0.0
0,0.36667591153047313,0.39488175087897104,0.0
0,0.39488175087897104,0.423087590227469,0.0
0,0.423087590227469,0.4512934295759669,0.0
0,0.4512934295759669,0.4794992689244648,0.0
0,0.4794992689244648,0.5077051082729628,0.0
0,0.5077051082729628,0.5359109476214607,0.7371407886596875
0,0.5359109476214607,0.5641167869699586,2.211637715318442
0,0.5641167869699586,0.5923226263184566,1.7009966996047456
0,0.5923226263184566,0.6205284656669545,2.6380995083695615
0,0.6205284656669545,0.6487343050154525,2.408850571500055
0,0.6487343050154525,0.6769401443639503,2.2082341690456224
0,0.6769401443639503,0.7051459837124483,1.7514426937661947
0,0.7051459837124483,0.7333518230609463,0.840728401622715
0,0.7333518230609463,0.7615576624094441,0.6587153527518214
0,0.7615576624094441,0.7897635017579421,0.44486181281239934
0,0.7897635017579421,0.81796934110644,0.7248399849096565
0,0.81796934110644,0.846175180454938,0.5798878513623129
0,0.846175180454938,0.8743810198034359,0.8137337047153376
0,0.8743810198034359,0.9025868591519338,0.508594954621095
1,0.0,0.028292505000948043,0.0
1,0.028292505000948043,0.056585010001896086,0.0
1,0.056585010001896086,0.08487751500284413,0.0
1,0.08487751500284413,0.11317002000379217,0.0
1,0.11317002000379217,0.1414625250047402,0.0
1,0.1414625250047402,0.16975503000568826,0.0
1,0.16975503000568826,0.1980475350066363,0.0
1,0.1980475350066363,0.22634004000758434,0.0
1,0.22634004000758434,0.2546325450085324,0.0
1,0.2546325450085324,0.2829250500094804,0.0
1,0.2829250500094804,0.31121755501042847,0.0
1,0.31121755501042847,0.3395100600113765,0.0
1,0.3395100600113765,0.36780256501232456,0.0
1,0.36780256501232456,0.3960950700132726,0.0
1,0.3960950700132726,0.42438757501422064,0.0
1,0.42438757501422064,0.4526800800151687,0.0
1,0.4526800800151687,0.4809725850161167,0.0
1,0.4809725850161167,0.5092650900170648,0.0
1,0.5092650900170648,0.5375575950180128,0.8599975867696367
1,0.5375575950180128,0.5658501000189609,1.8798920580206722
1,0.5658501000189609,0.5941426050199089,2.201289846547318
1,0.5941426050199089,0.6224351100208569,2.092285816982759
1,0.6224351100208569,0.650727615021805,2.658042009931099
1,0.650727615021805,0.679020120022753,1.9797961515581386
1,0.679020120022753,0.7073126250237011,1.6113272782649009
1,0.7073126250237011,0.7356051300246491,0.9700712326415954
1,0.7356051300246491,0.7638976350255972,0.8383649944114067
1,0.7638976350255972,0.7921901400265452,0.6672927192185993
1,0.7921901400265452,0.8204826450274932,0.5695171310004452
1,0.8204826450274932,0.8487751500284413,0.4832398761352614
1,0.8487751500284413,0.8770676550293893,0.8137337047153351
1,0.8770676550293893,0.9053601600303374,0.5085949546210963
2,0.0,0.02841282719833835,0.0
2,0.02841282719833835,0.0568256543966767,0.0
2,0.0568256543966767,0.08523848159501506,0.0
2,0.08523848159501506,0.1136513087933534,0.0
2,0.1136513087933534,0.14206413599169176,0.0
2,0.14206413599169176,0.1704769631900301,0.0
2,0.1704769631900301,0.19888979038836846,0.0
2,0.19888979038836846,0.2273026175867068,0.0
2,0.2273026175867068,0.25571544478504515,0.0
2,0.25571544478504515,0.28412827198338353,0.0
2,0.28412827198338353,0.31254109918172185,0.0
