step,time_ps,measured_temperature_K,potential_kJ_mol_system,kinetic_kJ_mol_system,total_kJ_mol_system,potential_kJ_mol_molecule,box_nm,volume_nm3,density_g_cm3,msd_nonaffine_nm2,fcc_order,polar_order,nematic_order,multipolar_order,a1_squared,a2_squared,a3_squared,a4_squared,a5_squared,a6_squared,frame
13050,13.049999999998207,810.3283863491749,-939.1005204750405,528.8894385134514,-410.2110819615891,-29.346891264845016,1.6594294980811362,4.569581395404202,1.0709125169549294,0.0005278423685753822,0.42931022632058147,0.06333419720457448,0.1861305602425172,0.05776481377502139,-0.028117449769756976,0.004221255997178933,0.015799386265598472,-0.0018572900253294561,-0.01261593802555028,-0.0053096484962104566,0
13100,13.099999999998179,841.8522649843167,-959.4319045730952,549.4646111866224,-409.96729338647276,-29.982247017909224,1.6590070690278347,4.5660925471017,1.0717307770489517,0.0019239812401870122,0.41284340338570696,0.06231833423027565,0.13147523714163012,0.07458047722732827,-0.02824921312904636,-0.012960834332585732,0.014441253857569565,0.01773975093282171,0.0011924807103449095,-0.009921097748519873,1
13150,13.149999999998151,903.039624515669,-991.8477738952355,589.4007022477505,-402.447071647485,-30.99524293422611,1.664897772670523,4.614904485723436,1.0603950588189919,0.0037272204643568592,0.409364921235734,0.081497363352827,0.10192505784581223,0.05859522920956885,-0.025401992017070753,-0.020795563650156862,0.0009815571256323293,0.004887683408357975,0.014731164782741158,-0.004081470973297814,2
13200,13.199999999998123,924.3114240779289,-985.1754070220975,603.2844934565734,-381.8909135655241,-30.786731469440547,1.6663821843551132,4.627259348327922,1.05756378564583,0.005655519708649861,0.4146306307466662,0.09064962954000115,0.14201211510731418,0.0,-0.023775633201817345,-0.004294916469609387,-0.00964797517394715,-0.00829228571869298,-0.012486462128247946,-0.0049160864381887345,3
13250,13.249999999998096,916.2491205252409,-979.0755522535209,598.0223463185256,-381.0532059349953,-30.596111007922527,1.6595193852226955,4.5703240039809705,1.0707385098562276,0.0077384933749893164,0.42394309257376456,0.11194379666231499,0.11472180577424948,0.04806028572862781,-0.019322411756207768,-0.00044200988989050486,-0.007787461841273013,0.010712346599505474,0.0031463997863986027,-0.00676141163558677,4
13300,13.299999999998068,932.9649361487133,-951.058855256499,608.9325137127888,-342.12634154371017,-29.720589226765593,1.6573098246045483,4.552092879049382,1.0750268159301426,0.009968811896131703,0.432267515251711,0.11413094884013532,0.06903352827992279,0.08454125987857351,-0.018812001565781073,-0.015608257567356556,-0.00027082707178263036,-0.021920404084635626,0.04288334773113902,-0.010239294830323941,5
13350,13.34999999999804,1032.6913029095372,-998.1072110742938,674.0224488670423,-324.0847622072515,-31.19085034607168,1.6573098246045483,4.552092879049382,1.0750268159301426,0.011922406295666928,0.45072212499910347,0.14507996374529739,0.12134529606819365,0.05429525924255026,-0.010530894575136205,-0.012047343033131432,-0.005553549519782038,-0.0025958227623627665,0.005521638300661454,0.012166212756632985,6
13400,13.399999999998013,1002.9256163755721,-975.5105453114069,654.5948223601603,-320.9157229512466,-30.484704540981465,1.6589955589051213,4.565997509675001,1.0717530842304492,0.014158387144840117,0.46120743188190083,0.20369088745346303,0.1449979295414744,0.09259219762521743,0.010570299490662538,-0.00987115767447684,0.030673932872772744,-0.005396675084628399,0.010195658002968639,-0.0049627925760242705,7
13450,13.449999999997985,936.8669762058415,-920.3920813055704,611.47931795862,-308.91276334695044,-28.762252540799075,1.6614824598059539,4.586562146463482,1.0669476957498576,0.016446853681856576,0.4700532295686409,0.26961704286870997,0.1110886812437772,0.12230682885015617,0.042780232057050636,-0.015979580311649044,0.013804092287262792,0.009357733094728767,0.023811704861246178,-0.014405831538144103,8
13500,13.499999999997957,1033.6984026840917,-937.892886738073,674.6797681011506,-263.21311863692245,-29.30915271056478,1.6621576009206085,4.592155648438468,1.065648093885227,0.018429527222228313,0.4785775874297996,0.31497155940810523,0.08274495969993276,0.12695665477588328,0.07014924721132751,-0.02360168710087449,-0.004943703835212154,0.026558705939969302,-0.0023703905562300815,-0.01637286289109966,9
13550,13.54999999999793,1004.3042290181547,-946.9233991726558,655.4946225877545,-291.42877658490124,-29.591356224145493,1.659951760733472,4.573897227219947,1.0699020267574129,0.020102458593131613,0.48118854732143773,0.3155453178233626,0.14173146367087686,0.12194236563509463,0.07052268139380323,-0.00636895430775525,-0.015041215865071374,0.01869696182629541,-0.01892647641689083,-0.01067946582928114,10
13600,13.599999999997902,1041.6434352027838,-978.253494350276,679.8653741573742,-298.38812019290185,-30.570421698446125,1.657742904828419,4.555662404640346,1.074184493696931,0.021729683861896734,0.48431783803236933,0.29940039954147085,0.22417682962170093,0.13181572402482358,0.06027416696319212,0.02198918457464306,-0.001360330997605664,0.014116057375059079,-0.010814373040578014,0.007872901688236457,11
13650,13.649999999997874,970.0035853397046,-985.2962816451394,633.1070961461863,-352.18918549895307,-30.790508801410606,1.6652008359753496,4.617425114017162,1.0598161946854574,0.02310147247285375,0.4909363342122383,0.3047825316198538,0.14914776213460298,0.11224602937886452,0.0636308558251429,-0.007522224591906993,-0.012425599058148487,-0.0066915760158195465,-0.008252945984991496,0.011964170842782609,12
13700,13.699999999997846,942.6510519792334,-976.6934240439958,615.2544992797274,-361.43892476426845,-30.52166950137487,1.657320385639378,4.552179902822031,1.075006264701672,0.024339813250836964,0.493671374757185,0.3008552036804748,0.1377157933943561,0.10311362647252151,0.0611755907939303,-0.010190373245808569,-0.004515115168824474,-0.0054693736928723095,0.0026189289919578357,-0.005866235727304531,13
13750,13.749999999997819,1029.3322285734914,-1022.3916932695092,671.8300303741887,-350.5616628953205,-31.949740414672164,1.6514769147030408,4.504198501379994,1.0864578708250596,0.02498756290685837,0.49929339552008856,0.2948553781691093,0.14375185888021894,0.10818789889710151,0.057486135778320985,-0.01008814724342608,-0.01869169030485582,0.006699301952564017,-0.01641006136810053,0.006042291075731742,14
13800,13.799999999997791,1045.2671528951398,-1037.1935375762773,682.2305214827396,-354.9630160935377,-32.412298049258666,1.6503275480618245,4.49480077990437,1.0887294350088743,0.02576401587394911,0.5001057795185516,0.2840164817928821,0.1640669902415792,0.10538731033749277,0.05100940586323251,-0.002943175291290007,-0.006217053956272682,0.011393187982474419,-0.015706580624895536,0.004236317235319132,15
13850,13.849999999997763,1007.784699017455,-1004.339370386146,657.7662742473814,-346.57309613876464,-31.385605324567063,1.6555562479068873,4.537658642170854,1.0784464631393214,0.026463345127638403,0.49998844370379575,0.2709006584387669,0.2147109186251422,0.1087263650418849,0.04349643018586574,0.019562831855043407,-0.0052623050120843414,0.00786927269041812,-0.020112081046861328,-0.002489159344766198,16
13900,13.899999999997736,1014.6265103039052,-992.8481326049143,662.2318240055586,-330.61630859935576,-31.026504143903573,1.6562603828014792,4.543450924234929,1.0770715905568562,0.027000352669933156,0.49578169430298563,0.23914279487003245,0.2486119517330569,0.12690929999511902,0.026776027187871372,0.039621115485232276,-0.0016289702786230764,0.0033602755733525397,-0.0006998431909377148,0.026878404305050507,17
13950,13.949999999997708,903.7957598352288,-935.7111009257259,589.8942206673679,-345.81688025835797,-29.240971903928934,1.6557235728216084,4.539034626985574,1.0781195376851849,0.027338534842101553,0.48883847140907405,0.20089689839077504,0.22781365111363025,0.11247231204425616,0.009403420679260251,0.03611293315195854,-0.018313248539044823,0.0287847657230473,-0.01901675209724027,0.0015990063052170646,18
14000,13.99999999999768,845.0955877400256,-924.0495954167947,551.5814803227428,-372.4681150940519,-28.876549856774833,1.6626070384938436,4.595881730855582,1.0647841263468985,0.027398249621324706,0.49223131248528346,0.18603344889422632,0.12996093057961824,0.06711629139577548,0.003466781014173633,0.012045386118553544,-0.006259970729437299,0.004828130560077979,0.006687281731530723,-0.004810206222609014,19
14050,14.049999999997652,869.3085653559506,-928.4687357747187,567.384935257502,-361.0838005172167,-29.014647992959958,1.6695064992777473,4.653335247537184,1.051637514441437,0.027375717293278534,0.49621453288132644,0.1848878949386435,0.09480245524838267,0.026798941546141004,0.0030281638140313596,-0.013401625154428307,-0.0029039348808228634,-0.014056007892814044,0.0012809357939295343,-0.0006192533475440802,20
14100,14.099999999997625,858.2571668310538,-972.0846872729194,560.1718497244199,-411.9128375484995,-30.37764647727873,1.6627204756524767,4.596822505177225,1.0645662102618132,0.02728843967823953,0.49961331478832355,0.20916406112794958,0.12208484280074938,0.061705524798702865,0.012902817514876524,-0.012173901749063817,-0.007115109592859795,0.0012695386646017698,-0.011816472488111294,0.008673074564621712,21
14150,14.149999999997597,925.1046784832233,-982.6534782406166,603.802238958375,-378.8512392822415,-30.707921195019267,1.6664628551532916,4.627931408038703,1.0574102081726031,0.02679008238850005,0.5127118314816512,0.25619045637056337,0.16841837563972376,0.0863498452285937,0.035492696707465875,-0.0007057232787598829,-0.003094049399185751,-0.02085277058318532,0.0009700210884596107,0.008275056830087026,22
14200,14.19999999999757,934.2323537156648,-973.4020717729006,609.7597385473613,-363.64233322553935,-30.418814742903145,1.6585162038260501,4.562040714744797,1.0726826478698983,0.02634968084566227,0.5226100761924422,0.29577263716183433,0.1679603751287466,0.10149976410801263,0.05804537072894561,0.003767841954947651,-0.01603616985589562,-0.015754210427188227,-0.007896596395895919,-0.018121349792532784,23
14250,14.249999999997542,907.17469879489,-985.8888312660018,592.0996045083535,-393.7892267576483,-30.809025977062557,1.6653000152190167,4.618250203694233,1.0596268495085486,0.026003326078979302,0.5277236511283915,0.310257314260273,0.1318299406673769,0.11404090034665072,0.06710668495690095,-0.012655255613921994,-0.009337811145623777,0.010925276754347384,-0.010521508668373281,-0.016337998922995218,24
14300,14.299999999997514,966.7620465854825,-993.4310316453196,630.9913914016392,-362.4396402436804,-31.04471973891624,1.6634978802650784,4.603273250500915,1.063074392346842,0.02553967038505575,0.5278773697126264,0.300280444783323,0.09473065878045372,0.11932550434358324,0.06081893731021451,-0.019415141639296772,0.020198916578647773,-0.01688813015920624,-0.010454858835976443,0.0044136020322407335,25
14350,14.349999999997486,1018.6456929954878,-973.2754600833233,664.8550855287185,-308.4203745546048,-30.414858127603853,1.667256529335351,4.6345468917637405,1.0559008308405307,0.025164613643927976,0.5155501024656185,0.2754264414852336,0.1302120109241222,0.11689014251387135,0.046048748045645196,-0.0068331478006848235,0.030498984990647713,0.005432099465186026,-0.0005948556827277506,-0.01397002768462458,26
14400,14.399999999997458,1039.0178704139119,-953.5479559958042,678.1517065747495,-275.3962494210547,-29.79837362486888,1.6619735193305984,4.590630093285783,1.066002229354115,0.02523009356874238,0.4909797824533876,0.2635126999162478,0.1403847852634682,0.1127997714068584,0.039420844404800495,-0.007285424754788958,0.02615821698755518,-0.007145449407057267,0.010763669184281392,-0.017633948678968208,27
14450,14.44999999999743,1025.8229358544215,-957.4741697550671,669.5395665486151,-287.93460320645204,-29.921067804845848,1.67023618375912,4.659439358142272,1.0502598139905461,0.025768909274680972,0.46248410276439705,0.25015654832177026,0.12981760783646495,0.11303355571089398,0.03233888894788353,-0.014524490841290217,0.037213833016811845,-0.014215561031988053,0.0003581831288691674,0.006748603206322087,28
14500,14.499999999997403,925.9832915169577,-924.2616171803733,604.3756967835118,-319.8859203968615,-28.883175536886665,1.6791524874890535,4.734459561576944,1.0336178501338333,0.02663344456211901,0.42684386004559044,0.2337615806205019,0.08334580009162307,0.06976410583054837,0.024149137108846877,-0.01591048681446566,-0.0008681454016862231,-0.01659823263254565,0.005053045665168846,-0.009490380781972103,29
14550,14.549999999997375,991.331005806272,-932.6509061295358,647.0271903024862,-285.6237158270495,-29.145340816547993,1.6826061579570648,4.763733110334096,1.027266179746062,0.02758867004198852,0.39401404089299,0.2161486544666619,0.10376094849267999,0.060987030307313284,0.015969280854449975,-0.013356358419672625,-0.022618212999942152,-0.010324715751576301,-0.004495751370687183,0.00634722633978092,30
14600,14.599999999997348,956.9951341654536,-903.5833352322886,624.6166710871848,-278.9666641451038,-28.23697922600902,1.6896064962860062,4.823438127131482,1.014550572558705,0.02841530225683437,0.3659533339590281,0.2180117597876318,0.10408092448191522,0.06881966728703558,0.016804260547819447,-0.014421246958864658,-0.021092988076347925,-0.009332020593164396,0.011612619085170195,-0.010024038895003366,31
14650,14.64999999999732,878.6076564954682,-855.1651443855378,573.4543154918822,-281.7108288936556,-26.723910762048057,1.6847579072922854,4.782032354249512,1.0233351744753583,0.02974879213500944,0.33554234235745384,0.22121948902107627,0.1175570355664595,0.05886606971603036,0.018258644978318552,-0.01228058013635175,-0.02496225612532651,-0.011246259898114975,0.002532640004556728,-0.014378283080018203,32
14700,14.699999999997292,916.2821074010405,-850.7652036247993,598.0438763679647,-252.72132725683457,-26.586412613274977,1.681077319402095,4.750759729601928,1.0300714395406343,0.031571415469986645,0.3033289012752643,0.2165645793079012,0.18096542685028125,0.1084264585830892,0.01615506272083431,0.017443084448912103,-0.016770077047169523,0.006930303923359636,-0.005773720922626047,0.030009330432116108,33
14750,14.749999999997264,933.299023990877,-853.8893357459583,609.1505679414605,-244.7387678044978,-26.684041742061197,1.674540180662477,4.695552695471225,1.0421823012022722,0.03345570393074962,0.2791196354236098,0.24088548824585734,0.2532499618342815,0.11907420503306022,0.0276395545263949,0.051261819515336676,0.002823996929006736,0.0033466268547932628,-0.0028086540994400745,-0.005192941711408773,34
14800,14.799999999997237,994.0146304742398,-865.5612302962818,648.7787527156173,-216.78247758066448,-27.048788446758806,1.674540180662477,4.695552695471225,1.0421823012022722,0.03495223179309879,0.2628269755963418,0.24104521046521937,0.30037279268101513,0.13364468166208185,0.02771901263300325,0.06410422936536003,-0.005787544918810606,0.015342163620991897,-0.0024422671167972205,-0.017090313521046053,35
14850,14.849999999997209,845.8383714280725,-767.9600305464162,552.0662843285336,-215.8937462178826,-23.998750954575506,1.6756036780734755,4.704504789351444,1.0401991564891913,0.035794305401280854,0.25497350635333926,0.22628605289504067,0.22386088583677435,0.11006388889426369,0.020599099597230625,0.0212018294396776,-0.01715947817297152,0.009640953184130012,0.021242475610134686,-0.010431117260023963,36
14900,14.899999999997181,869.0860594285531,-797.9245903398885,567.2397089060751,-230.68488143381342,-24.935143448121515,1.6756036780734755,4.704504789351444,1.0401991564891913,0.03553082869579295,0.25843928300203634,0.21859799296066187,0.1241977264786264,0.10775436706974378,0.017068472285346633,-0.013138345982837148,-0.012707884489436924,0.02150996497873288,0.031087584471526982,-0.010237708437374851,37
14950,14.949999999997154,1000.3221107766079,-883.9118577990413,652.8955524868605,-231.01630531218075,-27.62224555622004,1.6816483313219805,4.755602449108565,1.0290224984008154,0.03474811423722411,0.26636669140603914,0.2180021668223267,0.09429767020767388,0.07662817057840614,0.01679994295662404,-0.016250652215075753,-0.015291934470076119,-0.011503162765944111,0.012998164237902262,0.005433151962633545,38
15000,14.999999999997126,1051.7005660922025,-897.2286064328633,686.4295158050899,-210.79909062777347,-28.03839395102698,1.6851457467336872,4.785335655691823,1.0226287695748386,0.0336665861451865,0.2718527064542459,0.22324152340257003,0.15150504531364892,0.06383708101833135,0.019186351247587358,0.0022851559662787732,-0.010741364637577426,-0.004399621262617976,0.0029795302637798823,-0.0008781003255546154,39
15050,15.049999999997098,995.0289877465891,-880.6147307518465,649.4408088119635,-231.17392193988303,-27.519210335995204,1.6790898785346176,4.733929993512693,1.0337334773198756,0.03256332921672808,0.27251289901450393,0.2178730096343168,0.14974828638325807,0.057958651303441924,0.016741830531215588,0.003413401034268234,-0.020983470466970845,-0.0157363320792964,-0.011021374255390992,-0.002645296497503024,40
15100,15.09999999999707,1097.6957643919582,-923.9811287480915,716.4499063194489,-207.53122242864254,-28.87441027337786,1.6817613130968787,4.756561030925958,1.0288151212116567,0.03168003880040649,0.26565784244126356,0.1813457845153883,0.14768657798050722,0.054187715025881406,0.0016890772247758945,-0.004656990398506136,-0.018427624317745386,0.005496316936738562,-0.01074262001582128,0.010432456596842346,41
15150,15.149999999997043,1164.9952618761633,-933.5917339051248,760.3753000687938,-173.21643383633102,-29.17474168453515,1.6850146300037299,4.7842187396989795,1.0228675108384857,0.03124947228225739,0.2518483947447735,0.12203289198867988,0.13574390608267517,0.06737691313923468,-0.016885649830068843,-0.011167355197421163,-0.011166470834309997,-0.01980663063006333,0.027237890545031847,-0.011680260709958215,42
15200,15.199999999997015,1197.2540847313426,-954.9089657005773,781.4301600421044,-173.47880565847288,-29.84090517814304,1.6798580118358548,4.7404298594233065,1.0323160680997951,0.031332625675364205,0.2351061412334205,0.0436644746357709,0.1327343801684475,0.02264207414875107,-0.03028997538558155,-0.013825315336625118,-0.011457165054391398,-0.02597065093603106,0.0030759811305452484,-0.0006483567774539745,43
15250,15.249999999996987,1105.0996847831311,-878.594200657712,721.2823364359948,-157.3118642217172,-27.4560687705535,1.685080223348898,4.784777473946738,1.0227480672254157,0.031826920516715,0.21213666359935215,0.08946646442317392,0.17159018205070298,0.020961102312339268,-0.023995614703088468,0.0003483490215047662,-0.00579237497735525,0.00010952524531027847,-0.01980965607173808,0.002178332594075083,44
15300,15.29999999999696,1032.788444666849,-858.8831888359879,674.085851865563,-184.7973369704249,-26.84009965112462,1.6833907183781949,4.770399874369289,1.0258305472200555,0.03193117544874136,0.19594573527915812,0.16112950880006327,0.19418121839517744,0.04555224498367297,-0.005457838858168092,0.012450042138315354,-0.004698794275489972,-0.0012216508684720637,-0.007253210888118112,-0.014326851828333322,45
15350,15.349999999996932,1067.0302441114516,-905.1650416248496,696.4349715397962,-208.7300700850534,-28.28640755077655,1.684477580497647,4.779645704944116,1.0238461625975162,0.03156821446609947,0.1890376295133427,0.18246966610740323,0.2178595154464867,0.07553691869923057,0.002111152567068107,0.024661254277510446,-0.01853181594962638,0.004690366409001295,0.0027721832658651685,-0.002390088526208987,46
15400,15.399999999996904,1092.398394887526,-912.5234222915392,712.9923910330597,-199.53103125847952,-28.5163569466106,1.691670272438079,4.841134544327723,1.0108419563171422,0.03115185264541653,0.17851525019718711,0.1671335784049656,0.19314556480545686,0.056084364458923,-0.003423346549214168,0.010547194451314275,-0.01945485558740579,0.008325541169253561,-0.021917303557448236,-0.0008665152571066385,47
15450,15.449999999996876,991.0538670447453,-871.752290463588,646.8463059024783,-224.90598456110968,-27.242259076987125,1.6984466815299726,4.899545030388192,0.9987910884033675,0.031346888082466697,0.16812651562981581,0.13689944288780379,0.13574160482869196,0.025758848680430383,-0.012912043909170532,-0.013004252956299646,-0.023088105215341208,0.00398110971204786,-0.01649637606756051,-0.012348139549517977,48
15500,15.499999999996849,1009.1164265469289,-871.1648846276724,658.6354732501334,-212.52941137753908,-27.223902644614764,1.7012186740441104,4.923573480121143,0.9939167016275192,0.032240322449647904,0.16065742072524802,0.11575197443963715,0.13801678413873347,0.0,-0.01842733462020706,-0.006489709223347423,-0.019934182958291777,-0.0032976102754394073,-0.006559875487850355,-0.01794626672229556,49
15550,15.549999999996821,1069.2316546358459,-912.4312630577986,697.8717998624841,-214.5594631953145,-28.513476970556205,1.698786115834968,4.902483137425803,0.998192502942963,0.03380525854582072,0.15201962972002173,0.13640351365180745,0.21700018980982566,0.06297697051660214,-0.013051955059036066,0.023796592892693858,-0.010460080158234977,-0.001987854053595759,-0.006314271656165307,-0.0018250841783853246,50
15600,15.599999999996793,1191.9768680342434,-938.5764559540876,777.9857981971277,-160.5906577569599,-29.330514248565237,1.6959664737813926,4.878112235664046,1.003179442614152,0.036289296974222576,0.13679453051455337,0.18772972279502187,0.2805752827754732,0.11374881682406433,0.004121237492331104,0.05213381919517409,-0.018461588146137194,0.015378831637765598,0.005998871647976455,-0.0061334164482709265,51
15650,15.649999999996766,1020.4627394093872,-845.4210403914778,666.0410450406762,-179.37999535080166,-26.419407512233683,1.6922577902602627,4.846180280713836,1.0097894898911828,0.039686019757347715,0.11399544465640825,0.2475985598134835,0.2511955650288403,0.11151599089460183,0.031024564461121198,0.04068017913249882,-0.012868011179020249,0.00044018147729923425,-0.0023962421772048244,0.002469972280310253,52
15700,15.699999999996738,847.5339751650267,-803.4806665253437,553.1729799885726,-250.30768653677114,-25.10877082891699,1.697972000457259,4.895438210812656,0.9996289816862745,0.04388094402891994,0.09221116179354887,0.28018557415960377,0.18725329446850142,0.12011348919123221,0.04877827712737733,0.025947671004137463,0.011837553582638745,-0.018955346795194884,-0.013428264865706498,-0.014353827646201555,53
15750,15.74999999999671,909.8732461624807,-830.8214392003013,593.8609067483962,-236.960532451905,-25.963169975009414,1.6980262251546048,4.895907232915433,0.999533218416122,0.04833561384379848,0.07874873360688553,0.28613503680988084,0.20745851586502678,0.14695763507773013,0.0522562676543916,0.038937362933549616,0.009114298385660038,0.003157056705484148,0.02611429336675039,-0.004309626772480028,54
15800,15.799999999996682,937.9748043692981,-847.9920964722041,612.2023811330198,-235.78971533918434,-26.49975301475638,1.6976787089394438,4.89290187479711,1.0001471598662814,0.05238509441285572,0.0714695237311024,0.257511304759582,0.2377573165261476,0.13329508858026207,0.036193106662175324,0.03804753775637687,0.006836187750626243,0.018237619284219162,-0.019623043611579447,0.007291032384321899,55
15850,15.849999999996655,954.1094861841741,-880.1988701037668,622.733251024064,-257.46561907970283,-27.506214690742713,1.69792931817103,4.895069047052828,0.9997043691404176,0.05658175608883547,0.06457717247511317,0.22261038394520935,0.20682786224633237,0.10172291150205277,0.018895879267337833,0.018207780620068025,0.024981644459320905,-0.013835987115441515,-0.02138210021421819,-0.005245799619566089,56
15900,15.899999999996627,968.8731039139453,-872.9793377938392,632.3692475201331,-240.6100902737062,-27.280604306057477,1.6974685730061818,4.89108519316729,1.00051864163376,0.06076607500981948,0.060528698273126944,0.18067816542833168,0.1114045537680467,0.03603041216015854,0.0014395865419845986,-0.013886757217942606,0.006349557060600804,-0.026553777858781637,-0.013293919164176363,-0.00874251121417786,57
15950,15.9499999999966,876.3761433292183,-799.965716534682,571.997839616897,-227.96787691778502,-24.99892864170881,1.698882249878326,4.903315476811814,0.9980230594431618,0.0649226007145013,0.05829396959245672,0.13241740826416443,0.0798568573003762,0.03305248606229892,-0.014158069665653267,-0.024623868282418443,-0.0038585504900739867,-0.017590886464390113,0.002627449950845435,0.003927351058545352,58
16000,15.999999999996572,949.1283686492217,-849.337630896628,619.4821487541562,-229.85548214247171,-26.541800965519624,1.703644396461559,4.944664702015628,0.9896771992624518,0.06894825021797994,0.05714530836526837,0.07669016909699468,0.09743143113469654,0.03774068465574021,-0.026186960478838058,-0.019209267107476984,-0.008227066358432253,-0.005748552755366923,0.002699847640459328,0.005846308029244817,59
