Character,Fights,Avg_Stock_Diff,Avg_Damage,Wins,Losses,Total_Score,Win_Rate
Isabelle,2,1.5,24.5,2,0,7.093,1.0
Ganondorf,3,2.0,85.0,3,0,11.657,1.0
Young Link,3,2.0,96.33333333333333,3,0,12.302,1.0
Piranha Plant,3,1.3333333333333333,17.0,3,0,12.17,1.0
Bowser Jr,3,2.6666666666666665,94.0,3,0,16.899,1.0
Hero,3,1.3333333333333333,53.666666666666664,2,1,8.792,0.6666666666666666
Ike,4,1.5,52.75,4,0,12.51,1.0
Mii Gunner,3,1.0,23.333333333333332,3,0,9.4,1.0
Banjo & Kazooie,4,2.0,74.5,4,0,14.539,1.0
Dark Pit,3,2.3333333333333335,91.0,3,0,14.366,1.0
Sephiroth,5,1.8,59.8,5,0,14.462,1.0
Link,3,2.0,103.0,3,0,13.08,1.0
Zelda,3,2.3333333333333335,90.66666666666667,3,0,14.771999999999998,1.0
Donkey Kong,3,2.0,81.0,3,0,12.036,1.0
Ridley,3,2.3333333333333335,54.0,3,0,16.194000000000003,1.0
Incineroar,3,1.3333333333333333,51.666666666666664,3,0,10.639,1.0
Lucas,3,2.3333333333333335,98.0,3,0,14.788,1.0
King K Rool,3,1.6666666666666667,16.666666666666668,3,0,13.462,1.0
Kirby,4,2.0,36.25,4,0,15.501,1.0
Ice Climbers,4,2.5,94.75,4,0,15.052,1.0
Yoshi,4,1.5,77.75,4,0,11.202,1.0
Duck Hunt,3,1.0,85.0,3,0,7.582000000000001,1.0
Olimar,3,2.0,76.0,3,0,12.272,1.0
Terry,3,1.6666666666666667,24.0,3,0,12.245,1.0
Lucina,2,1.0,138.0,1,1,5.102,0.5
Corrin,3,1.0,42.333333333333336,3,0,8.683,1.0
Dark Samus,4,1.5,114.0,4,0,11.498,1.0
Pokemon Trainer,3,1.6666666666666667,82.0,3,0,11.915,1.0
Pyra & Mythra,3,1.6666666666666667,69.66666666666667,3,0,11.41,1.0
Mii Brawler,4,1.25,55.5,3,1,12.83,0.75
Mr Game & Watch,3,1.3333333333333333,92.33333333333333,2,1,9.465,0.6666666666666666
Dr Mario,1,-1.0,29.0,0,1,0.22,0.0
Robin,4,1.25,65.5,4,0,11.283000000000001,1.0
Roy,4,1.25,60.25,4,0,9.547,1.0
Simon,3,1.6666666666666667,71.33333333333333,3,0,11.192,1.0
Mii Swordfighter,1,-1.0,50.0,0,1,0.399,0.0
Bowser,3,1.3333333333333333,57.666666666666664,3,0,10.945,1.0
Ryu,1,-1.0,54.0,0,1,0.431,0.0
Cloud,3,1.6666666666666667,65.33333333333333,3,0,12.124,1.0
Greninja,3,2.3333333333333335,78.66666666666667,3,0,15.219999999999999,1.0
Wolf,3,1.6666666666666667,60.0,3,0,12.062000000000001,1.0
Min Min,3,2.3333333333333335,69.0,3,0,13.474,1.0
Chrom,3,1.6666666666666667,78.66666666666667,3,0,11.615,1.0
Sora,4,1.75,67.5,4,0,12.266,1.0
Diddy Kong,3,1.6666666666666667,29.333333333333332,3,0,13.338000000000001,1.0
Little Mac,3,1.6666666666666667,58.666666666666664,3,0,11.615,1.0
Pit,3,1.6666666666666667,21.333333333333332,3,0,13.445,1.0
Luigi,3,1.3333333333333333,76.66666666666667,3,0,8.954,1.0
Toon Link,1,-2.0,85.0,0,1,-0.718,0.0
Meta Knight,2,0.5,100.5,1,1,3.2569999999999997,0.5
Inkling,4,1.75,52.5,4,0,12.521,1.0
Sonic,1,-1.0,137.0,0,1,0.989,0.0
Wario,3,0.6666666666666666,86.0,2,1,6.609,0.6666666666666666
King Dedede,3,2.3333333333333335,106.0,3,0,13.858,1.0
Mario,2,0.5,90.0,1,1,3.1109999999999998,0.5
PacMan,3,1.3333333333333333,122.0,3,0,8.344,1.0
Shulk,4,1.75,58.25,4,0,11.691,1.0
Richter,1,-1.0,48.0,0,1,0.383,0.0
Joker,3,1.0,117.0,2,1,8.225999999999999,0.6666666666666666
Mewtwo,4,1.75,28.5,4,0,14.065000000000001,1.0
Samus,1,-1.0,81.0,0,1,0.616,0.0
Wii Fit Trainer,3,1.3333333333333333,70.66666666666667,3,0,10.237,1.0
Zero Suit Samus,4,0.75,98.0,3,1,9.396,0.75
Villager,1,-1.0,97.0,0,1,0.811,0.0
