step,time_ps,measured_temperature_K,potential_kJ_mol_system,kinetic_kJ_mol_system,total_kJ_mol_system,potential_kJ_mol_molecule,box_nm,volume_nm3,density_g_cm3,msd_nonaffine_nm2,fcc_order,polar_order,nematic_order,multipolar_order,a1_squared,a2_squared,a3_squared,a4_squared,a5_squared,a6_squared,frame
13050,13.049999999998207,675.104257851091,-691.8248231607562,440.6306355397091,-251.1941876210471,-21.61952572377363,1.7549148311180789,5.404656946333698,0.7681843280205685,0.000497614806364416,0.0392744881723347,0.40983659075096673,0.3213070528175234,0.195243715519101,0.14112622567058103,0.07818363385627393,-0.022245480014693998,-0.01175943127285503,-0.009551507580626348,0.009410791171366884,0
13100,13.099999999998179,774.5149012083907,-717.7706558289121,505.5145026647185,-212.25615316419362,-22.430332994653504,1.7672815906604356,5.519722705620853,0.7521705320945216,0.0018110812177878017,0.040191951184011976,0.403165707628297,0.2918169673326502,0.18733742621512992,0.13552783257540688,0.056872987708219754,-0.009174203206100908,0.01564697147834526,-0.009173000774709799,0.00252407580348364,1
13150,13.149999999998151,890.6863841244267,-747.5318435654726,581.3379236453845,-166.1939199200881,-23.36037011142102,1.7518795937634604,5.376662321923915,0.7721840271745823,0.0038426131686754095,0.04032192904450714,0.3908398491310146,0.17565798128313415,0.15407365229584555,0.12542532920645605,0.00581757956437681,-0.014677485488885733,0.003149187034608493,0.008040046185245332,-0.007406777430125819,2
13200,13.199999999998123,931.9574655900268,-719.9354453252406,608.2749524733225,-111.6604928519181,-22.49798266641377,1.7526227110796284,5.38350728880509,0.771202218511822,0.0067086906913238365,0.03953959856031125,0.36277313643015435,0.0897513194821463,0.1313973525635469,0.10359158556425428,-0.023391700463458807,-0.009194486747805677,-0.0029051808074820867,-0.001224235744063277,-0.0067442585532634484,3
13250,13.249999999998096,891.1212363083848,-731.9061956831963,581.6217452802728,-150.28445040292354,-22.872068615099884,1.7526227110796284,5.38350728880509,0.771202218511822,0.009854703468059656,0.04106385214122071,0.3167190902060426,0.10605801624628346,0.11810244772252544,0.07128875571710279,-0.0077757589280661775,0.007015220354970178,-0.010439756581502289,0.00502294068995539,0.00036221218628276856,4
13300,13.299999999998068,948.5079970439037,-733.4507022857911,619.077241317204,-114.3734609685871,-22.92033444643097,1.77156560656176,5.559960685697451,0.7467270002791834,0.013414064640345164,0.04505355120105792,0.2880650589214022,0.18668415387627793,0.11930261665759984,0.05340023553175839,0.02165736341042028,-0.007292753762160048,-0.009170945410276797,0.003954082547165668,0.006387004558756977,5
13350,13.34999999999804,1005.5102467996716,-721.0361610061159,656.2817726839982,-64.75438832211773,-22.53238003144112,1.7752822808694284,5.5950278828244775,0.7420468407755557,0.017797927926939495,0.05183954228295539,0.25143089785086886,0.2310840275916084,0.10381586331908804,0.03299870595519386,0.03166769490493157,-0.01500609670562821,-0.015075824714204003,-0.0054061721278821275,-0.006851733163620597,6
13400,13.399999999998013,970.439680770973,-678.8053766055482,633.3917292303375,-45.413647375210644,-21.21266801892338,1.7614366555838112,5.465137453784996,0.7596831369036569,0.023074217323520184,0.057133409015899486,0.21396469752979289,0.2369089146410925,0.094801038079032,0.01499963023382272,0.03198055936008126,-0.005606327674502614,-0.006052159642795145,0.006943231331268463,-0.008994374333501795,7
13450,13.449999999997985,930.802096260685,-661.0654184931908,607.520859878067,-53.54455861512383,-20.658294327912213,1.7813742522898328,5.652824630421051,0.7344598560793852,0.02863783513480219,0.060958895104731035,0.20354256123237144,0.19599314255552228,0.0709645300883155,0.010507947595389597,0.018628426133078253,-0.014907508804848845,-0.021028934683424882,-0.002362230483668302,0.0010794134554647703,8
13500,13.499999999997957,1018.1315545565174,-669.6701772772182,664.5195149194617,-5.15066235775646,-20.927193039913067,1.8072536052915011,5.902789544944823,0.7033577485507081,0.034018022064820214,0.060383947480798734,0.23268020647991441,0.15833984420997896,0.09107159155841324,0.023628468116165785,0.0009403905193868836,-0.022253802418101078,-0.0017485876335109627,-0.019540090465877926,0.025195350098342,9
13550,13.54999999999793,962.3615091309109,-647.1161646128336,628.1192252246755,-18.996939388158125,-20.22238014415105,1.8036127604144931,5.867186559386946,0.7076258309629858,0.039003657276457895,0.06002575020675909,0.23948003860288256,0.24051923897556174,0.155333188049584,0.026942646595342564,0.02867354870953853,-0.004938143924364199,0.017011263988576313,0.016852947288217034,0.0552899892762101,10
13600,13.599999999997902,953.9275288565093,-639.3423266426776,622.6144901482472,-16.727836494430335,-19.979447707583674,1.7974415039271845,5.807166749296203,0.7149394780172658,0.04329016658683526,0.058820763260046004,0.1970658261495809,0.2473061961671717,0.11360392185919146,0.007829615314598047,0.04353549954565489,0.010607077574737585,0.002285944841290862,0.003112140964600813,0.010064828129853489,11
13650,13.649999999997874,925.105648717549,-650.6896422926915,603.802872216072,-46.88677007661943,-20.33405132164661,1.7865660895123248,5.70239450337798,0.7280753308178916,0.0470898441238211,0.06106249025447522,0.1283227341645109,0.20188096655125592,0.08986961084319722,-0.015260155764174728,0.025050708013616554,-0.0026785887663148857,-0.004338798252805938,0.023408573705029728,-0.018152195930758938,12
