Character,Wins,Losses,Win_Rate,Fights
Bowser Jr,3,0,1.0,3
Ice Climbers,3,0,1.0,3
Zelda,3,0,1.0,3
Lucas,3,0,1.0,3
Bowser,4,0,1.0,4
Dark Pit,4,0,1.0,4
Ridley,3,0,1.0,3
Young Link,4,0,1.0,4
Greninja,3,0,1.0,3
King Dedede,3,0,1.0,3
Pit,3,0,1.0,3
Terry,4,0,1.0,4
Min Min,3,0,1.0,3
Donkey Kong,3,0,1.0,3
Sora,3,0,1.0,3
Yoshi,3,0,1.0,3
Dark Samus,3,0,1.0,3
Olimar,3,0,1.0,3
Ganondorf,4,0,1.0,4
Little Mac,3,0,1.0,3
Robin,4,0,1.0,4
Mewtwo,3,0,1.0,3
PacMan,3,0,1.0,3
Inkling,3,0,1.0,3
Piranha Plant,2,1,0.6666666666666666,3
Corrin,3,0,1.0,3
Incineroar,3,0,1.0,3
Simon,3,0,1.0,3
King K Rool,2,1,0.6666666666666666,3
Luigi,3,0,1.0,3
Duck Hunt,3,0,1.0,3
Diddy Kong,1,1,0.5,2
Pyra & Mythra,2,1,0.6666666666666666,3
Sephiroth,3,0,1.0,3
Lucina,3,0,1.0,3
Roy,4,0,1.0,4
Dr Mario,3,0,1.0,3
Chrom,3,0,1.0,3
Wolf,4,0,1.0,4
Toon Link,3,1,0.75,4
Link,3,0,1.0,3
Cloud,3,0,1.0,3
Banjo & Kazooie,3,0,1.0,3
Hero,3,0,1.0,3
Meta Knight,3,0,1.0,3
Richter,3,0,1.0,3
Kirby,3,0,1.0,3
Mii Gunner,3,0,1.0,3
Shulk,3,0,1.0,3
Mario,4,0,1.0,4
Samus,4,0,1.0,4
Wario,2,1,0.6666666666666666,3
Villager,3,0,1.0,3
Isabelle,3,0,1.0,3
Ike,3,0,1.0,3
Sonic,4,0,1.0,4
Mii Brawler,3,0,1.0,3
Mr Game & Watch,3,0,1.0,3
Ryu,3,0,1.0,3
Pokemon Trainer,3,0,1.0,3
Mii Swordfighter,1,1,0.5,2
Joker,1,1,0.5,2
Zero Suit Samus,1,1,0.5,2
Wii Fit Trainer,0,1,0.0,1
Sheik,1,1,0.5,2
Captain Falcon,3,0,1.0,3
Peach,0,1,0.0,1
ROB,1,1,0.5,2
Fox,0,1,0.0,1
Ken,3,0,1.0,3
Mega Man,3,0,1.0,3
Jigglypuff,1,1,0.5,2
