frame,step,time_ps,molecule_id,box_nm,x_nm,y_nm,z_nm,dx_nonaffine_nm,dy_nonaffine_nm,dz_nonaffine_nm,vx_nm_ps,vy_nm_ps,vz_nm_ps,dipole_ux,dipole_uy,dipole_uz,theta_rad,phi_rad,dipole_debye
0,6100,3.050000,0,1.8021933,0.16076665,0.1973828,0.28080035,-0.0091588602,-0.001429738,0.005303134,-0.12706939,-0.0018851237,0.10320804,-0.0017934167,-0.98769466,0.15638428,1.4137675,-1.5726121,2.6
0,6100,3.050000,1,1.8021933,0.24829331,0.68838646,0.62748096,-0.00052618975,-0.0065585862,0.0052917083,-0.055141932,-0.13665511,0.1330719,-0.31866789,-0.44894701,0.83480379,0.58302003,-2.1880771,2.6
0,6100,3.050000,2,1.8021933,0.65841694,0.38433801,0.74650702,-0.00022717356,0.0025846998,0.011234057,-0.04202023,-0.024799993,0.24057241,-0.065719054,-0.72371302,0.68696467,0.81349248,-1.6613561,2.6
0,6100,3.050000,3,1.8021933,0.59390366,0.61659481,0.16973748,-0.0017125403,-0.0088708861,-0.0010989485,-0.035244152,-0.19410502,0.050263764,-0.43493995,-0.89980986,-0.034197184,1.6050002,-2.0210506,2.6
0,6100,3.050000,4,1.8021933,0.17810947,0.26644134,1.0755473,0.0017758256,0.0057993216,0.001127961,0.023958707,0.16240598,0.059279896,-0.75722432,0.38105011,-0.53048294,2.1299665,2.6753727,2.6
0,6100,3.050000,5,1.8021933,0.34328368,0.67883656,1.4428754,0.013499478,-0.013447468,0.0039430818,0.34883089,-0.23204071,0.070037516,-0.36761441,-0.86888349,-0.33151339,1.9087035,-1.9710466,2.6
0,6100,3.050000,6,1.8021933,0.70963708,0.2350089,1.5797398,0.0022559025,0.0038521476,-0.0046892952,0.046939664,0.079653787,-0.15484889,-0.27165371,-0.52586997,0.80601801,0.63340293,-2.0476195,2.6
0,6100,3.050000,7,1.8021933,0.8503092,0.72759404,1.111648,0.0022001351,-0.0049040522,0.0036273222,0.035553453,-0.15675851,0.059735468,-0.7272041,0.29707954,-0.61880364,2.2380151,2.7537606,2.6
0,6100,3.050000,8,1.8021933,0.27926243,1.1631053,0.16107368,-0.0062191701,-0.0045369664,-0.010056188,-0.1307313,-0.078593982,-0.21167992,-0.6969783,0.71141347,-0.090067293,1.6609858,2.3459454,2.6
0,6100,3.050000,9,1.8021933,0.25633113,1.6526895,0.77455211,-0.008550832,-0.0019901407,-0.00058700602,-0.18437819,-0.035356307,-0.011454948,-0.62201114,-0.30560894,0.7209059,0.76568774,-2.68491,2.6
0,6100,3.050000,10,1.8021933,0.6450418,1.0856073,0.67522365,-0.0026342121,0.0068104667,-0.0036126496,-0.044813537,0.11422291,-0.12707522,-0.32319519,-0.38088286,-0.86629851,2.6185404,-2.2744435,2.6
0,6100,3.050000,11,1.8021933,0.63450016,1.636363,0.27697681,0.00099764723,0.0053543484,-0.0037552709,0.021876926,0.13173202,-0.11705909,0.19090221,-0.84604547,0.49775838,1.049784,-1.3488722,2.6
0,6100,3.050000,12,1.8021933,0.1453628,1.1577958,1.16967,0.0027590748,-0.0023990977,-0.002803841,0.056596135,-0.046396722,-0.02482465,0.78741106,-0.46552563,0.40406647,1.1548383,-0.53393151,2.6
0,6100,3.050000,13,1.8021933,0.14982832,1.673461,1.5250451,-0.0057020022,0.0030419538,-0.0055654805,-0.13264275,0.055417689,-0.10642865,0.76341529,0.39902927,-0.50791016,2.1035533,0.48163413,2.6
0,6100,3.050000,14,1.8021933,0.79500826,1.1266917,1.636699,-0.0042463444,-0.0053956826,0.0039820885,-0.088129311,-0.13420698,0.022308677,-0.99968679,-0.024951433,0.0019383294,1.568858,-3.1166386,2.6
0,6100,3.050000,15,1.8021933,0.62956099,1.5558204,1.2398508,-0.00039221667,0.0032037071,0.0028035504,-0.0088536839,0.074504163,0.059641652,0.64491771,0.71445683,-0.27135326,1.8455951,0.83650885,2.6
0,6100,3.050000,16,1.8021933,1.0642744,0.17388496,0.20350846,-0.0088411772,0.0095057641,-0.00022853631,-0.15500252,0.14822935,0.063822656,0.086735023,0.041192368,-0.99537944,3.0454248,0.44338467,2.6
0,6100,3.050000,17,1.8021933,1.0949248,0.62810047,0.46505656,-8.0866329e-05,-0.00021585083,-0.0049130305,-0.0004684691,0.0019222146,-0.05815509,-0.84595558,0.25371808,-0.46902697,2.058985,2.8502103,2.6
0,6100,3.050000,18,1.8021933,1.5378144,0.20423817,0.67310408,-0.0035968579,-0.0022499376,0.0047505817,-0.085491845,-0.075610366,0.10024414,-0.99553513,-0.076680344,-0.055044802,1.625869,-3.0647202,2.6
0,6100,3.050000,19,1.8021933,1.6279625,0.61568668,0.25398861,-0.0037294746,0.0038347811,0.0017327394,-0.060850621,0.055363626,0.052516258,-0.031405619,0.20522265,0.9782113,0.20913291,1.7226502,2.6
0,6100,3.050000,20,1.8021933,1.0898707,0.20276055,1.0789426,0.0042442606,-0.00026862758,0.0036080959,0.046938503,-0.00019167927,0.10960797,0.86785636,0.47944398,0.13022598,1.4401994,0.50471938,2.6
0,6100,3.050000,21,1.8021933,1.178434,0.64651408,1.7067477,0.00017048694,-0.0015094115,-0.0001375162,-0.008815297,-0.018516855,-0.077087715,-0.36345327,0.60008215,-0.71260307,2.3639979,2.1153764,2.6
0,6100,3.050000,22,1.8021933,1.5772756,0.30797067,1.4579733,-0.00406398,-0.0028806907,-0.0081501839,-0.094711618,-0.074922159,-0.20319102,-0.37882724,0.53581684,0.75457951,0.71578323,2.1862107,2.6
0,6100,3.050000,23,1.8021933,1.4687851,0.64442703,1.0571139,0.0046861501,0.0039080336,0.0047337216,0.066678547,0.13200859,0.034726886,0.08721803,0.90495211,0.41647892,1.1412274,1.4747145,2.6
0,6100,3.050000,24,1.8021933,1.0779918,1.1867441,0.34608111,0.0034477307,-0.0057266082,0.0059552863,0.094506291,-0.10112918,0.087896283,-0.63250107,0.17354258,0.75486778,0.71534382,2.8738075,2.6
0,6100,3.050000,25,1.8021933,1.0156371,1.5743613,0.75735051,-0.0041496259,-0.0036601915,-0.0023666023,-0.10545921,-0.095993264,-0.042548262,-0.72110743,-0.37262155,0.58408669,0.94704192,-2.6646467,2.6
0,6100,3.050000,26,1.8021933,1.5409431,1.0141681,0.63422515,0.0008277205,-0.0093321325,-0.0027918473,0.022108675,-0.16791224,-0.042962111,0.29178844,0.88311908,-0.3673693,1.9469753,1.2516821,2.6
0,6100,3.050000,27,1.8021933,1.5367939,1.5355469,0.33195425,0.0051833156,0.0015977136,-0.0094173906,0.096564319,0.056380311,-0.1592639,-0.51023705,0.80168721,0.31137722,1.2541544,2.1375899,2.6
0,6100,3.050000,28,1.8021933,1.2419181,1.1540277,1.2161276,-0.0029580341,0.011106844,0.0027981173,0.0014194194,0.23775977,0.085390695,0.66102433,0.41045624,0.62815007,0.89162292,0.55567421,2.6
0,6100,3.050000,29,1.8021933,1.3113035,1.6355284,1.6018821,0.012792701,0.022125118,0.0011335586,0.24955972,0.45588502,0.037471005,0.49656389,-0.37816748,0.78128974,0.67406684,-0.65086401,2.6
0,6100,3.050000,30,1.8021933,1.7076517,0.87905655,1.5330871,0.0071836261,-0.0077005274,-0.0040453563,0.11540251,-0.15732032,-0.077588756,0.22724709,0.56669078,0.79197242,0.65676354,1.189422,2.6
0,6100,3.050000,31,1.8021933,1.4870136,1.5848946,1.0246968,0.0047677529,0.0003199977,0.0021583963,0.10305728,0.017586981,0.060997206,-0.84183906,0.16003135,0.51545802,1.0292543,2.9537368,2.6
1,6200,3.100000,0,1.8077582,0.15942756,0.19823829,0.28660114,-0.01099155,-0.001184112,0.010229272,0.01265326,0.011941237,0.11485509,-0.11602097,-0.98080198,-0.15673738,1.7281827,-1.6885411,2.6
1,6200,3.100000,1,1.8077582,0.24740125,0.68520189,0.63535938,-0.0021823846,-0.011860601,0.01122343,-0.045188798,-0.095259715,0.11422988,-0.1475507,-0.61946273,0.77103484,0.69033169,-1.8046305,2.6
